gene,dai_34276789,hamvas_30342483li_26030808,luo_36514862,luo_36514862,ambalavanan_25449221,hadchoul,torgerson_30113228,wang_23897914,ahmed_37839510,zasada_31445514,zasada_31445514,bharracharya_22723293,da_paepe_20718599,fulton_30459472,gong_32412065,pietrzyk_24194948,pietrzyk_24194948,pietrzyk_24194948,pietrzyk_24194948,shen_33093882,windhorst_37090732,bhattacharya_33552042,oji_mmuo_33177681,siddiah_37123538,tsotakos_35947545,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,yuon_chou_37507442,zasada_31445514,maic_score,contributors
RASGRP3,0,0,1.252186723,0,0,0,0,1.776162924,0,0,0,0,0,0,0,1.375214,0,0,0,0,0,0,0,0,0,0,1.156216429,0,0,0,0,5.559780076,"GWAS: Torgerson_30113228, EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day14"
LRRN3,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,0,0,1.663727369,0,0,1.529559527,0,0,0,0,0,0,0,0,1.240102914,1.279473973,0,4.487193238,"RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28, EXOMESEQ: Luo_36514862_eqtl"
IL1R2,0,0,1.252186723,1.543991895,0,0,0,0,0,0,0,0,0,0,0,1.333480264,0,0,0,1.530038023,0,0,0,0,0,0,0,0,1.232557897,0,0,4.306587815,"EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5"
CD2,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769883567,1.496062671,0,0,0,0,0,0,0,0,1.150635292,0,1.224696674,1.255285897,0,4.277356187,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28"
CHIT1,0,0,1.252186723,1.543991895,0,0,0,0,0,0,0,0,1.387486477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.341267931,0,0,4.272746304,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_deg_cord"
FBN1,0,0,0,1.543991895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531573741,0,0,0,0,0,0,1.168010054,0,0,0,0,4.24357569,"MICROARRAY: Pietrzyk_24194948_up_day5, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_cpg_day14"
GPA33,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.642055108,0,0,0,0,0,0,0,0,0,0,0,1.326143427,1.296576232,0,4.220385257,"EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28"
RCAN3,0,0,1.252186723,0,0,0,0,0,0,0,0,0,0,0,0,0,1.650911464,0,0,1.529589803,0,0,0,0,0,0,1.165269993,0,0,1.282071625,0,4.185169812,"EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28, RNASEQ: Yuon_chou_37507442_deg_day14"
HBG1,0,0,0,0,0,0,0,0,0,0,1.387505411,1.472407049,0,0,1.310711045,0,0,0,0,0,0,0,0,0,0,0,0,0,1.401779286,1.289659986,0,4.18489738,"MASS_SPEC: Zasada_31445514_day36GA, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Fulton_30459472"
CD177,0,0,0,1.543991895,0,0,0,0,0,0,0,0,1.387486117,0,0,0,0,0,0,0,0,0,0,1.237132501,0,0,0,0,0,0,0,4.168610513,"MICROARRAY: Bharracharya_22723293, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Oji_mmuo_33177681_mRNA"
