gene	Dai_34276789_data	Hamvas_30342483	Li_26030808	Luo_36514862_eqtl	Luo_36514862_SNPS	Ambalavanan_25449221	Hadchoul_data	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Da_paepe_20718599	Fulton_30459472	Gong_32412065	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Windhorst_37090732	Bhattacharya_33552042	Oji_mmuo_33177681_mRNA	Siddiah_37123538	Tsotakos_35947545_down	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_cord	Yuon_chou_37507442_deg_day14	Yuon_chou_37507442_deg_day28	maic_score	contributors
RASGRP3	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	1.7761629244434314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3752140003141826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1562164288463812	0.0	0.0	0.0	0.0	5.559780076343316	GWAS: Torgerson_30113228, EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_cpg_day14
LRRN3	0.0	0.0	0.0	1.543991895154316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6637273694289278	0.0	0.0	1.5295595270194215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.240102914453712	1.2794739729996316	0.0	4.487193237582875	RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28, EXOMESEQ: Luo_36514862_eqtl
IL1R2	0.0	0.0	1.252186722739321	1.543991895154316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.333480263764183	0.0	0.0	0.0	1.5300380228003259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2325578970185354	0.0	0.0	4.306587814973178	EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5
CD2	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7698835672832864	1.496062671385376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1506352915988827	0.0	1.2246966736358431	1.2552858971996876	0.0	4.277356187222296	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_down_day28
CHIT1	0.0	0.0	1.252186722739321	1.543991895154316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3874864770202804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.341267931456812	0.0	0.0	4.272746303631409	MICROARRAY: Bharracharya_22723293, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_deg_cord
FBN1	0.0	0.0	0.0	1.543991895154316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.531573741081182	0.0	0.0	0.0	0.0	0.0	0.0	1.1680100537087426	0.0	0.0	0.0	0.0	4.24357568994424	MICROARRAY: Pietrzyk_24194948_up_day5, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Yuon_chou_37507442_cpg_day14
GPA33	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6420551076733205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3261434268857382	1.2965762320939125	0.0	4.22038525729838	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_down_day28
RCAN3	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6509114644976042	0.0	0.0	1.529589802570114	0.0	0.0	0.0	0.0	0.0	0.0	1.1652699931143824	0.0	0.0	1.282071624962247	0.0	4.185169812199172	EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28, RNASEQ: Yuon_chou_37507442_deg_day14
HBG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3875054108326863	1.4724070490281578	0.0	0.0	1.310711044645863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4017792860160496	1.2896599860606601	0.0	4.184897379690071	MASS_SPEC: Zasada_31445514_day36GA, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Fulton_30459472
CD177	0.0	0.0	0.0	1.543991895154316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3874861170202804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.237132501025839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.168610513200435	MICROARRAY: Bharracharya_22723293, EXOMESEQ: Luo_36514862_eqtl, RNASEQ: Oji_mmuo_33177681_mRNA
AK5	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6187469651250197	0.0	0.0	1.5297564438237587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2622393059190349	0.0	4.133172993783376	EXOMESEQ: Li_26030808, MICROARRAY: Pietrzyk_24194948_down_day28, RNASEQ: Yuon_chou_37507442_deg_day14
CHI3L2	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5296503536715755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2272075358352934	1.2767278285474024	0.0	4.058564904958299	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Pietrzyk_24194948_up_day5
LY9	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5296654914474377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2331146927620469	0.0	0.0	4.014966906948806	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5
LDLRAP1	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5296352158961624	0.0	0.0	0.0	0.0	0.0	0.0	1.1670630281576964	0.0	1.2277747978931217	0.0	0.0	4.009596736528605	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Pietrzyk_24194948_up_day5
RRM2	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3874866270202804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1461658360090927	1.3591545057550312	1.3062290507969523	0.0	3.998827855514633	MICROARRAY: Bharracharya_22723293, EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord
FCRLA	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4837291591146549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.230148392423499	1.2497381848428721	0.0	3.9856540666968483	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_day14, MICROARRAY: Gong_32412065
RALGPS2	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.485898355978367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.241755800834904	0.0	3.9798408795525924	EXOMESEQ: Li_26030808, MICROARRAY: Gong_32412065, RNASEQ: Yuon_chou_37507442_deg_day14
AFF3	0.0	0.0	1.252186722739321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4693728709304263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2306365034159734	0.0	0.0	3.9521960970857206	EXOMESEQ: Li_26030808, RNASEQ: Yuon_chou_37507442_deg_cord, MICROARRAY: Gong_32412065
