gene	Nichols_24571919	Chen28689251	Bao_27137150	Bhaskaran_22911455	Chao27770432	Denervaud_26353077_down_ranked	Denervaud_26353077_up_ranked	Natarajan_28851267_down	Natarajan_28851267_up	Revhaug_31454811_down_ranked	Revhaug_31454811_up_ranked	Shrestha_33446917_down_	Shrestha_33446917_up	Al_mudares_37368978_female	Al_mudares_37368978_male	Bhattacharya_25150061	Cheng_31961470	Coarfa_28818871_female_down_day21_ranked	Coarfa_28818871_female_down_day7_ranked	Coarfa_28818871_female_up_day21_ranked	Coarfa_28818871_female_up_day7_ranked	Coarfa_28818871_male_down_day21	Coarfa_28818871_male_down_day7	Coarfa_28818871_male_up_day21	Coarfa_28818871_male_up_day7	Dong_36157523	Dravet_gounot_29287116_p10	Dravet_gounot_29287116_p21	Hirani_37876024	Nitkin_32753701_24hr_unranked	Nitkin_32753701_6hr_unranked	Rao_37310763_ranked	Hurskainen_33692365_endothelial	Hurskainen_33692365_epithelial	Hurskainen_33692365_stroma	Scaffa_34417156_ranked	maic_score	contributors
RAC2	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911479813131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	1.3616643696409736	0.0	0.0	0.0	1.4481358416368446	6.220694109427093	METHYLATION: Chen28689251, SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
CXCR2	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911468313131934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	1.5035685035423005	1.4135574642881295	1.4109509583192006	1.4126407654912465	0.0	6.186114582078378	METHYLATION: Chen28689251, SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked
IL1R2	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911471813131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4245902306497475	1.4154251587926552	1.4128237617684147	1.4148140121151471	0.0	6.09099421236373	METHYLATION: Chen28689251, SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked
BAX	0.0	0.0	0.0	0.0	1.5276887279858113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2737098426366833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.617697007790688	0.0	0.0	0.0	0.0	0.0	0.0	1.4455241570207171	5.246922727643212	RNASEQ: Bhattacharya_25150061, SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Chao27770432
CCDC3	0.0	0.0	0.0	0.0	0.0	2.0321962211591633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6434913002586515	0.0	0.0	0.0	1.4051002279049603	1.4026061538346064	1.4027452491970858	0.0	5.080787749322775	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Hirani_37876024
EGFEM1P	0.0	0.0	0.0	0.0	0.0	2.0664173734897173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5563438630586215	0.0	0.0	0.0	0.0	0.0	0.0	1.444103353425939	5.066864589974278	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Hirani_37876024
PDGFRL	0.0	0.0	0.0	0.0	0.0	1.9808644927380397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.578472278570779	0.0	0.0	0.0	0.0	0.0	0.0	1.443855744500708	5.003192515809527	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Hirani_37876024
FMO3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.228692842910377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3638495553244772	0.0	0.0	1.4064252801468908	0.0	4.998967678381745	MICROARRAY: Natarajan_28851267_up, SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Rao_37310763_ranked
THSD7B	0.0	0.0	0.0	0.0	0.0	2.040751509238066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930161581194086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.435727902854654	0.0	0.0	0.0	1.4106770058621356	1.4080716822680275	1.4093084540012655	0.0	4.94444467321961	SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Bhattacharya_25150061, MICROARRAY: Denervaud_26353077_down_ranked
PTGS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0410106917755337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4576513476853024	0.0	0.0	0.0	1.4093091169292435	1.4066702647209965	1.4076857631887532	0.0	4.907971156390079	SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Natarajan_28851267_up, RNASEQ: Hirani_37876024
HPGD	0.0	0.0	0.0	1.8472686233146018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930184781194304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6117896805049383	0.0	0.0	0.0	0.0	0.0	0.0	1.447493237521364	4.906551541340905	RNASEQ: Hirani_37876024, SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455
CYP2E1	0.0	0.0	0.0	0.0	0.0	1.9295327644065634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4918743011128754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4373469137728085	0.0	0.0	1.3891282983768005	0.0	0.0	0.0	1.4439677580621222	4.865374823581561	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Coarfa_28818871_female_down_day7_ranked, MICROARRAY: Denervaud_26353077_down_ranked
MARK1	0.0	0.0	0.0	0.0	0.0	1.9723092046765682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4394693645823775	0.0	0.0	0.0	1.4060077696008213	1.403497965000899	1.403788407576558	1.4437083582356895	4.855486927494635	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Hirani_37876024
NOX4	0.0	0.0	0.0	0.0	0.0	1.9551986285610958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4421322454083532	0.0	0.0	0.0	1.4468034698010774	4.844134343770526	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Rao_37310763_ranked
LCN2	0.0	0.0	0.0	1.8472686333146018	0.0	0.0	1.6911480413131934	0.0	0.0	0.0	1.6189982580769124	0.0	0.0	0.0	1.4445723813620386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5084061144875438	0.0	0.0	1.5431929170066274	1.5215786448689212	0.0	0.0	1.4020487833623547	1.3996249565072858	1.3992535662880188	1.4489847865237222	4.839446336844951	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Hirani_37876024, MICROARRAY: Bhaskaran_22911455
CCDC85B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9455327885785314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4279814987214678	0.0	0.0	0.0	0.0	0.0	0.0	1.4495448544528013	4.8230591417528	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Natarajan_28851267_up, RNASEQ: Hirani_37876024
LGALS3	0.0	0.0	0.0	1.8472686033146017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4377401608297984	1.5215786448689212	0.0	0.0	0.0	0.0	0.0	1.4479177099646172	4.81676495814814	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
CCN2	0.0	0.0	0.0	1.8472685633146018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4259922487390522	1.5215786448689212	0.0	0.0	0.0	0.0	0.0	1.4453826662062994	4.814229874389822	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
IGF1	0.0	0.0	0.0	1.847268283314602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4440836915394815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5215786448689212	0.0	0.0	0.0	0.0	0.0	1.4432838857924364	4.812130813975959	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
ATP1A2	0.0	0.0	0.0	0.0	0.0	1.8525351720774341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930163681194086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4818807960811888	0.0	0.0	0.0	1.4069942279658878	1.4044407368052652	1.4049619607534645	0.0	4.75254576816273	SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Bhattacharya_25150061, MICROARRAY: Denervaud_26353077_down_ranked
CD2	0.0	1.5598316416081337	0.0	0.0	0.0	0.0	1.6911478113131935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4930175881194085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.472225248307845	0.0	0.0	0.0	0.0	4.7439970410407355	METHYLATION: Chen28689251, RNASEQ: Bhattacharya_25150061, MICROARRAY: Denervaud_26353077_up_ranked
