	GSD061	GSD097	GSD398	GSD399	GSD400	GSD403	GSD405	GSD406	GSD490	GSD493	GSD496	GSD497
ENSMUSG00000000001	2576	2408	2418	2546	2163	2473	2470	2442	2304	2551	2398	2473
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	194.80239	213.97707	170.85602	150.20279	190.91959	196.57635	199.21144	189.03437	195.97801	185.16	141.42175	148.16226
ENSMUSG00000000037	90.00005763	65.00002	44.999992	62	45.9999605	85	64.00002	56.99995	79.00004401	73.99996	68.99997981	55.000022
ENSMUSG00000000049	37	0	5	2	0	4	3	2	0	1	0	5
ENSMUSG00000000056	559.00004	637.9999	976.00049	957.99209	997.00005	623.9998	603	493	963.00016	718	953.99975	965.99962
ENSMUSG00000000058	2958.0008	2554.002	6078.0038	5498.0005	3851.0037	3094.9975	2554.00296	2597.9999	4870.9989	3553.00459	4671.0032	5304.0036
ENSMUSG00000000078	7584.00131	6970.9989	6619.9991	6099.99546	3762.99958	6124.0028	6139.9957	7271.9977	3629.00318	5307.0013	5052.9971	6133.0014
ENSMUSG00000000085	1878.836315	1908.931008	1740.448366	1801.142498	2075.949191	1735.14751	1833.983187	1767.196794	1866.750452	2017.748368	1897.9183	1757.524556
ENSMUSG00000000088	1638.0011	1639.00167	1191.99946	1335.00155	1451.9985	1641.00029	1750.996	1910.00091	1124.99963	1895.004	1167.00009	1126.00022
ENSMUSG00000000093	15112	16245	21987	22957	28302	15035.9	16476.9	15073	28783	16669	25179	23134
ENSMUSG00000000094	5188.998	6082.682	6278.002	6995.002	7834.9985	4687.999922	5368.9947	5432.999496	9115.000912	5664.00522	7732.999	7411.9986
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	14.013	32.0445	26.0246	36.0488	38.0466	20.0062	25.0283	28.0259	29.041	39.0515	20.0269	23.0299
ENSMUSG00000000125	2	3	0	2	3	0	0	3	5	7	3	1
ENSMUSG00000000126	515.0003	518	337	411.0001	370.9999	369	492.0005	412.0003	482	451	418	377
ENSMUSG00000000127	570.00008	561.99967	605.00012	558.9996	564.99966	655.99994	590.99967	596.99965	519.0003	585.99966	555.00039	602.99971
ENSMUSG00000000131	2844.55164	2906.02424	2271.26035	2394.985	2435.11415	2621.2857	2781.7869	2917.57105	2632.41378	2607.6362	2570.311613	2417.98734
ENSMUSG00000000134	2562.87886	2352.893	1864.999452	2004.999124	1958.000301	2230.82209	2500.864206	2488.00113	2005.000085	2350.0007	1966.00122	1728.000898
ENSMUSG00000000142	1789.99956	1623.99706	1722.00148	1855.99611	1917.99669	1486.99969	1713.00136	1430.00405	2112.99857	1565.99787	1902.00039	1974.997428
ENSMUSG00000000148	900.9997	869.9996	981.00014	1086.99982	1076.99992	897.00028	949.9994	991.99999	1151.0002	911.0001	1103.99964	1012.0005
ENSMUSG00000000149	4438.5	4947.74	4232.34	4587.89	4921.85819	4476.64	4162.88	4948.9	4847.74	4230.49	4701.84	4350.59
ENSMUSG00000000154	159.99999	193.999541	172.00049	138.00005	146.00038	200.0002393	218.99952	232	125	206.9998	127.99987	121.00001
ENSMUSG00000000157	38	42.00004	35.99995	31	22	49.00005	59.99997	22	54.00004	44.99999	63.99997	59
ENSMUSG00000000159	426.33455	469.80436	453.3621	436.7154	359.00031	454.9998	461.1264	496.87497	373.32723	531.00036	402.99978	377.8302
ENSMUSG00000000167	121.99999	111.0001	120.04474	119	113.00006	140.99953	123.07716	113.00007	95.00007	159.57701	102.99992	140.99997
ENSMUSG00000000168	1466.0044	1260.99844	1054.00001	1171.9963	1135.99505	1398.99932	1280.0025	1483.00481	1122.99724	1461.9987	1016.00045	1055.00028
ENSMUSG00000000171	1474	1523	1093	1282	1334	1482	1647	1653	1290	1638	1180	1195
ENSMUSG00000000182	31	9	4	1	0	12	35	17	2	11	0	1
ENSMUSG00000000183	2.00016	1.00184	4.0114	2.0003	1.00106	1.00017	0	2.01911	1.00947	1.00331	0	2.02094
ENSMUSG00000000184	11951.96969	11023.98533	4513.99527	4873.0043	5752.9976	11606.9795	10252.9966	10991.02765	4927.00183	11633.97134	5011.00052	5274.9987
ENSMUSG00000000194	2505.46587	2458.5863	1919.90071	2156.02922	2178.08039	2534.77478	2448.43519	2475.74128	2037.99128	2565.76162	2204.19911	2115.40131
ENSMUSG00000000197	4.4988	10.01875	5.04324	5.00416	8.0714	4.00963	4.00298	2.00234	8.0156	6.01275	2.00331	7.079226
ENSMUSG00000000202	13	6.000000107	10.00000181	5.999993086	2.000003011	24.00002376	16	27	5.000004655	11.000001	10.99999803	6
ENSMUSG00000000204	40.86902	28.210517	52.9501	40.99997402	53	38.44704	32.25148	40.5421	45.1392	37.7502	33.1342	49.93761
ENSMUSG00000000214	2	2	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	1	3	14	0	0	0	2	0	1	2.999995
ENSMUSG00000000216	7544	7176	5126	4751	3546	8330	8092	7853	4738	8273	5002	4797
ENSMUSG00000000223	43.00006	36.99995	35.99996	39.78188	29.30268	32.09141	31.887939	51	57.1349	39.80388	38.63418	30.51467
ENSMUSG00000000244	111.431609	126.21506	237.953424	204.5988	221.8645901	131.41129	95.25591929	138.34157	264.169	111.02044	209.111055	173.0795
ENSMUSG00000000247	8.999995	1	4	2	7	7	1	2	6	6	4	10
ENSMUSG00000000248	1	0	9	6	8.00792	0	2	2	8	5	3	2
ENSMUSG00000000253	320.0641	368	343.7844	359.0203214	356.78716	409.5909	508.9003	363.0748	328.65552	400.3969	317.72826	226
ENSMUSG00000000263	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	2351.3356	1988.4949	2845.134	2325.26548	2160.77752	2048.17866	1835.40557	1710.07521	2463.9399	2053.238	2411.26896	2746.7967
ENSMUSG00000000275	2018.09127	1987.0813	2109.99883	1714.4038	1688.9982	1977.2297	1740.3872	1904.4258	2018.1633	1832.5006	1927.4526	1942.44888
ENSMUSG00000000276	685.2218	686.4123	814.7673	853.8613	711.74837	690.8465	752.869	547.657	835.7213	759.9202	721.087	811.739
ENSMUSG00000000278	2283	2306	1557	1764	2020	2334	2352	2431	1572	2346	1660	1484
ENSMUSG00000000282	1327.9959	1331.997	1447.99871	1419.9967	1492	1156	1189	1346	1813.99934	1388.0005	1871	1565
ENSMUSG00000000290	1899.00011	2193.00003	1725.0005	1887.003	1734.00027	2163.99771	1814.99931	2343.00214	1322	1573.99946	1101.999	1177.9994
ENSMUSG00000000295	181.99971	184.99978	155.00017	221.00006	231.00034	157.99979	193.99997	174	196.00036	182.999732	166.00018	149.99946
ENSMUSG00000000296	102.99998	100.999952	47	50.99997	78.99997	95.0001	76.99996	79.99998	72	105.00007	61.99998	81.00005
ENSMUSG00000000301	88	87	32.99998	52.00005	59.999998	69.109022	87.00001	69.03565	62.000012	78.00377	39.99998	44.99996
ENSMUSG00000000303	10729.9852	9980.740093	6267.9	6587	5712.93	11521.98758	10305.907	10293.0014	5816.82	11847.867	5453.89301	6336.96
ENSMUSG00000000305	405.25799	423	396	463	594	313.01526	300.9999	250	650	493.625	661	601.37836
ENSMUSG00000000308	825.00007	925.00054	300.0003	323.00039	304.99985	1108.00001	1054.00026	1111.99962	236.000454	1183.99993	275.00043	270.99997
ENSMUSG00000000317	2465.99958	1845.9999	2359.0033	2283.00085	2006.0005	2061.99502	2228.0043	2288.9993	2009.0024	2024.99885	1904.00394	1704.99614
ENSMUSG00000000318	54.75181	55.99991	74.45566	75.50746	67.14906	92.17741	64.7292	119.4665	49.25275	62.172581	51.14217	58.28581
ENSMUSG00000000320	289.2272	259.1968	328.5647	355.556	314.1475	260.5112	324.9928	257.00411	311.0002	215.0133	307.7615	308.8495
ENSMUSG00000000326	3845.708	3788.005	2921.114	3588.157	3576.035	4078.829	4434.623	4703.812	3128.085	3572.788	3268.503	3042.244
ENSMUSG00000000339	720.99965	832.99985	604.9998	610.00013	661.99959	756.99962	815.00053	844.0004	627.99947	755.00028	549.0001	489.00024
ENSMUSG00000000340	647.29202	598.397	579.24865	515.872	486.98198	705.97498	637.89062	629.94204	417.45981	737.20316	374.4109	490.55975
ENSMUSG00000000346	7595.9986	7709.0036	9269.99775	9228.00364	9157.00052	7439.9959	7661.0046	7178.0012	8317.9964	8189.0041	8341.00003	8116.99784
ENSMUSG00000000355	397.00004	388.99973	370.9996	376.99978	377.00011	378.00014	397	391.00049	408.99984	469.99998	389.00023	424.99976
ENSMUSG00000000359	1038.9996	958.9996	424.9999	643.0002	777.0003	984.0001	1183.0027	1322.9976	724.0001	1056.9995	683.0002	621.0001
ENSMUSG00000000365	15.00002	8	6	2.999996	3	11.000005	19	13	6	3	2	9
ENSMUSG00000000374	2304.00363	2345.99594	1655.99584	1797.99887	1482.9957	2209.00456	1946.9965	2270.9952	1952.0041	2244.99591	1876.99805	1940.99959
ENSMUSG00000000378	1079.9999	1113.99955	1174.00036	1169.99997	1249.9999	1149.00037	1077.00003	1258.00325	1232.0006	1103.99987	1297.0002	1109.00002
ENSMUSG00000000381	0	0	0	0	6	0	0	0	0	0	0	0
ENSMUSG00000000384	1132.29573	1145.04532	706.87595	779.81264	836.06784	1066.601738	1382.7168	1319.244707	843.62783	1010.361528	811.233221	777.044636
ENSMUSG00000000385	2447.00332	2217.99772	1608.00208	1633.00286	1335.00151	2461.99881	2481.99892	2363.00494	1512.99772	3103.004049	1559.99741	1510.005124
ENSMUSG00000000386	93.5945	100.99997	136.3841662	111.2812809	87.89117	191.3772922	137.12013	148.3184113	113.1042401	120.88681	71.99994042	72.999997
ENSMUSG00000000392	112.99988	96.00628	51.00426	40.00736	46.00004	111.034665	91.04826	98.9999	29.00476	78.00129643	33.00613	43.00004041
ENSMUSG00000000394	0	1	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1347.99829	1442.00228	1015.00333	1143.03018	1180	1403.00109	1569.0703	1445.00857	896.3922	1352.02639	1013.022865	914.00078
ENSMUSG00000000402	2288.92	2396.07	1613	1641.95	1627.96	2196.94	2504.05	2319.91	1620.67	2619.19	1627.97	1790.08
ENSMUSG00000000409	133	230.99998	356.00049	279.99979	289.99989	144.99967	99	120.00009	355.00013	154.00004	269.99966	265.999946
ENSMUSG00000000411	3	1	0	1	1	2	0	0	4	2	6	2
ENSMUSG00000000416	345.00026	328.000264	467.999926	495.0001	400.0008	319.9998	314.00048	291.00033	419.9997044	336.00049	393.00024	305.99964
ENSMUSG00000000420	4498.99551	4499.00223	2887.00091	3077.02464	2886.00513	4646.99929	4687.9995	4400.99972	2686.99811	4605.99831	2624.03956	3073.99929
ENSMUSG00000000435	1	1	4	7	8	3	0	0	10	1	6	5
ENSMUSG00000000439	1214.62534	1166.99523	1195.60681	1301.93506	1142.31501	1088.90999	1256.95351	1019.14718	1183.6535	1191.61651	1112.1211	1144.5449
ENSMUSG00000000440	307.00036	301.00046	240	228.0002	241.000019	326.0002	289.99997	347.999657	193.99996	337	192.9999	174.0001
ENSMUSG00000000441	3343.43732	3343.23431	3069.4248	3142.1577	3254.71315	3121.20524	3336.15457	3093.90212	3119.7059	3197.41807	2955.19644	2839.227288
ENSMUSG00000000486	238.00035	294.0001299	458.0001	533.99939	574.0006	272.99992	242.00014	198.0001303	622.000365	259.00039	491.99976	381.0005
ENSMUSG00000000489	9465.0032	8609.00192	5681.99509	7190.00103	7632.9967	8145.0026	8219.004	8437.00379	6289.99613	8300.99498	7018.99881	5517.99795
ENSMUSG00000000530	12218.99754	13479.98989	17331.00115	17691.9804	18133.05142	13574.02431	12022.99177	11520.00496	16083.9755	11713.00329	18125.03736	16539.0145
ENSMUSG00000000531	1244	1313.84	1650	1735	1643	1134	1303	1406	1805	1248	1769.7	1607.98
ENSMUSG00000000532	1914	1906	1743.64	1764	1493	1843	1817	1786	1720	1909	1799	1926.64
ENSMUSG00000000538	2851.00306	3026.99993	3351.99284	3299.0087	3199.00204	2997.996333	2816.99967	3020.0051	3647.00505	2962.00631	3418.00671	3398.99483
ENSMUSG00000000544	6	6	3	4	3	6.000004	7	2.999998	2	4	1	2
ENSMUSG00000000552	1504	1638	624	699.999	948	1349	1383	1733	687	1550	746.999	595.001
ENSMUSG00000000555	4315.2486	4651.73736	3937.5693	4121.00169	4424.00144	4291.45481	4469.34353	5530.75473	4185.03275	3544.22534	4446.6495	4011.5185
ENSMUSG00000000560	8.59006	6.293219	12.5875	10.4268	6.99011	7.29341	12.20057	6.15385	10.1835	4.03799	4.06144	6.23228
ENSMUSG00000000561	1256.16346	1195.53507	822.31506	973.11032	979.1047	1198.11141	1403.21096	1247.09799	955.8644	1192.09927	950.38721	954.1898
