gene,Altemeir_16116230_Unranked,Bao_31411002_ranked,Deng_37674532_ranked,Feng_37553691,Hu_37081490_Unranked,Jia_34917127_ranked,Leikauf_21297076_Unranked,Leikauf_22447970,Leikauf_23590305_Unranked,Li_31106457_ranked,Lingappan_25003466,Lv_2621618_Unranked,Teng_33961683_ranked,Wang_30979832,Wang_37149072_Ranked,Yue_31373289_ranked,maic_score,contributors
LCN2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,7,TRANSCRIPTOMICS: Feng_37553691
UBC,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,TRANSCRIPTOMICS: Hu_37081490_Unranked
CXCL10,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4,TRANSCRIPTOMICS: Feng_37553691
GBP2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,TRANSCRIPTOMICS: Feng_37553691
LGALS3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,TRANSCRIPTOMICS: Feng_37553691
BC100530,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,TRANSCRIPTOMICS: Feng_37553691
NCF2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,TRANSCRIPTOMICS: Wang_37149072_Ranked
CDKN1A,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,TRANSCRIPTOMICS: Wang_37149072_Ranked
CD44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,TRANSCRIPTOMICS: Wang_37149072_Ranked
FTH1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,TRANSCRIPTOMICS: Wang_37149072_Ranked
ATF3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,TRANSCRIPTOMICS: Lingappan_25003466
TIMP1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,TRANSCRIPTOMICS: Lingappan_25003466
GCLC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Hu_37081490_Unranked
EGFR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Hu_37081490_Unranked
DSTN,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Li_31106457_ranked
CSF3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,TRANSCRIPTOMICS: Feng_37553691
SPP1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
Chil3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
ISG15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
CSTB,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
GSTM5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
Retnlg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
S100A9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
RPL12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Feng_37553691
SAA3P,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,TRANSCRIPTOMICS: Lv_2621618_Unranked
HSPA8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,TRANSCRIPTOMICS: Deng_37674532_ranked
TNFAIP3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
SOCS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
CXCL2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
CYBB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
HIF1A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
SLC2A6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
IL6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
NOS2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
STEAP3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
ARNTL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
CAPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
SLC2A1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
DPP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,TRANSCRIPTOMICS: Wang_37149072_Ranked
SERPINE1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,TRANSCRIPTOMICS: Lingappan_25003466
F3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,TRANSCRIPTOMICS: Lingappan_25003466
AKR1B10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,TRANSCRIPTOMICS: Lingappan_25003466
TNC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,TRANSCRIPTOMICS: Lingappan_25003466
PTGS2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,TRANSCRIPTOMICS: Lingappan_25003466
REXO2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,TRANSCRIPTOMICS: Lingappan_25003466
TXNRD1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Hu_37081490_Unranked
GCH1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Hu_37081490_Unranked
BRIP1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Hu_37081490_Unranked
HSPB1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Hu_37081490_Unranked
TXNIP,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Hu_37081490_Unranked
ITGAM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Li_31106457_ranked
FKBP5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,TRANSCRIPTOMICS: Li_31106457_ranked
C3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Li_31106457_ranked
ADGRF5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,TRANSCRIPTOMICS: Li_31106457_ranked
