gene	Al_mudares_37368978	Al_mudares_37368978	Bao_27137150	Bao_27137150	Bhattacharya_25150062	Chao27770432	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Natarajan_28851267	Natarajan_28851267	Nichols_24571919	Rao_37310763	Revhaug_3145811	Revhaug_3145811	Bhaskaran_22911455	Chen28689251	Chen28689251	Cheng_31961470	Denervaud_26353077	Denervaud_26353077	Dong_36157523	Shrestha_33446917	Shrestha_33446917	maic_score	contributors
ENSG00000139915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8033835784916876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4830095542645978	0.0	0.0	0.0	0.0	3.2863931327562854	MICE: Coarfa_28818871, RAT: Denervaud_26353077
ENSG00000163734	0.0	0.0	0.0	1.1031849643781986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7126834536840339	0.0	0.0	0.0	0.0	1.3176352677779823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2604151350401298	0.0	0.0	2.973098588724164	MICE: Coarfa_28818871, RAT: Dong_36157523
ENSG00000132514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1235473027673943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7242976504965264	2.8478449532639205	MICE: Rao_37310763, RAT: Shrestha_33446917
ENSG00000165474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.120923362845233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7265915578336213	0.0	2.8475149206788544	MICE: Rao_37310763, RAT: Shrestha_33446917
ENSG00000118785	0.0	1.133343593260009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6617501811988002	2.7950937744588096	MICE: Al_mudares_37368978, RAT: Shrestha_33446917
ENSG00000108688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.279198921529873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5145733157716263	2.793772237301499	MICE: Rao_37310763, RAT: Shrestha_33446917
ENSG00000102265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2398786951586844	0.0	0.0	1.3660012214014958	0.0	0.0	0.0	0.0	1.4161360975783386	0.0	0.0	1.5219917387363833	2.7618704338950675	RAT: Shrestha_33446917, MICE: Rao_37310763
ENSG00000164687	0.0	1.1333433932600092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3660012914014958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.617719771881555	2.7510631651415642	MICE: Al_mudares_37368978, RAT: Shrestha_33446917
ENSG00000121552	0.0	1.1333429332600091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15269044890922	0.0	0.0	1.3319519174072925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161368575783384	0.0	0.0	0.0	2.7480887749856313	MICE: Rao_37310763, RAT: Denervaud_26353077
ENSG00000180871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.328271837976808	0.0	0.0	0.0	0.0	1.1896968299049644	0.0	0.0	1.4161360875783384	0.0	0.0	0.0	2.744407925555146	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000163220	1.0805091207146353	1.1333428932600091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.327362513506042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161368275783386	0.0	0.0	0.0	2.743499341084381	MICE: Rao_37310763, RAT: Denervaud_26353077
ENSG00000188056	0.0	1.1333429232600092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1365124249614842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6069647522341783	0.0	2.7434771771956625	MICE: Rao_37310763, RAT: Shrestha_33446917
ENSG00000163515	0.0	1.1333431432600092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3255565576408368	0.0	0.0	1.3660013914014961	0.0	0.0	0.0	0.0	1.4161366175783385	0.0	0.0	0.0	2.7416931752191753	MICE: Rao_37310763, RAT: Denervaud_26353077
ENSG00000143546	0.0	1.133342793260009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3219948599930869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161362575783385	0.0	0.0	0.0	2.7381311175714256	MICE: Rao_37310763, RAT: Denervaud_26353077
ENSG00000118113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.313376236436114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161365275783384	0.0	0.0	0.0	2.7295127640144523	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000091831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3328827346058305	0.0	0.0	0.0	0.0	0.0	0.0	1.3952284800499177	0.0	0.0	0.0	0.0	2.7281112146557485	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000171051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3043488076246479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161361575783384	0.0	0.0	0.0	2.7204849652029863	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000134531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14736786319432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5649052860096706	2.7122731492039907	MICE: Rao_37310763, RAT: Shrestha_33446917
ENSG00000169347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2808639198685663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161360575783386	0.0	0.0	0.0	2.6969999774469047	MICE: Coarfa_28818871, RAT: Denervaud_26353077
ENSG00000116824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.280570771516137	0.0	0.0	0.0	0.0	1.1896968299049644	0.0	0.0	1.4161369975783384	0.0	0.0	0.0	2.696707769094475	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000170458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2758245614137158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4161367375783385	0.0	0.0	0.0	2.6919612989920543	RAT: Denervaud_26353077, MICE: Rao_37310763
ENSG00000108700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.172054767651014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5137911849344068	2.685845952585421	MICE: Rao_37310763, RAT: Shrestha_33446917
