gene	Ambalavanan_25449221	Bhattacharya_33552042	Dai_34276789_data	Gong_32412065	Li_26030808	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Wang_23897914	Wang_35790551_circRNA	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Da_paepe_20718599	Fulton_30459472	Oji_mmuo_33177681_mRNA	Shen_33093882	Siddiah_37123538	Ahmed_37839510	Hamvas_30342483	Luo_36514862_eqtl	Luo_36514862_SNPS	Hadchoul_data	Torgerson_30113228	Tsotakos_35947545_down	Tsotakos_35947545_up	maic_score	contributors
IGKC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2152796233210743	0.0	1.2957416909048116	0.0	0.0	0.0	0.0	0.0	1.2869027784317928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.797924092657679	SALIVA: Ahmed_37839510, LUNG/TA: Bharracharya_22723293, BLOOD: Zasada_31445514
CHIT1	0.0	0.0	0.0	0.0	1.0398994603182725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2953954366513578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	3.7687160808840092	LUNG/TA: Bharracharya_22723293, BLOOD: Li_26030808, SALIVA: Luo_36514862_eqtl
PDGFD	0.0	0.0	0.0	1.068536018730786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2425811020628947	0.0	0.0	0.0	0.0	1.2847722952342548	0.0	0.0	0.0	0.0	0.0	0.0	3.5958894160279353	LUNG/TA: Fulton_30459472, BLOOD: Gong_32412065, SALIVA: Hamvas_30342483
MPO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3271888493717243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	2.760610033286103	SALIVA: Luo_36514862_eqtl, BLOOD: Pietrzyk_24194948_up_day5
IGHA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.455480278185214	0.0	0.0	0.0	0.0	0.0	1.2869027784317928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.742383056617007	SALIVA: Ahmed_37839510, LUNG/TA: Bharracharya_22723293
CEACAM6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2956943489592945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	2.7291155328736734	LUNG/TA: Bharracharya_22723293, SALIVA: Luo_36514862_eqtl
CD177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2948598480511069	0.0	0.0	1.1838362179550526	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	2.7282810319654853	LUNG/TA: Bharracharya_22723293, SALIVA: Luo_36514862_eqtl
ABCA13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	1.2943352171239422	2.727756401038321	SALIVA: Luo_36514862_eqtl, UNKNOWN: Tsotakos_35947545_up
FBN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2939744196177405	0.0	0.0	0.0	1.0357433562963354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	2.727395603532119	SALIVA: Luo_36514862_eqtl, BLOOD: Pietrzyk_24194948_up_day5
IL1R2	0.0	0.0	0.0	1.0655598661543646	1.0398994603182725	0.0	0.0	0.0	1.2794898576637672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4334211839143787	0.0	0.0	0.0	0.0	0.0	2.7129110415781463	BLOOD: Pietrzyk_24194948_up_day5, SALIVA: Luo_36514862_eqtl
