gene,maic_score
RAC2,6.220694109
CXCR2,6.186114582
IL1R2,6.090994212
BAX,5.246922728
CCDC3,5.080787749
EGFEM1P,5.06686459
PDGFRL,5.003192516
FMO3,4.998967678
THSD7B,4.944444673
PTGS2,4.907971156
HPGD,4.906551541
CYP2E1,4.865374824
MARK1,4.855486927
NOX4,4.844134344
LCN2,4.839446337
CCDC85B,4.823059142
LGALS3,4.816764958
CCN2,4.814229874
IGF1,4.812130814
ATP1A2,4.752545768
CD2,4.743997041
TMEM176B,4.740056013
FABP5,4.739114248
GAPDH,4.736550715
PRDX1,4.733487861
LDHA,4.725798527
ACTG2,4.694234262
Ifi47,4.693973256
DES,4.672704457
MEST,4.663550154
TF,4.66199957
VSNL1,4.661980049
SELL,4.661268634
CSF3R,4.661108672
BASP1,4.655902109
C3,4.646575807
APLNR,4.635855024
MMP14,4.632490691
CHI3L1,4.622758836
ANO3,4.612884301
PTPRC,4.609112696
SLPI,4.604357709
MMP9,4.604054975
LSP1,4.583470534
Clec4a3,4.581581421
TMEM37,4.572264338
LEF1,4.570246533
PLEK,4.568023661
EMP1,4.566828693
CHIA,4.565706379
PGLYRP1,4.563094557
PIGR,4.544930798
KLF2,4.537430902
PRSS35,4.534571939
FGD4,4.531354829
SYK,4.529622769
PLA2G7,4.528974269
NRCAM,4.527435557
MMP2,4.526509185
ANGPTL2,4.52590274
STAT3,4.523515082
MS4A1,4.522459918
CPM,4.515601294
ANKRD44,4.515304791
PLAC8,4.515074796
FMO2,4.514042082
FCRLA,4.513624505
BANK1,4.51047977
IL18RAP,4.505780364
CD53,4.501520433
BHLHE40,4.498563021
RASGRP1,4.497601492
GUCY1A1,4.497024209
ADGRG2,4.495778238
CASP8,4.49577007
SULF1,4.484886123
CD82,4.479539542
PDCD4,4.469307961
RAB7B,4.463706347
CD84,4.459950696
LARS2,4.455224029
C15orf48,4.453521404
ZBTB20,4.45047422
TSPAN18,4.447809603
CTDSPL,4.444560615
MAP4K4,4.444318175
GLCCI1,4.443515193
SLITRK6,4.441273583
GPR153,4.439585765
CREG1,4.439403585
PLSCR3,4.43648318
FHL1,4.432615182
RNF152,4.431911402
GMFG,4.429861155
ANXA6,4.429738402
CMTM3,4.429688661
TSPAN14,4.429587315
LHFPL2,4.427397929
CENPF,4.426784002
EHF,4.422676481
ATP6V1H,4.419935333
RAPH1,4.418028593
SKAP1,4.417982999
TFCP2L1,4.414404237
RHBDD1,4.414206006
FAM163A,4.413994585
DUSP19,4.412909988
ADRA1B,4.411795118
GLRX2,4.410268012
GULP1,4.407486672
ACSL3,4.405749577
SPC25,4.405618036
FAM117B,4.401083264
TRIB3,4.398451859
ZNF663,4.398205744
PTPN14,4.393350303
LYPD6B,4.393260964
PTPRT,4.391772543
LRRC4C,4.390401524
OSBPL6,4.390218234
THNSL1,4.38745755
NEK6,4.381757798
RIN2,4.379071109
CHD6,4.374530355
BACH2,4.37402019
ABCD2,4.373332448
SHC4,4.370582521
ENC1,4.369749324
COX6A1,4.367617201
FOXJ2,4.364907601
LYAR,4.362478245
MFSD6,4.337714175
ICOS,4.335662522
HDAC4,4.334765552
TAF1A,4.330533866
ARL5A,4.322408236
HSPA12B,4.318255413
POLR3F,4.315525034
RBPJL,4.313133267
LHX6,4.311968589
GALNT16,3.516659261
SERPINA3,3.493781254
ADAMTS5,3.490992317
HSPA8,3.484284124
ANKRD1,3.460947555
Abcb1b,3.460875606
OPCML,3.460427043
GPNMB,3.460223368
CD109,3.459596067
MDGA2,3.445676724
CH25H,3.431877018
SCUBE2,3.422894106
RRAD,3.405841026
ESR1,3.394683119
PRRG1,3.394505732
C4A,3.355674708
TRPC3,3.353594613
KCNJ5,3.345368632
CCL5,3.344214319
C1QB,3.340286931
CILP,3.333253223
MMP12,3.331337377
BEX4,3.319013739
CMA1,3.317358865
MYBPHL,3.300766499
S100A10,3.298252173
VIM,3.297585944
GPR182,3.295335661
S100A1,3.293199246
ATP1B1,3.293087423
TIMP1,3.292819461
SFTPD,3.291161506
SOD2,3.290741373
PGK1,3.282257732
PRKAA2,3.276943044
MAPK13,3.2713167
SP4,3.269158957
HOMER1,3.268330287
GSTP1,3.265106206
GJB2,3.263666606
CSF1,3.259531955
CCL2,3.259531945
HSPA5,3.255310106
AOC1,3.250978633
S1PR5,3.245541721
COL3A1,3.237651392
HSP90AB1,3.219361195
CDKN1A,3.218459675
PRKCB,3.212726536
C3AR1,3.212726436
S100A9,3.212726296
ITGAM,3.212726096
C1QA,3.212726056
MMP8,3.212725956
Ngp,3.212725946
S100A8,3.212725686
HAPLN1,3.210352195
CCL7,3.209345472
CRABP1,3.208792855
TREML4,3.205775108
ETNK2,3.202812203
Ccl9,3.199553076
Stfa3,3.197424414
DGLUCY,3.19520448
Retnlg,3.193114643
GDF15,3.18952243
ADGRE1,3.184541997
GLIPR1,3.18416675
LILRB4,3.184165789
GP2,3.183161235
Ifitm6,3.182895842
VTN,3.181172839
FPR1,3.179496824
ATP1B2,3.169315254
CDC42SE2,3.167404696
SYNDIG1,3.165855009
CD14,3.160484297
OLFM4,3.154545602
CLEC4D,3.153778838
ACTG1,3.153286036
NRP2,3.15201071
ACTC1,3.151837077
FCGR2B,3.145513138
DGKA,3.141745002
RETN,3.141588625
C6,3.140577013
FCMR,3.140079059
CD69,3.139914026
SEPTIN1,3.139295364
MZB1,3.139147968
NDUFB4,3.138268635
Gsta1,3.13740796
CD7,3.136854697
CYTIP,3.136807664
PTPRCAP,3.135871797
CD177,3.134959906
CORO1A,3.134342357
ZNF705A,3.134244029
CCL3L3,3.120683851
ZMAT4,3.120492465
TAFA4,3.120492465
IFITM1,3.1170821
ENPP3,3.116911226
MS4A7,3.112015766
TREM2,3.112015546
ALOX15,3.110789826
STAT4,3.106112763
RGS18,3.100482954
Stfa1,3.094201502
ARHGAP15,3.092209516
MFAP2,3.088952238
ATP8B4,3.086738111
ART3,3.085235133
BPIFB1,3.084094032
CXCL10,3.082239468
PTK2B,3.081410286
PHLDA3,3.076123906
TMPRSS2,3.074966154
CRIP1,3.071103301
CHST4,3.068237756
STEAP4,3.068237756
ADGRF5,3.068237756
PPFIBP1,3.068237756
FN1,3.067588219
PHF11,3.067062388
SLC16A7,3.067041767
SLIT2,3.065960975
RPL15,3.064742955
NEO1,3.063278445
VAMP5,3.061603215
SGCG,3.060771862
SLC14A1,3.059569579
CTSW,3.058723361
CXCL2,3.057422243
SATB1,3.057055009
GPR65,3.054015339
GZMA,3.053607033
KLRC1,3.053178958
CD96,3.052925577
APOBEC1,3.052916055
PRICKLE2,3.05285018
SCUBE1,3.05284866
SORBS2,3.05284865
FANCC,3.05284856
APC2,3.052848
MNDA,3.0528477
CXCR5,3.052844817
FABP1,3.052540552
ERN2,3.051846035
PI16,3.051203612
CYFIP2,3.050899346
BCL11A,3.048346064
ITIH1,3.047424039
Saa3,3.047108839
SLC19A2,3.046166783
SOX11,3.045873331
ATP5IF1,3.045588857
STAB2,3.04549108
AGTR1,3.045363421
FREM1,3.041941994
SLC27A6,3.041930193
UBA52,3.041841514
RBFOX1,3.038612984
CD24,3.034023053
CXCR4,3.033001009
SLC10A6,3.032468736
MUC20,3.031835749
PTPRN,3.028393385
TNFRSF19,3.027624334
EPHX1,3.026467756
SLAMF9,3.025952958
BATF3,3.024716647
FOXF2,3.0237351
CCND1,3.022581293
VMP1,3.022004105
CHRM3,3.020947615
LRR1,3.020947179
PZP,3.020197052
PRSS41,3.020118027
HMGB2,3.017531047
PRCP,3.016603315
RGCC,3.014580527
SULF2,3.013731196
PC,3.012645885
COX6B1,3.010855724
GIMAP4,3.010562198
RALY,3.010370402
UQCRHL,3.010238138
HMGCS2,3.010107438
GNAS,3.0100369
RAP1A,3.009865838
ATP6V1A,3.009741917
HOXA5,3.008768134
CREB1,3.00832121
DNAJB4,3.008185615
SERPINE2,3.008091288
KIF1A,3.007976566
Hba1,3.007825992
LYN,3.007796515
DDX6,3.007637338
ATP2B1,3.007631443
CPT1A,3.007615566
LRP2,3.007224656
ZBTB16,3.007169206
MAGED1,3.006841452
PAFAH1B1,3.006075044
HBA1,3.005898672
AGPAT4,3.005868703
NSD1,3.00583333
CDH11,3.005691839
MECOM,3.005568035
KCNS3,3.005399386
SERPINB10,3.00535588
CDH2,3.005095887
PCM1,3.00484879
SPATS2L,3.004683717
MEF2D,3.004682096
C5AR2,3.004599502
HADHB,3.004570178
BAZ2B,3.004506854
THOC2,3.00426514
