Top 100 in network string_interactions_short.tsv ranked by DMNC method
Rank,Name,Score
1,CKAP2L,1.186988451685838
2,SPC25,1.1598746784247038
3,DEPDC1,1.1361695642627065
4,NCAPH,1.132238181687403
5,ZWINT,1.121605773534993
6,RRM2,1.0840803869159845
7,ASPM,1.081934534722151
8,TNFRSF18,1.0508154775910177
9,DTL,1.0496791476060299
10,CKAP2,1.043993822198422
11,DLGAP5,1.043681888760158
12,KIF18B,1.029598899326277
13,CD1B,1.0290486154936263
14,CENPA,1.0048736704257013
15,CLSPN,1.002726912599446
16,NEK2,0.9882909505298704
17,SIRPG,0.9825824208926325
18,CD96,0.9648020209915477
19,CENPF,0.9418883296273934
20,CD83,0.9339776752729678
21,TTK,0.9279606581224111
22,UBASH3A,0.9213670712778859
23,SH2D1A,0.9074455227953766
24,CD1C,0.9066987160812858
25,ORC1,0.9053926123716208
26,CD52,0.902603028423553
27,SLAMF1,0.8998473059646928
28,KIF14,0.897958151812939
29,SKAP1,0.8813438773082191
30,GNLY,0.8667936273801522
31,CCL17,0.8648526446534885
32,KIF2C,0.8586039757440077
33,NIBAN3,0.858109478097695
34,CD160,0.8530962308703437
35,CD6,0.8495453005126651
36,BUB1,0.8455851568612942
37,IL12RB2,0.8447624122796009
38,CDC25C,0.83014196549835
39,CD24,0.8286827401981959
40,TOP2A,0.8229759280682114
41,CRTAM,0.8220631852350788
42,IL23R,0.819938152490172
43,TNFSF4,0.8199275961142226
44,ANLN,0.8178636308875489
45,PSRC1,0.8164038675947065
46,CD28,0.8140788575365394
47,TRAT1,0.8075831849830677
48,CR2,0.8061140724589562
49,TNFRSF9,0.8056578884269394
50,CD3E,0.8014837792029466
51,CXCR5,0.7985829774495184
52,ZNF683,0.7974992681154189
53,CD72,0.7890333761560624
54,CD3G,0.7874340672148092
55,PRF1,0.78586411968133
56,CD48,0.7828861255540654
57,THEMIS,0.7805311985810482
58,SERPINF2,0.7791590799391501
59,FCRL1,0.7771557537488558
60,CD200R1,0.777018627140006
61,POU2AF1,0.7738766617442421
62,ICOS,0.7714944907684326
63,CD40LG,0.7676600251085497
64,TRAF3IP3,0.7635631290466777
64,RCC1,0.7635631290466777
66,SH2D1B,0.7581996796881744
67,HLA-DOA,0.7580893056236561
68,TNFRSF14,0.7554179098955516
69,IQGAP3,0.7553602360612112
70,FCRLA,0.7486608066795821
71,VPREB3,0.7468226484464623
72,IL7,0.7463594054642677
73,IL1RL1,0.7447742640093202
73,FCRL2,0.7447742640093202
75,RORC,0.7430313067323582
76,CD5,0.7416978838544037
77,MKI67,0.7362682991771579
78,BIRC5,0.7360359040425537
79,TNFRSF8,0.7321435468008153
80,MR1,0.7317510051106112
80,LRG1,0.7317510051106112
82,IL18R1,0.7312371590064478
83,ITIH2,0.7307956755388954
84,CCR7,0.7299679104865702
85,KIF23,0.7239303572889
86,HLA-DQB1,0.7234977229323203
87,FCRL5,0.7194430112805373
88,CD79B,0.7175447796809287
89,PRDM1,0.7132465045669102
90,TCL1A,0.7126310529145675
91,TCF7,0.712295160984852
92,HLA-DPB1,0.7102720804367986
93,ID3,0.7094517899973968
94,IL1R1,0.7076266508479173
95,LY9,0.7062311150165795
95,HLA-DQA1,0.7062311150165795
97,CD27,0.6971591904500483
98,DEFA4,0.6956908509091952
99,SERPINA6,0.6921269049755694
100,CR1,0.6891794512082486
