Top 100 in network string_interactions_short.tsv ranked by EPC method
Rank,Name,Score
1,CD8A,95.85899999999972
2,CD4,94.6809999999998
3,CD19,90.32899999999992
4,CD44,86.9229999999999
5,CD27,86.65299999999986
6,CD40,86.35899999999992
7,CCR7,85.49899999999991
8,IL7R,84.937
9,CD28,84.72399999999993
10,CD40LG,84.31199999999988
11,ICOS,84.30599999999993
12,STAT3,84.20899999999992
13,CD5,82.81999999999992
14,CD2,82.39299999999993
15,LCK,82.21399999999996
16,CXCL8,79.93699999999997
17,PRF1,79.52499999999989
18,IL7,79.28199999999993
19,CD22,78.33099999999989
20,CD3E,78.11399999999986
21,CXCR5,77.9339999999999
22,GATA3,77.09099999999997
23,SDC1,76.5159999999999
24,CD247,76.17999999999992
25,CD48,75.87999999999987
26,IL1A,75.76799999999993
27,CD1C,75.42199999999987
28,FCGR2B,75.02799999999985
29,CR2,74.77099999999984
30,MS4A1,74.39999999999996
31,ITK,74.16699999999983
32,CD3D,72.28300000000002
33,CD6,71.9009999999999
34,CD3G,71.2029999999999
35,TNFRSF9,71.16199999999998
36,JUN,70.82600000000009
37,CD79B,70.56299999999993
38,MMP9,69.62499999999999
39,PRDM1,69.10199999999993
40,CD52,68.0899999999998
41,CCND1,67.056
42,TNFRSF8,66.65199999999993
43,TCF7,66.22999999999979
44,CD1B,66.10599999999981
45,CD24,63.86799999999989
46,SH2D1A,63.4099999999999
47,SLAMF1,62.977999999999916
48,HLA-DRA,61.79699999999995
49,CD83,59.318999999999804
50,CD96,59.040999999999784
51,LEF1,58.84199999999996
52,KDR,57.96899999999999
53,TNFRSF18,57.92099999999974
54,TNFSF4,57.6969999999999
55,AGT,57.21300000000004
56,MPO,56.646999999999835
57,JAK1,56.58099999999991
58,TCL1A,55.938999999999915
59,IL1R1,54.93599999999986
60,SELE,53.995999999999825
61,CCL17,52.475999999999765
62,BLK,52.01699999999993
63,SELP,51.53199999999985
64,CD160,51.257999999999846
65,DPP4,51.00199999999978
66,TRAT1,50.70099999999991
67,RORC,50.08799999999983
68,SPP1,49.763
69,POU2AF1,49.558999999999884
70,BLNK,49.00399999999993
71,GPR183,48.861999999999874
72,IL18R1,48.7249999999998
73,CD72,48.45699999999996
74,FCRLA,48.092999999999925
75,IGLL5,48.07799999999988
76,GNLY,48.00199999999983
77,FCER1A,47.93099999999996
78,SPIB,47.50699999999984
79,CR1,47.4409999999999
80,SHC1,47.053999999999995
81,HP,46.82200000000005
82,S1PR1,46.59399999999997
83,CASP9,46.55900000000002
84,VTN,46.48499999999996
85,FLT1,46.39899999999992
86,IL23R,46.0279999999999
87,FCRL5,46.00299999999986
88,MKI67,45.83499999999992
89,APOA1,45.69800000000006
90,CEACAM8,45.42099999999994
91,SIRPG,45.33999999999987
92,SERPINA1,44.46699999999999
93,TNFRSF14,44.29299999999986
94,CREB1,43.683999999999976
95,ALK,43.648999999999916
96,LY9,42.952999999999896
97,TGFA,42.910999999999994
98,CD53,41.64799999999991
99,CLU,41.27499999999999
100,HMOX1,40.52499999999998
