Top 100 in network string_interactions_short.tsv ranked by MCC method
Rank,Name,Score
1,CD4,1.0634109737885719E20
2,CD8A,1.0634109606951503E20
3,CD5,1.0634048169374551E20
4,CD19,1.0633467001884197E20
5,CCR7,1.0633466815471727E20
6,CD2,1.0633144410416885E20
7,CD27,1.0633131422201143E20
8,ICOS,1.0633039788655873E20
9,CD3E,1.0631887900298676E20
10,IL7R,1.0631459081513027E20
11,CD28,1.0607813847567706E20
12,LCK,1.0553634845425995E20
13,PRF1,1.0543654972926884E20
14,CD48,1.0312141212575151E20
15,CD247,1.0299224262197015E20
16,CD52,1.0270982113404256E20
17,CD3G,1.0270977576928145E20
18,CD6,1.0256792413678318E20
19,CD3D,1.0256788124475189E20
20,SH2D1A,1.024522330562725E20
21,ITK,1.0221574004839976E20
22,CD40LG,5.524214390223357E19
23,DLGAP5,5.36465708146985E19
24,BUB1,5.364657081469846E19
25,ASPM,5.3646570814698455E19
26,KIF23,5.3646570814698136E19
27,TTK,5.3646570814698095E19
28,TOP2A,5.364657081417592E19
29,BIRC5,5.364657081417559E19
30,CENPF,5.3646570814175584E19
31,RRM2,5.364657081417554E19
32,NEK2,5.3646569419845796E19
33,CDC25C,5.3646569419845435E19
34,KIF2C,5.3646565584001016E19
35,CENPA,5.364655895844726E19
36,NCAPH,5.364655634257956E19
37,SPC25,5.364620065567003E19
38,MKI67,5.364585420862189E19
39,DEPDC1,5.364584636305467E19
40,ZWINT,5.364548928029491E19
41,ANLN,5.3524562180292444E19
42,KIF14,5.352384548803981E19
43,CD96,5.1097701628186214E19
44,KIF18B,5.109094478705818E19
45,CKAP2L,5.109094217170944E19
46,CD40,3.752711404488236E18
47,CD44,3.6105254216025441E18
48,IL7,3.577681273739946E18
49,FCGR2B,3.3196653150444641E18
50,CXCR5,3.2168680217478743E18
51,SLAMF1,3.0678276061452616E18
52,GATA3,2.8126771211545748E18
53,DTL,2.5552689448366131E18
54,CD1C,5.3500034039794573E17
55,CD24,5.1229599892576563E17
56,CR2,3.9109352674184934E17
57,MS4A1,2.62912925329305664E17
58,TNFRSF9,1.42394694978147536E17
59,CD79B,1.28123877776352976E17
60,RAD51,1.22008633883146208E17
61,TNFRSF18,1.95656305142592E16
62,SDC1,1.9286569206177776E16
63,CD22,1.3290482324966512E16
64,CD1B,9.78311244790656E15
65,STAT3,7.946004089581266E15
66,PRDM1,6.827738004835121E15
67,TRAT1,6.424610444179939E15
68,TCF7,8.48868641475544E14
69,LEF1,7.22012129567036E14
70,ORC1,7.16605597209674E14
71,CD83,5.09396215104026E14
72,HLA-DRA,3.82027370532938E14
73,CKAP2,3.5708228079552E14
74,CXCL8,1.55830851818096E14
75,IL1A,1.38830744105827E14
76,RORC,2.0923403961634E13
77,CLSPN,1.046139857784E13
78,TNFSF4,8.234650771952E12
79,CCNA1,5.230697485609E12
80,TNFRSF8,3.272301831963E12
81,GNLY,1.402523987785E12
82,IQGAP3,1.394852659212E12
83,SIRPG,1.31534238528E12
84,CD160,1.9507776636E11
85,CCL17,3.313929029E10
86,IL1R1,1.9838471358E10
87,JAK1,1.3819223743E10
88,UBASH3A,1.2454041608E10
89,POU2AF1,8.823655474E9
90,TCL1A,8.446636871E9
91,GPR183,6.434669487E9
92,S1PR1,6.274967174E9
93,IL18R1,2.936800046E9
94,MMP9,1.723010476E9
95,CR1,1.43810523E9
96,CD72,1.233339126E9
97,TNFRSF14,1.202267166E9
98,LY9,9.98284086E8
99,HLA-DQB1,9.97932483E8
100,MPO,9.64024464E8
