Top 100 in network string_interactions_short.tsv ranked by MNC method
Rank,Name,Score
1,CD4,143.0
2,CD8A,133.0
3,STAT3,97.0
4,CD19,96.0
5,CD44,94.0
6,CXCL8,83.0
7,CD27,79.0
8,IL7R,77.0
9,CCR7,74.0
9,CD2,74.0
11,CD40,72.0
11,JUN,72.0
13,CD5,70.0
14,LCK,69.0
15,IL1A,68.0
15,ICOS,68.0
15,CD40LG,68.0
18,CCND1,67.0
19,MMP9,66.0
19,CD28,66.0
21,CD247,61.0
21,SDC1,61.0
23,CD22,60.0
23,GATA3,60.0
25,PRF1,59.0
25,AGT,59.0
25,CD3E,59.0
28,FCGR2B,57.0
28,IL7,57.0
28,CD3D,57.0
31,MS4A1,56.0
32,CXCR5,55.0
32,ITK,55.0
34,CD79B,52.0
34,CD48,52.0
36,CD3G,47.0
36,CD1C,47.0
36,CR2,47.0
39,CD6,46.0
40,PRDM1,45.0
41,APOA1,43.0
41,TNFRSF9,43.0
43,KDR,42.0
43,HLA-DRA,42.0
45,TCF7,41.0
45,MPO,41.0
45,CD52,41.0
48,HP,40.0
48,KIF23,40.0
50,KNG1,39.0
50,BIRC5,39.0
52,CLU,38.0
52,LEF1,38.0
52,VTN,38.0
52,TNFRSF8,38.0
52,SERPINA1,38.0
52,SH2D1A,38.0
52,MKI67,38.0
59,CD24,37.0
59,SPP1,37.0
61,SLAMF1,36.0
61,TOP2A,36.0
61,BUB1,36.0
64,JAK1,35.0
64,SHC1,35.0
64,CDC25C,35.0
64,KIF2C,35.0
68,RAD51,34.0
68,CD1B,34.0
68,IL1R1,34.0
71,BLK,33.0
71,TTR,33.0
71,TTK,33.0
71,ANLN,33.0
75,SELE,32.0
75,CASP9,32.0
75,TCL1A,32.0
75,CENPF,32.0
79,CCNA1,31.0
79,DLGAP5,31.0
79,ELANE,31.0
79,NEK2,31.0
83,CD96,30.0
83,CD83,30.0
83,TNFSF4,30.0
83,CENPA,30.0
83,SELP,30.0
83,ASPM,30.0
89,CEACAM8,29.0
89,ALK,29.0
89,SERPINC1,29.0
89,CTSG,29.0
89,POU2AF1,29.0
89,RRM2,29.0
89,KIF14,29.0
96,FCRLA,28.0
96,FLT1,28.0
96,DPP4,28.0
96,GPR183,28.0
96,CREB1,28.0
