gene,maic_score
RASGRP3,5.559780076
LRRN3,4.487193238
IL1R2,4.306587815
CD2,4.277356187
CHIT1,4.272746304
FBN1,4.24357569
GPA33,4.220385257
RCAN3,4.185169812
HBG1,4.18489738
CD177,4.168610513
AK5,4.133172994
CHI3L2,4.058564905
LY9,4.014966907
LDLRAP1,4.009596737
RRM2,3.998827856
FCRLA,3.985654067
RALGPS2,3.97984088
AFF3,3.952196097
SUSD4,3.942120107
SPOCD1,3.923055261
FCRL2,3.91029879
DEPDC1,3.90820757
PTGFRN,3.90159363
IQGAP3,3.882975564
BUB1,3.874103663
SLC44A5,3.862142267
ASPM,3.854411637
CD1C,3.844105449
NFIA,3.832027446
CENPA,3.810890143
IL1RL1,3.805347347
KIF14,3.803920285
PDGFD,3.803789682
C1orf115,3.801903496
PCNX2,3.800408799
PHC2,3.792367877
S1PR1,3.786055937
PLA2G2A,3.784184122
ACTN2,3.782903904
ZBTB40,3.780865899
CD52,3.771164305
IL23R,3.743564258
TGFA,3.739495869
IFNLR1,3.734438832
ALPL,3.733243867
CNRIP1,3.73284327
CACNA1E,3.728997198
PADI2,3.707889822
FGFR3,3.707603028
CDC14A,3.697755152
AK2,3.69626216
HIVEP3,3.635547285
MPO,3.178016401
CD24,3.073913112
ITGA9,3.073764322
CD28,3.042264859
ICOS,3.038213898
UBASH3A,3.02386562
ITK,3.015292519
TRAT1,3.006361628
EML6,2.99878903
NBL1,2.981993267
GNLY,2.967900409
DPP4,2.963414026
SH2D1A,2.95204687
CD96,2.950243955
SIRPG,2.950047164
TRABD2A,2.936173766
B4GALT5,2.935147206
SPOCK2,2.931955378
CEACAM6,2.931478572
CD247,2.930056895
SAMD3,2.924776663
RASGRP1,2.910051891
ITM2A,2.909183252
GALT,2.907830689
CCNI2,2.900786648
IGF2BP1,2.898275056
ABCD2,2.897188603
THEMIS,2.894829803
CD27,2.886732551
TRBC1,2.878186434
TC2N,2.87693755
SETMAR,2.87475288
OXCT1,2.867996152
MGAT4A,2.865450721
DHRS4,2.865202867
RIMBP2,2.863822039
LEF1,2.858490389
CLEC2B,2.855531685
ATP8B4,2.85470287
CTSO,2.851917127
EDAR,2.851073039
GCSAM,2.846735997
LEPROTL1,2.846579215
IGLL5,2.845369625
RETREG1,2.844945888
STYX,2.843850927
IL7R,2.843489533
CEP192,2.8427462
MGAM,2.8427462
NTNG2,2.838326405
TMEM204,2.832400389
HOOK1,2.828013226
RFWD3,2.82781952
BCL11B,2.826701561
ANKRD27,2.82100132
HP,2.818810448
TBC1D4,2.814875
IFIT1,2.808464967
RGL4,2.807959643
YY1AP1,2.792596601
QSOX2,2.79207836
CD44,2.788304186
SDAD1,2.787989341
TESPA1,2.786779876
UGCG,2.785948754
LMO7,2.785381848
CRISP3,2.782799686
MBOAT2,2.782450695
MAN1C1,2.781927919
TRAF3IP3,2.781912767
LRG1,2.776058783
APOC2,2.775924296
SERPINA1,2.774059609
ERG,2.771462781
SEPTIN1,2.768784297
GIMAP1,2.768543231
CHMP7,2.766615013
PLAAT4,2.765656717
IGKC,2.764737493
DAAM2,2.763769883
ABCA13,2.763223393
PLXDC1,2.759981865
LPXN,2.759820531
RIOX2,2.756959322
ERVH48-1,2.745393347
BTN3A2,2.74404971
TF,2.742170627
LGALS3BP,2.740172022
CYP2U1,2.738480534
SLC18A2,2.736728382
CCR7,2.736335832
CLU,2.731857205
CD3D,2.727661342
GATA3,2.726971178
PITPNC1,2.725073315
KIF18B,2.718392677
MMP8,2.7156259
ABLIM1,2.715449122
CLCN4,2.702751656
C1S,2.701800042
CRTAM,2.700233757
CYS1,2.700021164
CNR2,2.698385632
IGHG3,2.693386093
NKTR,2.693200335
HBG2,2.693089173
ARID1B,2.691137213
ANXA3,2.690548941
SPC25,2.690039266
NF2,2.688106552
COL19A1,2.687982353
IGHA1,2.686202309
ANXA8L1,2.686200789
SP140L,2.682088555
FCRL1,2.681839645
TOP2A,2.676426271
EBF1,2.673736018
RTKN2,2.667408217
DLGAP5,2.66221586
CD180,2.662018424
PAPPA2,2.661226803
RUBCNL,2.660212894
KLHL14,2.656151515
STAP1,2.651230211
HLA-DQB1,2.649359785
IL18R1,2.647025066
TTK,2.646703211
CAMK2D,2.639824764
CD8A,2.63967339
SELE,2.63967322
ADORA3,2.63967303
CD5L,2.639673
KMO,2.63967292
NEK2,2.63967258
MARCO,2.63967257
RORC,2.63967252
KANK4,2.63967241
FCER1A,2.63967238
S100A3,2.63967224
ITLN1,2.63967217
BIRC5,2.639621229
FAM167A,2.636114415
MKI67,2.634619982
JUN,2.632666526
AGT,2.631768106
CR2,2.629959295
TENT5B,2.629472629
SIGLEC1,2.629112047
BCL11A,2.628661948
GREM1,2.626693934
MZB1,2.625943
CD79B,2.62549255
TNIP3,2.62531392
EREG,2.62499085
DHRS3,2.623609305
DPF3,2.623034345
BEND5,2.622697353
TOX,2.622508489
GSDME,2.621876334
TYMSOS,2.62181963
ANLN,2.6216218
FAAP20,2.619717804
OLFM2,2.618303109
TSIX,2.618292233
CXCR5,2.617719277
SPIB,2.615702537
AGER,2.615402429
KIF23,2.614126508
BPIFB1,2.613396775
ARNTL2,2.612709045
PHACTR4,2.604783023
C1QA,2.604693618
CYP1B1,2.60449727
PLEKHG1,2.604260195
FLT1,2.604045746
LAMB3,2.603824181
IL7,2.602928952
FCRL5,2.60278077
RPF1,2.602240165
OR13A1,2.602030578
MYO7B,2.600463861
ZWINT,2.600346327
HAL,2.59910863
CYP27A1,2.598394996
HLA-DPB1,2.596607412
CLEC17A,2.595723367
LOC613266,2.595176611
ZFP28,2.59343032
SLC25A34,2.593223668
TNFRSF12A,2.591734707
PTPRF,2.590693944
ROR1,2.587531135
MARCHF2,2.586375652
SPATA21,2.586170366
TTLL10,2.584691654
FCRL3,2.584453404
PHLPP2,2.580502846
CDO1,2.579242508
DLC1,2.578431431
CPNE5,2.577151281
KHDRBS2,2.57709529
CKAP2,2.576938355
ARHGAP42,2.576937936
MYCL,2.576498083
TPP2,2.576150367
QRSL1,2.57584025
SLC44A3,2.575597242
CD83,2.575333627
ABCB5,2.572448705
FOLR3,2.571822055
DDIT4,2.568238785
DENND2D,2.567925282
HLA-DQA2,2.566519651
MLH3,2.566420051
MIER1,2.566322145
STRBP,2.56599612
PRKCE,2.564916854
NPC1L1,2.564906367
NR2F1,2.564616737
FBXO44,2.563220688
TGFBR3,2.562898307
PODN,2.562898217
MCOLN2,2.562898077
NID1,2.562897937
LRP1B,2.562897927
SLC20A1,2.562897727
FCMR,2.562897647
TENT5C,2.562897567
GSTM3,2.562897557
IL1A,2.562897537
IL1R1,2.562897507
BIN1,2.562466587
WLS,2.557945384
PATJ,2.55771138
TLE1,2.557091547
RSAD2,2.557014089
C12orf75,2.55688633
SERPINF1,2.556680375
CLSPN,2.55632382
PSPH,2.555924809
HLA-DQA1,2.555854781
FABP6,2.554308812
CXCL8,2.552983076
UTP25,2.552757653
CDA,2.550941027
DNAJC6,2.550941027
FUBP1,2.550941027
GJA8,2.550941027
NCF2,2.550941027
HLX,2.550941027
NOL10,2.550941027
SPTBN1,2.550941027
AAK1,2.550941027
IL1RL2,2.550941027
GPR17,2.550941027
FHL1,2.550928654
PHGDH,2.550902035
S100A11,2.550902035
S100A14,2.550902035
SERPINC1,2.550902035
PIGR,2.550902035
NNMT,2.550445978
PLXDC2,2.550399741
ZNF608,2.548332258
SCMH1,2.547752859
ACKR3,2.546902101
ITIH3,2.546084503
AGMAT,2.545781874
PTGER2,2.545631894
ISG15,2.544820358
VSIG4,2.54395634
GHRL,2.543777828
BBS2,2.543543111
POMC,2.542759428
CDC25C,2.542591429
MANEAL,2.54150444
NDUFB1,2.540405146
BHLHE41,2.539067928
TENM1,2.538992505
CMPK2,2.538851289
IRF6,2.538215132
ATP7B,2.537693774
PTP4A1,2.537618063
HLA-DOA,2.536516771
SH3YL1,2.536340215
TFB1M,2.536232758
SMYD2,2.535852185
CKAP2L,2.535690533
TBCE,2.535368755
GABPB2,2.535208625
ATP6V0D2,2.534571858
DCTN2,2.534192829
ATP6V0E2,2.534129662
TRAF5,2.533945543
GNG11,2.533889364
CCL17,2.533557091
ATAD3B,2.533325775
ARHGAP22,2.532534416
SIGLEC6,2.532073388
ZNF256,2.531848316
TRIB2,2.531069151
HPS4,2.530672072
TNFRSF8,2.529907709
FHOD3,2.52978114
C1orf50,2.527531971
CCNA1,2.527073299
IMPA2,2.525697843
ORC1,2.525534762
NCAPH,2.52527518
POLR3C,2.524760624
KLF5,2.524078571
LEFTY2,2.523177307
PLPP5,2.522082014
BCL7A,2.5207543
SARDH,2.52043491
PGM2,2.51932316
ZFP36,2.519179987
CENPF,2.518701185
SLAMF1,2.517929743
C2orf42,2.516347211
NPHP4,2.516143539
LAX1,2.515934429
CD40,2.515812938
GPR183,2.514868805
HFM1,2.51455458
DUS2,2.513816315
SCNM1,2.513742765
KIF2C,2.510864479
ERRFI1,2.510727683
DNAJC16,2.510509701
TNFRSF9,2.509984284
AUNIP,2.509443889
SYNPO,2.509104973
IL18RAP,2.508920895
DTL,2.50878885
NRXN1,2.508621465
IFI44L,2.508289176
LCK,2.508206616
TMEM69,2.507600773
HSPA6,2.506762671
HLA-DRA,2.50663267
EPS15,2.50659704
TAS1R3,2.505806989
KCNJ15,2.505000882
SH3PXD2A,2.504869854
MCF2L,2.50464004
JAK1,2.503957916
SETDB1,2.5038404
ZNF532,2.503546726
ZC3H6,2.503479845
AMY2B,2.50310079
TNFSF4,2.502680754
R3HDM1,2.502611287
GPBP1L1,2.502403799
NMI,2.50172188
LZTS1,2.501387984
ZNF683,2.501267899
MACROD2,2.50079904
PRDM1,2.499743061
KLF11,2.499571459
CASP9,2.498875797
CYTIP,2.498647374
CD48,2.49772027
TARBP1,2.497619215
ASXL2,2.49732401
PPOX,2.496917669
GBP3,2.496295954
URB2,2.496055328
NME9,2.495532959
P2RY14,2.495190496
POLR1B,2.495011762
ARHGEF10,2.494931481
EYA3,2.494419197
NECTIN4,2.494358427
SDC1,2.494228745
FADS3,2.493836079
CAPN2,2.493496676
PFKFB2,2.493369495
PRKD3,2.493061225
GTDC1,2.492908196
SORT1,2.492253363
DPYD,2.492127705
TP53BP2,2.492104113
EIF2AK3,2.492054516
MFSD2A,2.491783029
UBE2J2,2.491562648
REV1,2.491163497
ARHGEF19,2.490828671
MACF1,2.490801322
SNORA28,2.490451872
GON4L,2.490270148
IBA57,2.490223226
AMIGO1,2.490218476
KLHDC4,2.489989349
HDAC9,2.489920308
RGL1,2.489739917
AHCTF1,2.489711332
DDX18,2.489573051
TLR5,2.488950112
KIAA1522,2.488880418
CD53,2.488490894
PACC1,2.488486285
TNFRSF25,2.488042764
OCA2,2.487745174
PPFIA4,2.487494797
WARS2,2.487475284
LCLAT1,2.487388693
FAM178B,2.486786965
CRNN,2.486715298
CCT3,2.48640643
ATP8B2,2.485799425
MRPL24,2.48569539
KDR,2.485680262
SDCCAG8,2.485550002
ABRA,2.485450949
PSRC1,2.485384192
MAP3K21,2.48478576
EIF2D,2.484641834
THRB,2.484430583
TCTEX1D4,2.484348094
RIMS2,2.483889849
GREB1,2.483679333
PTPN14,2.48323054
TRIM63,2.483164491
TACSTD2,2.483047178
PEX10,2.482802875
UAP1,2.48266045
GPT2,2.48223194
RAB1A,2.482091279
TXNIP,2.482050653
RGS16,2.481989718
CFH,2.481583662
B3GALT6,2.481340154
LIPC,2.481302161
BOLA1,2.481137293
LPIN1,2.480934481
RDH10,2.480830339
KCNH8,2.480722597
ATP6V1C2,2.479292979
SYNC,2.47878664
LTBP4,2.478607665
ST7-AS1,2.478572343
SH3D21,2.478523378
SNCAIP,2.478278763
SRSF4,2.478179141
PIK3R3,2.477612219
TTC24,2.47736927
LPCAT1,2.477092204
ID3,2.476863152
DSP,2.476729457
PRUNE1,2.476660714
POMGNT1,2.476519009
JMJD4,2.476478522
HNRNPLL,2.476438036
GEN1,2.476417792
BIRC6,2.476296334
PLEKHA5,2.476120725
SELP,2.476114148
TMEM177,2.475850995
PAFAH2,2.475000834
EPAS1,2.474919868
RETSAT,2.474879385
MR1,2.474838902
PNPT1,2.473948292
PLEKHN1,2.473745883
VPS45,2.473482752
SEMA4D,2.473165955
RNASEL,2.473098179
WDR54,2.472936255
TNFRSF14,2.472835052
SPAG17,2.472814811
DUSP23,2.472470722
PKN2,2.472106394
CCND1,2.472091589
SACS,2.471883127
MARCHF1,2.471539663
SH3GLB1,2.471013414
OLFML2A,2.470980553
EFCAB14,2.470972934
LGALS8,2.47068957
ELAPOR1,2.470365725
PANK4,2.470244284
CNN3,2.470143082
ELMOD3,2.469616836
ACADM,2.469596596
SH2D1B,2.469353713
PDE5A,2.468884489
VPS13D,2.468706027
GPATCH11,2.468625066
PLD1,2.468368052
B4GALT2,2.468321463
ZZZ3,2.468119061
TSGA10,2.467491615
MAP4K3,2.467471471
COMMD1,2.466965371
RCC1,2.466742729
ACVR1B,2.464845053
RAB33B,2.46440869
PLEC,2.4637959
HIVEP2,2.463279304
FBLN1,2.462924432
EPHB6,2.462420302
WDR45B,2.462223547
