Top 100 in network rodent_prioritised_string_interactions_short.tsv ranked by Degree method
Rank,Name,Score
1,GAPDH,316.0
2,ACTB,300.0
3,IL1B,287.0
4,FN1,263.0
5,CD4,258.0
6,STAT3,242.0
7,CD44,219.0
8,CD8A,214.0
9,PTPRC,208.0
10,MMP9,203.0
11,CCL2,196.0
12,HSP90AA1,187.0
13,BCL2,184.0
14,ITGAM,171.0
15,ESR1,168.0
15,CXCR4,168.0
17,HSP90AB1,162.0
18,IL1A,160.0
19,APOE,154.0
19,FOS,154.0
21,COL1A1,153.0
22,AGT,150.0
23,STAT1,146.0
24,IGF1,145.0
24,CCND1,145.0
26,CD34,142.0
26,CCL5,142.0
28,PTGS2,141.0
29,THBS1,138.0
30,MMP2,136.0
31,CXCL10,134.0
31,VCAM1,134.0
33,KIT,133.0
34,CD19,131.0
34,CD86,131.0
36,HSPA5,129.0
37,LCK,120.0
37,NFKBIA,120.0
37,CD163,120.0
40,TIMP1,117.0
40,HSPA8,117.0
42,UBA52,116.0
43,SERPINE1,115.0
44,CYCS,114.0
44,GATA3,114.0
44,FYN,114.0
47,SYK,112.0
47,SPI1,112.0
47,SELL,112.0
50,LOX,109.0
50,CREB1,109.0
52,B2M,107.0
53,COL1A2,106.0
53,TYROBP,106.0
55,PDGFRA,103.0
56,CCN2,102.0
56,MMP3,102.0
56,CSF1,102.0
59,BDNF,100.0
59,RUNX1,100.0
61,POSTN,99.0
62,LGALS3,97.0
62,CD69,97.0
64,CDH2,96.0
64,CD28,96.0
66,PLEK,95.0
66,BGN,95.0
66,IRF8,95.0
69,DCN,94.0
70,PRF1,93.0
70,LEF1,93.0
70,FOXO1,93.0
70,CDKN1A,93.0
74,FLNA,92.0
74,COL3A1,92.0
74,HMOX1,92.0
74,FCGR2A,92.0
78,VIM,91.0
78,CALR,91.0
78,LYN,91.0
81,CD2,90.0
81,MAPK8,90.0
81,FCGR1A,90.0
84,BCL2L1,89.0
85,TBX21,88.0
85,EGR1,88.0
85,VTN,88.0
85,ITGA4,88.0
89,KNG1,87.0
90,CD3E,86.0
90,CEBPA,86.0
92,NFE2L2,85.0
92,CEBPB,85.0
94,CD27,84.0
94,MDM2,84.0
96,MAPT,83.0
96,FCGR2B,83.0
96,SNAI1,83.0
96,CLU,83.0
100,CXCR2,82.0
