Top 100 in network rodent_prioritised_string_interactions_short.tsv ranked by DMNC method
Rank,Name,Score
1,AOC3,1.0835428657415922
2,KLRC1,1.0776926102392461
3,CCL7,1.0523737641877915
4,COL13A1,1.0140852665208202
5,CCL17,1.0015691963938789
6,CD96,0.9908732451137611
7,LILRB4,0.9769860942016254
8,KLRK1,0.976033534166671
9,CD244,0.9757063716020108
10,CXCL6,0.9648020209915477
11,ITGAE,0.9523339635917568
12,CCL3L1,0.9475774657575141
13,ICOS,0.9457017937908222
14,CCL22,0.9403410675634778
15,HAVCR2,0.9322825496781579
16,KLRD1,0.9269033448575407
17,IL31,0.9196631763216199
18,DPT,0.9147770851418824
19,CD1D,0.9099262508558389
20,CD27,0.9070654388236958
21,HCST,0.9059805633952641
22,GZMM,0.8987198277049916
23,DEPDC1,0.8978680417359959
23,SPC25,0.8978680417359959
23,CXCL17,0.8978680417359959
26,FCGR2B,0.8978521075053811
27,KLRG1,0.8974945971394176
28,CXCR6,0.8932250056209805
29,SPN,0.8926188514052525
30,FGF18,0.8922059929077029
31,CD28,0.8833020722199413
32,ADRA1B,0.8813438773082191
33,TBX21,0.8806421327281223
34,MGST3,0.8783688828539199
34,GSTM5,0.8783688828539199
34,MGST2,0.8783688828539199
37,GZMA,0.8737494076930311
38,CD24,0.8697492650390382
39,COLGALT1,0.8685707776370855
40,GZMK,0.8679076428268138
41,GSPT1,0.8634633198703043
42,CD69,0.861966273374049
43,COL5A3,0.8617184405151489
44,COL27A1,0.8591535459821303
45,UQCRHL,0.8557976779659519
46,CD3E,0.8529766823309017
47,GSTA3,0.85210817238638
48,IL1R1,0.850385645038169
49,ADGRE1,0.8500141056628111
50,IL18R1,0.8455851568612942
51,ACKR3,0.8447624122796009
52,PRF1,0.8435615280446335
53,CSF1,0.8431393594737858
54,CD207,0.8425815148834999
55,MYH7B,0.8353255749705149
56,CD2,0.8328259947458622
57,CLEC10A,0.8320840084351135
58,ADAMTS1,0.8312333360441796
59,FCGR2A,0.8243445492304577
60,MFAP2,0.819938152490172
61,KLRC3,0.8180575491372407
62,CXCL2,0.8176674465190382
63,CXCR5,0.8162786623892145
64,CD7,0.81508262574393
65,VEGFD,0.8106304972364218
66,KITLG,0.8102698376838557
67,SELL,0.8091524178228595
68,FOLR2,0.8076785308572904
69,IKZF2,0.8047052792814173
70,CFLAR,0.7987956355315177
71,ENG,0.7979092392252591
72,DDR2,0.7973809204903682
73,SH2D1A,0.7973004414515562
74,MMP14,0.7957390688315842
75,P4HA3,0.793342091532147
76,MRC1,0.7915591010216295
77,LOXL1,0.7898900800696119
78,SELE,0.7894587219143773
79,NKG7,0.7875832119199107
80,IKZF3,0.7858571190776072
81,LOXL2,0.7855221808128732
82,MMP10,0.783772709217224
83,CXCL14,0.7807559131620474
84,SEC11A,0.7805311985810482
85,F2RL2,0.7791590799391501
86,FCGR1A,0.7790602273732199
87,ADAMTS5,0.7767735121082109
88,GSTA1,0.773783656452948
89,ADRA1A,0.7711441792217089
90,RAG1,0.770727597636456
91,CD86,0.7687624236430194
92,RRAS2,0.7683385553661417
93,RGS16,0.7676425163223691
94,SIRPA,0.7675782375413127
95,CD47,0.767555770372402
96,RAET1E,0.7663859802680165
97,COL4A4,0.7657549457869429
98,OCLN,0.7641919332061964
99,CD84,0.7638775204697645
100,NPBWR1,0.7635631290466777
