Top 100 in network rodent_prioritised_string_interactions_short.tsv ranked by EPC method
Rank,Name,Score
1,GAPDH,193.57299999999992
2,IL1B,192.05999999999992
3,ACTB,190.0549999999999
4,STAT3,188.91599999999985
5,CD4,186.61399999999992
6,CCL2,185.9559999999999
7,CD8A,185.43699999999987
8,CD44,184.42999999999986
9,FN1,182.90299999999985
10,MMP9,181.28399999999976
11,PTPRC,180.7229999999998
12,CXCR4,178.32299999999998
13,BCL2,173.02499999999978
14,IL1A,171.85599999999977
15,ITGAM,171.55299999999988
16,STAT1,167.5709999999999
17,FOS,164.42599999999976
18,CD34,163.89099999999974
19,CCL5,162.859
20,HSP90AA1,162.75799999999978
21,PTGS2,162.1649999999999
22,APOE,161.0849999999997
23,MMP2,160.79100000000003
24,VCAM1,159.0549999999999
25,CD86,158.85799999999998
26,IGF1,156.43099999999987
27,ESR1,155.43799999999982
28,NFKBIA,154.96
29,CXCL10,154.14599999999993
30,KIT,154.13199999999983
31,CD19,152.88699999999986
32,CCND1,152.8139999999998
33,AGT,151.4749999999999
34,SELL,150.02599999999984
35,CD163,148.01299999999995
36,TIMP1,146.93699999999984
37,THBS1,146.44599999999974
38,CSF1,146.17400000000004
39,SERPINE1,146.05699999999996
40,HSP90AB1,145.292
41,GATA3,142.8819999999998
42,B2M,142.77599999999998
43,CD69,142.1699999999999
44,COL1A1,141.33399999999986
45,MMP3,140.99400000000009
46,SYK,140.55900000000014
47,LCK,139.047
48,CD28,138.69400000000016
49,FCGR2A,137.2199999999999
50,PRF1,135.65699999999998
51,LGALS3,135.62300000000002
52,PDGFRA,135.36100000000005
53,CCN2,135.28300000000016
54,LOX,135.057
55,SPI1,134.4659999999998
56,FCGR1A,133.38600000000005
57,IRF8,131.00799999999992
58,CYCS,130.5359999999999
59,TYROBP,130.02599999999998
60,FYN,129.86700000000008
61,CD3E,129.7250000000001
62,HMOX1,129.61400000000017
63,FCGR2B,127.82000000000012
64,BCL2L1,127.34199999999993
65,CD27,126.37600000000025
66,IL1R1,126.33200000000025
67,FOXO1,126.32999999999997
68,HSPA5,126.27000000000001
69,CD2,125.76200000000023
70,CASP8,125.661
71,TBX21,125.53200000000008
72,CDH2,124.729
73,KLRK1,124.19400000000017
74,FGF18,123.95700000000011
75,CREB1,123.25200000000001
76,RUNX1,123.15000000000008
77,ITGA4,122.47600000000003
78,ITGAE,122.0780000000002
79,LYN,121.66100000000012
80,BDNF,121.34500000000001
81,CDKN1A,121.31100000000018
82,HAVCR2,120.54100000000015
83,SNAI1,120.2740000000002
84,LEF1,119.95100000000012
85,CXCR2,118.21800000000022
86,CXCR5,118.0310000000002
87,POSTN,118.01700000000014
88,SELE,117.74300000000022
89,RAG1,117.0800000000001
90,ENG,117.03200000000038
91,CEBPB,116.99599999999994
92,MRC1,116.95200000000023
93,PLAU,116.85100000000008
94,SELP,116.41900000000022
95,SIRPA,115.92300000000013
96,EGR1,115.61700000000015
97,CD1D,115.5710000000002
98,MAPK8,115.36700000000006
99,CXCL2,114.92400000000015
100,VIM,114.61400000000016
