Top 100 in network rodent_prioritised_string_interactions_short.tsv ranked by MCC method
Rank,Name,Score
1,CD4,1.8744878765488477E27
2,IL1B,1.8743239006603623E27
3,CD44,1.8729350922580167E27
4,CCL5,1.872718836694317E27
5,CD8A,1.8722250199800847E27
6,ITGAM,1.8694801593639038E27
7,CXCL10,1.8592584570753823E27
8,PTPRC,1.8359038009043935E27
9,CD86,1.7975971003454653E27
10,SELL,1.7974753482316216E27
11,CD19,1.797468096415959E27
12,CD28,1.7940782756743535E27
13,PRF1,1.7930752011906027E27
14,CD69,1.7927434166943426E27
15,HAVCR2,1.7868423720029275E27
16,CD27,1.7856196287205575E27
17,TBX21,1.7788849211892908E27
18,ICOS,1.7671314665359465E27
19,ITGAE,1.7555962043105874E27
20,GATA3,1.742925963283889E27
21,CD3E,1.7428313393986104E27
22,CXCR6,1.6825716661616678E27
23,CD2,1.6731791579987035E27
24,KLRC1,1.630168600295833E27
25,CD1D,1.3362276525961405E27
26,KLRK1,1.266202052308074E27
27,CXCR4,1.0456152610334574E27
28,KLRD1,8.099493251681726E26
29,CXCR5,5.0391390078474166E26
30,GZMA,4.2246737908809615E26
31,CCL2,2.0126033468636695E26
32,IL1A,1.3047607432404284E26
33,STAT3,1.0963262013838175E26
34,STAT1,1.0687597033315808E26
35,BCL2,1.0634224318291743E26
36,CD34,8.670253997438663E25
37,GAPDH,8.589329205787345E25
38,ACTB,8.582509656953606E25
39,FN1,8.024920112892025E25
40,MMP9,8.024780181736071E25
41,VCAM1,7.951441150157078E25
42,FCGR2B,7.885199852868886E25
43,PTGS2,7.572876256243907E25
44,APOE,7.543565220623282E25
45,TIMP1,7.53722529574567E25
46,CSF1,7.17312508205521E25
47,IGF1,7.136960317336288E25
48,CD163,6.069926062363284E25
49,FCGR2A,4.466890258986868E25
50,FOS,4.186292515154055E25
51,MMP2,3.8629932635300084E25
52,B2M,1.3173877919636583E25
53,NFKBIA,5.196715708035005E24
54,LCK,4.931222959576513E24
55,THBS1,4.711661977257688E24
56,AGT,3.690702785803641E24
57,FGF18,3.2121821131183667E24
58,FCGR1A,3.0201590274286533E24
59,KIT,2.341293639911946E24
60,ITGA4,1.6546741658824E24
61,HMOX1,1.533833838223358E24
62,ESR1,1.5288266091822435E24
63,CCND1,1.4344904202310264E24
64,CASP8,1.4220597217103285E24
65,BCL2L1,1.4199245103713853E24
66,HSP90AA1,1.417236790428446E24
67,CYCS,1.4083061252156222E24
68,CREB1,1.4040057702109174E24
69,KLRG1,1.3306693935442043E24
70,CDKN1A,1.300270924233643E24
71,MAPK8,1.2434756107206363E24
72,SYK,1.0943313281603586E24
73,MMP3,9.7320487099002E23
74,SELE,5.623166140671589E23
75,LGALS3,3.2725300814635164E23
76,TYROBP,2.9429158246929665E23
77,SERPINE1,2.618815752260848E23
78,LOX,2.3944282449838557E23
79,CD247,2.041550360357269E23
80,BDNF,1.9296499294709935E23
81,MRC1,1.5431906891610054E23
82,CXCR2,1.3374478387538477E23
83,HSP90AB1,1.1295991487166242E23
84,AOC3,8.749663248199394E22
85,CD24,5.627805613081337E22
86,COL1A1,4.243638144574375E22
87,CCN2,4.1348489256482936E22
88,CXCL2,3.950211516443034E22
89,MMP14,3.4108149111904778E22
90,IL1R1,3.3359997587282077E22
91,CCL20,3.1186166687412427E22
92,TIMP3,2.8383725665097278E22
93,POSTN,2.8355289333475156E22
94,ELN,2.8240467687564212E22
95,DCN,2.8110674702329232E22
96,COL3A1,2.8108449804890795E22
97,COL1A2,2.8105657766285886E22
98,TGFB3,2.710130951342003E22
99,RAG1,9.33781239937887E21
100,IRF8,8.301029442339303E21
