Top 100 in network rodent_prioritised_string_interactions_short.tsv ranked by MNC method
Rank,Name,Score
1,GAPDH,316.0
2,ACTB,298.0
3,IL1B,287.0
4,FN1,259.0
5,CD4,256.0
6,STAT3,241.0
7,CD44,218.0
8,CD8A,214.0
9,PTPRC,207.0
10,MMP9,203.0
11,CCL2,194.0
12,HSP90AA1,186.0
13,BCL2,183.0
14,ITGAM,171.0
15,CXCR4,168.0
16,ESR1,164.0
17,HSP90AB1,162.0
18,IL1A,159.0
19,FOS,154.0
20,APOE,153.0
20,COL1A1,153.0
22,AGT,150.0
23,IGF1,145.0
23,STAT1,145.0
25,CCND1,143.0
26,CD34,141.0
26,PTGS2,141.0
26,CCL5,141.0
29,THBS1,138.0
30,MMP2,135.0
31,VCAM1,134.0
32,CXCL10,133.0
33,KIT,132.0
34,CD19,131.0
34,CD86,131.0
36,HSPA5,124.0
37,LCK,120.0
37,CD163,120.0
39,TIMP1,117.0
39,NFKBIA,117.0
41,SERPINE1,115.0
41,HSPA8,115.0
43,FYN,114.0
44,CYCS,113.0
44,GATA3,113.0
46,SYK,112.0
47,SPI1,111.0
48,SELL,110.0
49,LOX,109.0
50,B2M,107.0
50,UBA52,107.0
52,CREB1,106.0
53,COL1A2,105.0
53,TYROBP,105.0
55,PDGFRA,102.0
55,MMP3,102.0
57,CCN2,101.0
57,CSF1,101.0
59,RUNX1,99.0
60,POSTN,98.0
61,BDNF,97.0
62,LGALS3,96.0
62,CD28,96.0
62,CD69,96.0
65,IRF8,95.0
66,DCN,94.0
66,CDH2,94.0
68,PRF1,93.0
68,LEF1,93.0
68,BGN,93.0
68,CDKN1A,93.0
72,COL3A1,92.0
72,HMOX1,92.0
72,FCGR2A,92.0
75,VIM,91.0
75,CALR,91.0
75,FOXO1,91.0
78,FCGR1A,90.0
79,CD2,89.0
79,LYN,89.0
81,TBX21,88.0
81,MAPK8,88.0
83,EGR1,87.0
83,BCL2L1,87.0
83,ITGA4,87.0
86,CD3E,86.0
86,FLNA,86.0
86,VTN,86.0
86,CEBPA,86.0
90,KNG1,85.0
90,CEBPB,85.0
92,CD27,84.0
92,NFE2L2,84.0
94,FCGR2B,83.0
95,MDM2,82.0
95,CLU,82.0
97,SOD2,81.0
98,CXCR2,80.0
98,SNAI1,80.0
98,CASP8,80.0
