Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Mup-ps19,not found,,,
Gm19990,not found,,,
Nlrp5-ps,not found,,,
Gm13176,not found,,,
2810442I21Rik,not found,,,
C130080G10Rik,not found,,,
Serpina3e-ps,not found,,,
AK134233,error - retries exceeded,,,
XLOC_025643,error - retries exceeded,,,
XLOC_000111,error - retries exceeded,,,
AK031221,error - retries exceeded,,,
AK084660,error - retries exceeded,,,
AK156967,error - retries exceeded,,,
AK141565,error - retries exceeded,,,
2610017I09Rik,not found,,,
humanlincRNA2050,error - retries exceeded,,,
AK156090,error - retries exceeded,,,
AK140097,error - retries exceeded,,,
BC086315,error - retries exceeded,,,
Fah,ENSG00000103876,ortholog_one2one,88.3055,94.5107
Dlx6os1,not found,,,
C130071C03Rik,not found,,,
Nusap1,ENSG00000137804,ortholog_one2one,61.678,72.7891
Ahsg,ENSG00000145192,ortholog_one2one,58.5831,68.9373
Gm3892,not found,,,
Gm14204,not found,,,
Gm6754,not found,,,
AK144783,error - retries exceeded,,,
Nwd1,ENSG00000188039,ortholog_one2one,77.095,86.5223
4833428L15Rik,not found,,,
Pak7,ENSG00000101349,ortholog_one2one,93.8804,96.8011
Alox5,ENSG00000012779,ortholog_one2one,92.8783,96.5875
Bai3,ENSG00000135298,ortholog_one2one,98.3574,99.343
AK146794,error - retries exceeded,,,
humanlincRNA1712,error - retries exceeded,,,
AK046285,error - retries exceeded,,,
AK143973,error - retries exceeded,,,
Gm10863,not found,,,
AK015661,error - retries exceeded,,,
Olfr990-ps1,not found,,,
AK039729,error - retries exceeded,,,
AK087397,error - retries exceeded,,,
Rmst,not found,,,
AK132645,error - retries exceeded,,,
AK051713,error - retries exceeded,,,
AK076311,error - retries exceeded,,,
AK040275,error - retries exceeded,,,
Npr1,ENSG00000169418,ortholog_one2one,90.6692,94.0622
AK138478,error - retries exceeded,,,
Lrfn5,ENSG00000165379,ortholog_one2one,94.7149,96.5229
Nupr1,ENSG00000176046,ortholog_one2one,73.1707,75.6098
AK020832,error - retries exceeded,,,
AK020757,error - retries exceeded,,,
D7Ertd715e,not found,,,
Gm5859,not found,,,
AK013470,error - retries exceeded,,,
AK008754,error - retries exceeded,,,
3110039M20Rik,not found,,,
AK089129,error - retries exceeded,,,
AK032235,error - retries exceeded,,,
AK005616,error - retries exceeded,,,
A930011O12Rik,not found,,,
AK030618,error - retries exceeded,,,
C130071C03Rik,not found,,,
Xist,not found,,,
H2-Bl,not found,,,
AK005214,error - retries exceeded,,,
Cryba1,ENSG00000108255,ortholog_one2one,95.3488,96.7442
AK015642,error - retries exceeded,,,
Eda2r,ENSG00000131080,ortholog_one2one,80.1347,86.8687
AK082001,error - retries exceeded,,,
BC056457,error - retries exceeded,,,
AK047207,error - retries exceeded,,,
