gene	Nichols_24571919	Chen28689251	Bao_27137150	Bhaskaran_22911455	Chao27770432	Denervaud_26353077_down_ranked	Denervaud_26353077_up_ranked	Natarajan_28851267_down	Natarajan_28851267_up	Revhaug_31454811_down_ranked	Revhaug_31454811_up_ranked	Shrestha_33446917_down_	Shrestha_33446917_up	Al_mudares_37368978_female	Al_mudares_37368978_male	Bhattacharya_25150062	Cheng_31961470	Coarfa_28818871_female_down_day21_ranked	Coarfa_28818871_female_down_day7_ranked	Coarfa_28818871_female_up_day21_ranked	Coarfa_28818871_female_up_day7_ranked	Coarfa_28818871_male_down_day21	Coarfa_28818871_male_down_day7	Coarfa_28818871_male_up_day21	Coarfa_28818871_male_up_day7	Dong_36157523	Dravet_gounot_29287116_p21	Nitkin_32753701_24hr_unranked	Nitkin_32753701_6hr_unranked	Rao_37310763_ranked	x_dravet_gounot_29287116_p10	Hurskainen_33692365_endothelial	Hurskainen_33692365_epithelial	Hurskainen_33692365_stroma	Scaffa_34417156_ranked	maic_score	contributors
RAC2	0.0	1.4726668334724653	0.0	0.0	0.0	0.0	1.662222338838045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5025844052418609	0.0	1.3432567256517618	0.0	0.0	0.0	0.0	1.3839196853024043	6.021393262854776	SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251
CXCR2	0.0	1.4726668334724653	0.0	0.0	0.0	0.0	1.662221188838045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5025844052418609	0.0	1.4833656981839753	0.0	1.3216180447526396	1.3211625061112335	1.3227534416501237	0.0	5.960225869202494	SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251
IL1R2	0.0	1.4726668334724653	0.0	0.0	0.0	0.0	1.662221538838045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.409341391778207	0.0	1.3229696604459984	1.3225958603847023	1.3244132552276275	0.0	5.868643019316345	SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251, RNASEQ: Rao_37310763_ranked
BAX	0.0	0.0	0.0	0.0	1.4514167718539397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.228826805207915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3756102175585805	5.055853794620435	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, MICROARRAY: Chao27770432
FMO3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.200345252599115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3461852025844616	0.0	0.0	0.0	1.3180063748184625	0.0	4.864536830002039	MICROARRAY: Natarajan_28851267_up, SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Rao_37310763_ranked
LCN2	0.0	0.0	0.0	1.7113236936958742	0.0	0.0	1.662222398838045	0.0	0.0	0.0	1.5377325210994788	0.0	0.0	0.0	1.4242933926333092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4895093990469637	0.0	1.5025844052418609	0.0	0.0	0.0	1.3132894269238438	1.3124941255050178	1.3125289900126995	1.3866207314817047	4.6005288304194405	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
CD2	0.0	1.4726668334724653	0.0	0.0	0.0	0.0	1.662222168838045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46468467784122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45450975238392	0.0	0.0	0.0	0.0	0.0	4.59957368015173	RNASEQ: Bhattacharya_25150062, MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251
LGALS3	0.0	0.0	0.0	1.7113236636958742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5025844052418609	0.0	0.0	0.0	0.0	0.0	0.0	1.3832256665515967	4.597133735489332	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
CCN2	0.0	0.0	0.0	1.7113236236958742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5025844052418609	0.0	0.0	0.0	0.0	0.0	0.0	1.3751600432338729	4.589068072171608	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
IGF1	0.0	0.0	0.0	1.7113233436958744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4242809861323855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5025844052418609	0.0	0.0	0.0	0.0	0.0	0.0	1.3684824574173768	4.582390206355112	SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455
