Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Mybphl,Ifi27l2a,not found
Retn,Retn,ENSG00000104918
Hamp,Iglc3,ENSG00000211685
Igsf1,Hamp,ENSG00000105697
Art1,Pi16,ENSG00000164530
Art3,Igsf1,ENSG00000147255
Fgf12,Mybphl,ENSG00000221986
Ifi27l2a,Gzmm,ENSG00000197540
Pi16,Art1,ENSG00000129744
Iglc3,Art3,ENSG00000156219
Klra4,Fgf12,ENSG00000114279
Gzmm,Ly6d,ENSG00000167656
Klra15,Klra4,not found
Klra22,Ms4a1,ENSG00000156738
Klra16,Asb11,ENSG00000165192
Ms4a1,Pou2af1,ENSG00000110777
Asb11,Cd19,ENSG00000177455
Ly6d,Bank1,ENSG00000153064
Bank1,Muc20,ENSG00000176945
Bcl11a,Cd79b,ENSG00000007312
Pou2af1,Bcl11a,ENSG00000119866
Asb10,Txk,ENSG00000074966
Cd19,Asb10,ENSG00000146926
Cd79b,Hcst,ENSG00000126264
Muc20,Mgst2,ENSG00000085871
Txk,Vpreb3,ENSG00000128218
Rasgrp1,Cd24a,ENSG00000272398
Mgst2,Rasgrp1,ENSG00000172575
Hcst,Skap1,ENSG00000141293
Skap1,Klra22,error - retries exceeded
Vpreb3,Mzb1,ENSG00000170476
Spn,Klra16,error - retries exceeded
Cd24a,Cyfip2,ENSG00000055163
Cyfip2,Cxcr5,ENSG00000160683
Blnk,Gmfg,ENSG00000130755
Mzb1,Epor,ENSG00000187266
Epor,Blnk,ENSG00000095585
Gmfg,Klra15,error - retries exceeded
Cxcr5,Spn,ENSG00000197471
Ankrd44,Cdc42se2,ENSG00000158985
Cdc42se2,Ankrd44,ENSG00000065413
