Rat Gene Ranked,Rat Gene Unranked,Human Ortholog Gene Symbol
RGD1307225,RGD1307225,not found
Unc79,Scube2,ENSG00000175356
Mdga2,Opcml,ENSG00000183715
Thsd7b,Mdga2,ENSG00000139915
Ccdc3,Ccdc3,ENSG00000151468
Galntl1,Galntl1,ENSG00000100626
Opcml,Adamts5,ENSG00000154736
Cd109,Cd109,ENSG00000156535
Adamts5,Thsd7b,ENSG00000144229
Scube2,Unc79,ENSG00000133958
Pdgfrl,Mypn,not found
Mark1,Pdgfrl,ENSG00000104213
Rrad,Cyp2e1,ENSG00000130649
Nox4,Fam3b,ENSG00000183844
LRRTM1,Nox4,ENSG00000086991
Mypn,Trpc3,ENSG00000138741
Cyp2e1,Mark1,ENSG00000116141
Kcnj5,Rrad,ENSG00000166592
Trpc3,LRRTM1,ENSG00000162951
Fam3b,LOC501110,not found
Cilp,LOC499279,ENSG00000175018
Esr1,Cilp,ENSG00000138615
LOC499279,Bex4,ENSG00000102409
LOC501110,Kcnj5,ENSG00000120457
Bex4,Ostn,ENSG00000188729
Ostn,Esr1,ENSG00000091831
Atp1a2,Rab3b,ENSG00000169213
Rab3b,Lppr1,ENSG00000148123
Lppr1,Olr1708,not found
Olr5,Olr1710,not found
RGD1312005,Atp1a2,ENSG00000018625
Mmp12,Olr1704,not found
Olr1708,Olr1707,not found
LOC308670,Olr5,error - retries exceeded
Olr1710,RGD1312005,ENSG00000186367
Etnk2,LOC308670,error - retries exceeded
Rbp7,Rbp7,ENSG00000162444
Olr1707,Olr1418,ENSG00000182783
Olr1704,RGD1560314,error - retries exceeded
RGD1560314,Mmp12,ENSG00000262406
Clic2,Clic2,ENSG00000155962
Olr1418,Etnk2,ENSG00000143845
