Rat Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Ccl5,not found,,,
Cd177,ENSG00000204936,ortholog_one2one,50.1144,67.9634
Gzmk,ENSG00000113088,ortholog_one2one,70.8333,82.197
Gzma,ENSG00000145649,ortholog_one2one,69.8473,82.0611
Il18rap,ENSG00000115607,ortholog_one2one,66.1102,77.9633
Fcgr2b,ENSG00000072694,ortholog_many2many,50,64.5161
Nckap1l,ENSG00000123338,ortholog_one2one,94.4987,97.3381
Nkg7,ENSG00000105374,ortholog_one2one,71.5152,77.5758
Klrk1,ENSG00000213809,ortholog_one2one,58.7963,71.7593
Klri1,ENSG00000205809,ortholog_many2many,20.7792,36.7965
Prf1,ENSG00000180644,ortholog_one2one,69.1892,81.982
Igha,error - retries exceeded,,,
Spn,ENSG00000197471,ortholog_one2many,50.25,60.75
Lcn2,ENSG00000148346,ortholog_one2one,53.5354,67.1717
Klrb1a,ENSG00000111796,ortholog_one2many,45.3333,60.8889
MGC105649,not found,,,
Chia,ENSG00000134216,ortholog_one2many,82.1429,90.9664
Emr1,ENSG00000174837,ortholog_one2one,67.1558,79.2325
Il12rb2,ENSG00000081985,ortholog_one2one,64.5012,74.594
Cd37,ENSG00000104894,ortholog_one2one,70.8185,80.427
C3,ENSG00000125730,ortholog_one2one,78.8334,89.1161
Coro1a,ENSG00000102879,ortholog_one2one,93.9262,96.7462
Plac8,ENSG00000145287,ortholog_one2one,80.8696,85.2174
Cxcr6,ENSG00000172215,ortholog_one2one,71.9298,83.0409
Klrb1c,ENSG00000111796,ortholog_one2many,43.5556,58.2222
Cd4,ENSG00000010610,ortholog_one2one,52.6201,66.8122
LOC314509,error - retries exceeded,,,
Rac2,ENSG00000128340,ortholog_one2one,94.2708,97.3958
Dok2,ENSG00000147443,ortholog_one2one,73.0583,78.3981
Ptprcap,ENSG00000213402,ortholog_one2one,64.5631,71.8447
Gzmm,ENSG00000197540,ortholog_one2one,67.3152,79.7665
Cd8a,ENSG00000153563,ortholog_one2one,48.9362,59.1489
Stat4,ENSG00000115415,ortholog_one2one,85.6,88.6667
RGD1564318,ENSG00000211685,ortholog_many2many,66.9811,83.9623
Acap1,ENSG00000072818,ortholog_one2one,92.2973,95.9459
