Mouse Genes,Human Ortholog Symbol
Cd207,ENSG00000116031
Fn1,ENSG00000115414
Ms4a7,ENSG00000166927
Gng8,ENSG00000167414
Cd163l1,ENSG00000214279
Prl2c1,ENSG00000172179
Ccl17,ENSG00000102970
C6,ENSG00000039537
Mmp2,ENSG00000087245
Rab7b,ENSG00000276600
Art4,ENSG00000111339
Slit2,ENSG00000145147
Il12b,ENSG00000113302
Trem2,ENSG00000095970
Havcr2,ENSG00000135077
Cd86,ENSG00000114013
Itih1,ENSG00000055957
Itgae,ENSG00000083457
Klrb1b,ENSG00000111796
Lcn2,ENSG00000148346
Stab2,ENSG00000136011
Batf3,ENSG00000123685
Neo1,ENSG00000067141
TGFβ3,
Raet1e,ENSG00000131019
Scrn1,ENSG00000136193
Irf8,ENSG00000140968
Slamf9,ENSG00000162723
