Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Gm7850,not found,,,
Ywhaq-ps1,not found,,,
Ccl2,not found,,,
Mt2,not found,,,
Rasd1,ENSG00000108551,ortholog_one2one,96.7971,97.8648
Myh1,ENSG00000109061,ortholog_one2one,96.8025,98.6591
Myc,ENSG00000136997,ortholog_one2one,89.8678,93.3921
Fosl1,ENSG00000175592,ortholog_one2one,89.6679,91.8819
Birc5,ENSG00000089685,ortholog_one2one,82.3944,91.5493
Krt13,not found,,,
Hspa1a,ENSG00000204388,ortholog_many2many,95.1638,98.2839
Hspa1a,ENSG00000204389,ortholog_many2many,95.1638,98.2839
Sfn,ENSG00000076043,ortholog_one2one,94.0928,96.2025
Adm,ENSG00000148926,ortholog_one2one,65.9459,71.8919
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
Hspa1b,ENSG00000204388,ortholog_many2many,95.1638,98.2839
Hspa1b,ENSG00000204389,ortholog_many2many,95.1638,98.2839
Mt1,ENSG00000205362,ortholog_one2one,81.9672,93.4426
Lcn2,ENSG00000148346,ortholog_one2one,57.5758,73.7374
Sphk1,ENSG00000176170,ortholog_one2one,79.4271,87.5
Gclc,ENSG00000001084,ortholog_one2one,94.1915,97.0173
Hmox1,ENSG00000100292,ortholog_one2one,81.9444,90.9722
Nfil3,ENSG00000165030,ortholog_one2one,84.4156,91.5584
Txnrd1,ENSG00000198431,ortholog_one2one,72.265,77.1957
Atf3,ENSG00000162772,ortholog_one2one,95.0276,98.895
Acta1,ENSG00000143632,ortholog_one2one,100,100
Mef2a,ENSG00000068305,ortholog_one2one,95.8416,96.6337
Top2a,ENSG00000131747,ortholog_one2one,89.4187,93.9909
Map3k6,ENSG00000142733,ortholog_one2one,87.1894,91.2267
Pdk4,ENSG00000004799,ortholog_one2one,92.944,97.0803
Areg,ENSG00000109321,ortholog_one2one,69.0476,80.5556
Ccl17,ENSG00000102970,ortholog_one2one,61.7021,77.6596
Cyp2a12,ENSG00000255974,ortholog_many2many,70.4453,84.2105
Cyp2a12,ENSG00000198077,ortholog_many2many,70.8502,83.8057
Cyp2a12,ENSG00000197838,ortholog_many2many,73.2794,85.4251
Arg2,ENSG00000081181,ortholog_one2one,84.7458,91.8079
Lrg1,ENSG00000171236,ortholog_one2one,63.1124,73.1988
Mylf-ps,not found,,,
Fas,ENSG00000026103,ortholog_one2one,48.0597,62.3881
Gm15772,not found,,,
Gm10136,not found,,,
Errfi1,ENSG00000116285,ortholog_one2one,82.0346,89.1775
