Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
ENSMUSG00000034252,ENSG00000112701,ortholog_one2one,81.0252,89.2086
ENSMUSG00000043015,ENSG00000189362,ortholog_one2one,70.2638,82.494
ENSMUSG00000015656,ENSG00000109971,ortholog_one2one,99.8452,100
ENSMUSG00000031174,ENSG00000156313,ortholog_one2one,39.7569,51.0417
ENSMUSG00000059327,ENSG00000158813,ortholog_one2one,94.6292,94.8849
ENSMUSG00000028184,ENSG00000117114,ortholog_one2one,95.5071,97.209
ENSMUSG00000026864,ENSG00000044574,ortholog_one2one,98.6239,99.2355
ENSMUSG00000026864,ENSG00000044574,ortholog_one2one,98.6239,99.2355
ENSMUSG00000068614,ENSG00000159251,ortholog_one2one,100,100
ENSMUSG00000061086,ENSG00000198336,ortholog_one2one,89.3401,92.3858
ENSMUSG00000030616,ENSG00000137501,ortholog_one2one,61.188,71.6838
ENSMUSG00000019916,ENSG00000122884,ortholog_one2one,95.3184,98.1273
ENSMUSG00000023944,ENSG00000096384,ortholog_one2one,99.5856,99.8619
ENSMUSG00000056569,ENSG00000158887,ortholog_one2one,93.9516,97.5806
ENSMUSG00000012640,not found,,,
ENSMUSG00000042364,ENSG00000178996,ortholog_one2one,95.5128,95.9936
ENSMUSG00000028410,ENSG00000086061,ortholog_one2one,99.4962,100
ENSMUSG00000028410,ENSG00000086061,ortholog_one2one,99.4962,100
ENSMUSG00000024966,ENSG00000168439,ortholog_one2one,97.4217,98.895
ENSMUSG00000004221,ENSG00000269335,ortholog_one2one,86.6348,90.9308
ENSMUSG00000039990,ENSG00000107938,ortholog_one2one,93.2149,97.0113
ENSMUSG00000091898,ENSG00000114854,ortholog_one2one,99.3789,100
ENSMUSG00000020593,ENSG00000134324,ortholog_one2one,88.5529,92.6566
ENSMUSG00000040584,ENSG00000085563,ortholog_one2many,86.9531,93.0469
ENSMUSG00000021608,ENSG00000153395,ortholog_one2one,88.3895,92.8839
ENSMUSG00000030357,ENSG00000004478,ortholog_one2one,89.7603,95.207
ENSMUSG00000033540,ENSG00000127415,ortholog_one2one,77.4885,84.3798
ENSMUSG00000021023,ENSG00000100890,ortholog_one2one,77.187,86.964
