Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Esr1,2010005H15Rik,ENSG00000121552
Tnfsf12Tnfsf13,Stfa3,ENSG00000121552
Stfa3,Gm5483,ENSG00000121552
Lysmd2,Stfa2,ENSG00000121552
Gm5483,Zfp579,ENSG00000218891
2010005H15Rik,Clec4e,ENSG00000166523
Slfn4,Il1b,ENSG00000125538
Clec4e,Slfn4,ENSG00000172123
Stfa2,Slfn4,ENSG00000205045
BC100530,Stfa1,ENSG00000121552
Cxcr2,Retnlg,ENSG00000163515
S100a9,Lysmd2,ENSG00000140280
Zfp579,Esr1,ENSG00000091831
Retnlg,Cxcr2,ENSG00000180871
Il1b,Tmem100,ENSG00000166292
Tmem100,S100a9,ENSG00000163220
Tmod3,S100a8,ENSG00000143546
S100a8,Cxcl1,ENSG00000163734
Stfa1,Lrrc15,ENSG00000172061
Lrrc15,Cebpb,ENSG00000172216
Zfp36,Slc26a4,ENSG00000091137
C5ar1,Tdo2,ENSG00000151790
Tdo2,Serpina3f,ENSG00000196136
Cxcl1,Gm13826,not found
Slc26a4,BC100530,error - retries exceeded
Cebpb,F10,ENSG00000126218
Gm13826,Asprv1,ENSG00000244617
Arg1,Mmp8,ENSG00000118113
F10,Arl14,ENSG00000179674
Mmp8,C5ar1,ENSG00000197405
Fam101b,Tmod3,ENSG00000138594
Serpina3f,Fam101b,ENSG00000183688
Arl14,Arg1,ENSG00000142910
Asprv1,Stfa2l1,ENSG00000121552
Ifitm6,Tmod2,ENSG00000128872
Tmod2,Il1rn,ENSG00000136689
Rspo2,Fpr1,ENSG00000171051
Il1rn,5930412G12Rik,not found
Dip2c,Ifitm6,ENSG00000185201
Stfa2l1,Ifitm6,ENSG00000185885
Rpl34,Ifitm6,ENSG00000142089
5930412G12Rik,Trem1,ENSG00000124731
Fpr1,Rpl34,ENSG00000109475
Aspn,Aspn,ENSG00000106819
Trem1,Sap25,ENSG00000205307
Sap25,Ngp,not found
Saa3,Saa3,not found
Capn11,Dip2c,ENSG00000151240
Ngp,Zfp36,ENSG00000110315
Stk38l,Cebpd,ENSG00000221869
Cyp26b1,Il1f9,ENSG00000136688
Jmjd7-pla2g4b,Cyp26b1,ENSG00000003137
Cebpd,Stk38l,ENSG00000211455
E130309D14Rik,Rspo2,ENSG00000147655
Plekhf1,E130309D14Rik,ENSG00000277200
Il1f9,Capn11,ENSG00000137225
Adamts8,Plekhf1,ENSG00000166289
Ecm2,Ndp,ENSG00000124479
Chl1,Gdf9,ENSG00000164404
Gdf9,Vsig1,ENSG00000101842
Igdcc3,Adamts8,ENSG00000134917
Vsig1,Ecm2,ENSG00000106823
Socs3,3830408C21Rik,not found
Ndp,Pkia,ENSG00000171033
Akr1c12,Igdcc3,ENSG00000174498
Pkia,Fpr2,ENSG00000171049
Steap4,Socs3,ENSG00000184557
Kif26a,Steap4,ENSG00000127954
3830408C21Rik,Ly6g6d,ENSG00000244355
Sh2b2,Il1a,ENSG00000115008
Fpr2,Kif26a,ENSG00000066735
Col15a1,Jmjd7-pla2g4b,error - retries exceeded
Tnfsf10,Col15a1,ENSG00000204291
Ly6g6d,Akr1c12,not found
Il1a,Tnfsf10,ENSG00000121858
Nrg2,Slc10a6,ENSG00000145283
Heyl,Sh2b2,ENSG00000160999
Wisp1,Ccl7,ENSG00000108688
Wt1,Chl1,ENSG00000101938
Cd2,Gm4956,not found
Slc10a6,Wisp1,ENSG00000104415
Ccl7,Nrg2,ENSG00000158458
Asap3,Wt1,ENSG00000184937
Nfil3,Asap3,ENSG00000088280
Fam110c,Fam110c,ENSG00000184731
Wdr86,Cd2,ENSG00000116824
Gm4956,Cd14,ENSG00000170458
LOC100503496,D3Ertd751e,ENSG00000151470
Cd14,Heyl,ENSG00000163909
D3Ertd751e,Inmt,ENSG00000241644
Prg4,Prg4,ENSG00000116690
Pnmal2,Depdc1b,ENSG00000035499
Inmt,Wdr86,ENSG00000187260
Depdc1b,Itgam,ENSG00000169896
Wscd1,Thg1l,ENSG00000113272
Eno1b,Wscd1,ENSG00000179314
Thg1l,Eno1b,ENSG00000074800
Atn1,Nfil3,ENSG00000165030
Itgam,Atn1,ENSG00000111676
Nfkbiz,Pnmal2,ENSG00000204851
Fcer2a,Tcf23,ENSG00000163792
Tcf23,Nfkbiz,ENSG00000144802
Baz1a,C1qtnf2,ENSG00000145861
Akap8l,Akap8l,ENSG00000011243
Olfm4,LOC100503496,error - retries exceeded
C1qtnf2,Fcer2a,ENSG00000104921
Clec4d,Baz1a,ENSG00000198604
Mbd6,Il6ra,ENSG00000160712
Il6ra,Fosl2,ENSG00000075426
Fosl2,Junb,ENSG00000171223
Chrm3,Chrm3,ENSG00000133019
Mmp9,Nol3,ENSG00000140939
Junb,Olfm4,ENSG00000102837
Nol3,Mbd6,ENSG00000166987
Xlr3a,Mmp9,ENSG00000100985
Tle1,Xlr3a,not found
Slc30a1,Tle1,ENSG00000196781
Obsl1,Slc30a1,ENSG00000170385
Il4i1,Gm12657,not found
Gm12942,Cd300lf,ENSG00000186074
Cd300lf,Gm12216,not found
Kmt2b,Plxna4os1,not found
Tnf,Tnf,ENSG00000232810
Rnf40,Kmt2b,ENSG00000272333
Plxna4os1,Obsl1,ENSG00000124006
Gm12657,Wfdc17,not found
Padi4,Il4i1,ENSG00000104951
Gm12216,Padi4,ENSG00000159339
Safb2,Safb2,ENSG00000130254
Rad51c,Cdk2ap2,ENSG00000167797
Wfdc17,Cxcl14,ENSG00000145824
Cdk2ap2,Rad51c,ENSG00000108384
Dusp19,Emcn,ENSG00000164035
Cxcl14,Adamts13,ENSG00000160323
Adamts13,Fgfr4,ENSG00000160867
Fgfr4,Camk4,ENSG00000152495
Ikbke,Ikbke,ENSG00000263528
Emcn,Rnf40,ENSG00000103549
Fgr,Fgr,ENSG00000000938
Camk4,Nxpe2,ENSG00000204361
Pdlim1,Clec4d,ENSG00000166527
Nab2,Nab2,ENSG00000166886
Nxpe2,Nlrp3,ENSG00000162711
Emilin2,A230057D06Rik,not found
Hif3a,Hif3a,ENSG00000124440
Nlrp3,Serpina3h,not found
Srp54b,Pdlim1,ENSG00000107438
Rnd1,Gm12942,error - retries exceeded
Cd33,Cd33,ENSG00000105383
Mrpl36,Cd33,ENSG00000105492
A230057D06Rik,Srp54b,ENSG00000100883
Map3k10,Emilin2,ENSG00000132205
Serpina3h,Dusp19,ENSG00000162999
Dlg2,Rnd1,ENSG00000172602
Glt28d2,Clec5a,ENSG00000258227
Ybx2,1700052K11Rik,not found
Zbtb16,4933409K07Rik,not found
1700052K11Rik,Glt28d2,not found
Clec5a,Mrpl36,ENSG00000171421
Map3k8,Map3k10,ENSG00000130758
Timp1,Bbc3,ENSG00000105327
4933409K07Rik,Ybx2,ENSG00000006047
Nyap1,Nyap1,ENSG00000166924
Bbc3,Lilra6,ENSG00000186818
Lilra6,Lilra6,ENSG00000204577
Grem1,Lilra6,ENSG00000244482
Per1,Lilra6,ENSG00000187116
Cxcl13,Lilra6,ENSG00000105609
Slc4a11,Lilra6,ENSG00000239961
Tmem243,Map3k8,ENSG00000107968
Serpina3g,Timp1,ENSG00000102265
Zfp239,Serpina3g,ENSG00000196136
Trim39,Grem1,ENSG00000166923
Nox4,Zfp239,ENSG00000196793
Lgr6,Per1,ENSG00000179094
A230050P20Rik,1600029O15Rik,not found
1600029O15Rik,Gm5424,not found
Gm5424,Tmem243,ENSG00000135185
Socs1,Slc4a11,ENSG00000088836
Qsox1,Dlg2,ENSG00000150672
Dgke,Cxcl13,ENSG00000156234
AB124611,Nox4,ENSG00000086991
Kcnh1,Trim39,ENSG00000204599
Aplf,A230050P20Rik,ENSG00000130813
Wscd2,Socs1,ENSG00000185338
Chm,Lgr6,ENSG00000133067
Fyn,Qsox1,ENSG00000116260
Gm14308,Zbtb16,ENSG00000109906
Gp49a,Gm14308,not found
Zfp831,Gp49a,ENSG00000186818
Psat1,Gp49a,ENSG00000204577
Gmpr,Gp49a,ENSG00000244482
Myct1,Gp49a,ENSG00000187116
Kmt2d,Gp49a,ENSG00000105609
Capn15,Gp49a,ENSG00000239961
Ankrd33b,Aplf,ENSG00000169621
Sh3bp1,Kcnh1,ENSG00000143473
Pim1,Fyn,ENSG00000010810
C1qtnf3,Psat1,ENSG00000135069
Flcn,Zfp831,ENSG00000124203
Ccdc68,Gmpr,ENSG00000137198
Reep4,Myct1,ENSG00000120279
Spp1,Pim1,ENSG00000137193
Xndc1,Dgke,ENSG00000153933
Chst5,Capn15,ENSG00000103326
Papln,Sh3bp1,ENSG00000100092
Gm9899,Ankrd33b,ENSG00000164236
Osm,Wscd2,ENSG00000075035
Gpr132,Chm,ENSG00000188419
Csrp2,Reep4,ENSG00000168476
Matn2,Flcn,ENSG00000154803
Rusc1,Kmt2d,ENSG00000167548
Clmp,C1qtnf3,ENSG00000082196
Sod2,Chst5,not found
Lyrm7,AB124611,error - retries exceeded
Galnt11,Osm,ENSG00000099985
Plek,Gpr132,not found
Ehmt2,Papln,ENSG00000100767
Rasgrp4,Gm9899,not found
Arrdc3,Spp1,ENSG00000126821
Abca7,Csrp2,ENSG00000175183
Msrb3,Ccdc68,ENSG00000166510
Sybu,Matn2,ENSG00000132561
Ccl3,Lyrm7,ENSG00000186687
Zfp575,Galnt11,ENSG00000178234
Grina,Plek,ENSG00000115956
Malt1,Ehmt2,ENSG00000204371
Gabarapl2,Rasgrp4,ENSG00000171777
AW554918,Arrdc3,ENSG00000113369
Angptl2,Ccl3,ENSG00000275385
Abra,Ccl3,ENSG00000277632
Angptl7,Ccl3,ENSG00000276085
Tbc1d30,Abca7,ENSG00000064687
Synpo,Zfp575,ENSG00000176472
Itgb3,Sod2,ENSG00000291237
Gm12505,AW554918,ENSG00000150477
Stxbp2,Sybu,ENSG00000147642
Gm5643,Angptl2,ENSG00000136859
Penk,Clmp,ENSG00000166250
Igsf23,Grina,ENSG00000178719
Tnfaip3,Malt1,ENSG00000172175
Smim12,Rusc1,ENSG00000160753
Pet100,Gm12505,not found
Lst1,Gm5643,not found
AU041133,Abra,ENSG00000174429
Il1r2,Synpo,ENSG00000171992
Pkn3,Stxbp2,ENSG00000076944
Gclc,Tbc1d30,ENSG00000111490
Lilrb4,Igsf23,ENSG00000216588
Sbf1,Msrb3,ENSG00000174099
Trp53bp2,Itgb3,ENSG00000259207
Banp,Lst1,ENSG00000204482
Fbln7,Gabarapl2,ENSG00000034713
Slc6a9,Smim12,ENSG00000163866
Pcdhgb4,Pet100,ENSG00000229833
Jam2,Lilrb4,ENSG00000186818
Acer2,Lilrb4,ENSG00000204577
3110007F17Rik,Lilrb4,ENSG00000244482
Lrpprc,Lilrb4,ENSG00000187116
Fbn2,Lilrb4,ENSG00000105609
Csf2rb,Lilrb4,ENSG00000239961
Aqp3,Tnfaip3,ENSG00000118503
Xrcc4,AU041133,not found
Tcf21,Il1r2,ENSG00000115590
Tob2,Gclc,ENSG00000001084
D330041H03Rik,Sbf1,ENSG00000100241
Fntb,Pkn3,ENSG00000160447
2810047C21Rik1,Banp,ENSG00000172530
Fbxl19,Angptl7,ENSG00000171819
Tnfsf9,Fbln7,ENSG00000144152
Pvrl2,Trp53bp2,ENSG00000143514
D730005E14Rik,Pcdhgb4,ENSG00000253953
Slc7a11,Slc6a9,ENSG00000196517
Ifitm2,Penk,ENSG00000181195
Ly6c1,Csf2rb,ENSG00000100368
Zfp598,Xrcc4,ENSG00000152422
Sspn,Fbn2,ENSG00000138829
Ldb2,D330041H03Rik,not found
Cacna2d3,2810047C21Rik1,not found
Crebbp,3110007F17Rik,ENSG00000234469
Trpm5,Jam2,ENSG00000154721
F630028O10Rik,Acer2,ENSG00000177076
Gstp2,D730005E14Rik,not found
Olr1,Aqp3,ENSG00000165272
Arl15,Tcf21,ENSG00000118526
Ngb,Tnfsf9,ENSG00000125657
Osbpl8,Tob2,ENSG00000183864
Gm19557,Ly6c1,ENSG00000291309
Hcar2,Ifitm2,ENSG00000185201
Itga1,Ifitm2,ENSG00000185885
Kcnf1,Ifitm2,ENSG00000142089
Avil,Fntb,ENSG00000257365
Nfkbid,Ldb2,ENSG00000169744
Atad3a,Lrpprc,ENSG00000138095
Ackr2,F630028O10Rik,not found
Kcnd3,Sspn,ENSG00000123096
BC003331,Gstp2,ENSG00000084207
Col6a5,Slc7a11,ENSG00000151012
Vasn,Arl15,ENSG00000185305
Nmnat2,Olr1,ENSG00000173391
E030013I19Rik,Crebbp,ENSG00000005339
Hnrnpa1,Ngb,ENSG00000165553
Mmp16,Pvrl2,ENSG00000130202
Frs3,Gm19557,not found
Plac9b,Cacna2d3,ENSG00000157445
Prcc,Osbpl8,ENSG00000091039
1110008L16Rik,Hcar2,ENSG00000255398
Scx,Hcar2,ENSG00000182782
Irx1,Zfp598,ENSG00000167962
Rexo1,Ackr2,ENSG00000144648
Vasp,Nfkbid,ENSG00000167604
Abcb9,Trpm5,ENSG00000070985
Nell1,Avil,ENSG00000135407
Csf2rb2,Fbxl19,ENSG00000099364
Cited2,Atad3a,ENSG00000197785
Ciz1,E030013I19Rik,not found
Homer3,Kcnd3,ENSG00000171385
Csf2ra,Col6a5,ENSG00000172752
Tubb2a,Plac9b,ENSG00000189129
Nos3,Vasn,ENSG00000168140
Pak3,Itga1,ENSG00000213949
Ccl9,Frs3,ENSG00000137218
Ccrn4l,Mmp16,ENSG00000156103
LOC381967,Nmnat2,ENSG00000157064
Tgm1,Scx,ENSG00000260428
2610305D13Rik,1110008L16Rik,ENSG00000100890
Fam180a,Hnrnpa1,ENSG00000224578
Csf3r,Hnrnpa1,ENSG00000139675
Gtpbp4,Csf2rb2,ENSG00000100368
4930565N06Rik,Vasp,ENSG00000125753
Nfkbia,Irx1,ENSG00000170549
Gramd1a,BC003331,error - retries exceeded
Fam172a,Cited2,ENSG00000164442
Kcne2,Kcnf1,ENSG00000123700
Rpain,Abcb9,ENSG00000150967
Phf21a,Nell1,ENSG00000165973
Trim30b,Csf2ra,ENSG00000198223
Trem3,Ccl9,ENSG00000274736
Fam107a,Ccl9,ENSG00000275718
Zfp711,Prcc,ENSG00000143294
Tlr2,Ciz1,ENSG00000148337
Hpse2,Rexo1,ENSG00000079313
Mmp10,Homer3,ENSG00000051128
Egr3,Pak3,ENSG00000077264
Tma7,2610305D13Rik,ENSG00000196378
E2f2,Ccrn4l,ENSG00000151014
Ces2b,4930565N06Rik,not found
Dedd,Fam180a,ENSG00000189320
Siglece,Tubb2a,ENSG00000137267
Fzr1,Nos3,ENSG00000164867
Csgalnact1,Nfkbia,ENSG00000100906
Thbs4,Tgm1,ENSG00000092295
Kctd12,Gtpbp4,ENSG00000107937
Ndfip1,Trem3,not found
Pcnxl2,Gramd1a,ENSG00000089351
Zfp207,Fam172a,ENSG00000113391
Spin2c,Trim30b,ENSG00000132256
Enpp1,Rpain,ENSG00000129197
Xlr,Csf3r,ENSG00000119535
Ntf3,Tma7,ENSG00000232112
Snx7,Fam107a,ENSG00000168309
Mthfr,Zfp711,ENSG00000147180
Prr13,Phf21a,ENSG00000135365
Klf15,Mmp10,not found
Fkbp5,Kcne2,ENSG00000159197
Pram1,Tlr2,ENSG00000137462
Hic1,Hpse2,ENSG00000172987
Cenpm,Siglece,ENSG00000129450
Vil1,Siglece,ENSG00000168995
Trim27,Siglece,ENSG00000254521
Fbrs,Siglece,ENSG00000105366
Actg2,LOC381967,error - retries exceeded
Lbp,E2f2,ENSG00000007968
Pdlim5,Csgalnact1,ENSG00000147408
Rgcc,Fzr1,ENSG00000105325
Zfp358,Ndfip1,ENSG00000131507
Bcl3,Egr3,ENSG00000179388
Efcab7,Kctd12,ENSG00000178695
Rad52,Thbs4,ENSG00000113296
Trpm6,Enpp1,ENSG00000197594
Rcan3,Zfp207,ENSG00000010244
Rnf149,Prr13,not found
Pla2g4c,Pcnxl2,ENSG00000135749
Arrb2,Xlr,ENSG00000139351
H2-Oa,Dedd,ENSG00000158796
Ggps1,Ntf3,ENSG00000185652
Zfp523,Spin2c,not found
Bcl2a1a,Ces2b,ENSG00000172831
Kdm6b,Snx7,ENSG00000162627
Mlxipl,Mthfr,ENSG00000177000
Gga3,Fkbp5,ENSG00000096060
Palm3,Klf15,ENSG00000163884
Vav1,Cenpm,ENSG00000100162
Rab44,Actg2,ENSG00000163017
Mapk8ip3,Hic1,ENSG00000177374
Eno1,Vil1,ENSG00000127831
Vps37b,Zfp358,ENSG00000198816
Il18r1,Fbrs,ENSG00000156860
Il18rap,Rgcc,ENSG00000102760
Notum,Bcl3,ENSG00000069399
Eltd1,Pram1,ENSG00000133246
Ccl12,Efcab7,ENSG00000203965
Srp54a,Trim27,ENSG00000204713
Phlda1,Rad52,ENSG00000002016
Triap1,Pdlim5,ENSG00000163110
Med25,Lbp,ENSG00000129988
Tmem40,Rnf149,ENSG00000163162
Hdac6,Rcan3,ENSG00000117602
Pcdhga5,H2-Oa,ENSG00000204252
Pde7a,Bcl2a1a,ENSG00000140379
Gfpt2,Zfp523,ENSG00000065029
Spata2l,Ggps1,ENSG00000152904
Rmdn1,Arrb2,ENSG00000141480
Scrn3,Palm3,ENSG00000187867
Spon2,Mlxipl,ENSG00000009950
Alox5ap,Rab44,ENSG00000255587
Kbtbd3,Eno1,ENSG00000074800
Hdhd2,Kdm6b,ENSG00000132510
Insig1,Vps37b,ENSG00000139722
Deptor,Gga3,ENSG00000125447
B3gat3,Pla2g4c,ENSG00000105499
Prkacb,Mapk8ip3,ENSG00000138834
Tatdn3,Trpm6,ENSG00000119121
Ctla2a,Ccl12,ENSG00000108700
Abca8b,Srp54a,ENSG00000100883
Zfp653,Triap1,ENSG00000170855
Eepd1,Il18rap,ENSG00000115607
Snrpa,Il18r1,ENSG00000115604
Srrt,Phlda1,ENSG00000139289
Pygb,Tmem40,ENSG00000088726
