Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Sprr2a2,Sprr2a2,not found
Cyp3a11,Kng1,ENSG00000113889
Apol11b,Afp,ENSG00000081051
Slc22a19,Fam19a4,ENSG00000163377
Ambp,Zmat4,ENSG00000165061
Afp,Ambp,ENSG00000106927
Fabp1,Aadac,ENSG00000114771
Zmat4,Gypa,ENSG00000250361
Aadac,Fabp1,ENSG00000163586
Kng1,Apol11b,ENSG00000128284
Fam19a4,Ahsg,ENSG00000145192
Akr1c6,Nusap1,ENSG00000137804
Cyp4a14,Akr1c6,not found
Lsp1,Lsp1,ENSG00000130592
Slitrk6,Slc22a19,ENSG00000149742
Gypa,Oxgr1,ENSG00000165621
Oxgr1,Slitrk6,ENSG00000184564
Ahsg,Alb,ENSG00000163631
Pzp,Nusap1,ENSG00000137804
Nusap1,Cyp4a14,not found
Bub1,Acmsd,ENSG00000153086
Acmsd,2810417H13Rik,ENSG00000166803
Cenpf,Bub1,ENSG00000169679
Alb,Bub1,ENSG00000169679
2810417H13Rik,Hist1h1a,ENSG00000124610
Vsnl1,Dscc1,ENSG00000136982
Dscc1,Vsnl1,ENSG00000163032
Nusap1,Cenpf,ENSG00000117724
Bub1,Pbk,ENSG00000168078
Hist1h1a,Olfr558,ENSG00000180785
Pbk,Hist1h3c,not found
Spc25,Angptl7,ENSG00000171819
Ugt2b1,Lrr1,ENSG00000165501
Lrr1,Cyp3a11,ENSG00000106258
Angptl7,Cxcl17,ENSG00000189377
Olfr558,Pzp,not found
Mest,Veph1,ENSG00000197415
Hist1h3c,Ccne2,ENSG00000175305
Ccne2,Mest,ENSG00000106484
Veph1,Trib3,ENSG00000101255
I830012O16Rik,I830012O16Rik,ENSG00000119917
Trib3,Spc25,ENSG00000152253
Cxcl17,Slc10a6,ENSG00000145283
Gdf15,Ugt2b1,not found
Ncan,Ncan,ENSG00000130287
1700112E06Rik,Smim18,ENSG00000253457
Fbxw14,Cbln2,ENSG00000141668
Slc10a6,Fbxw14,ENSG00000164049
Serpina3i,Gm12429,ENSG00000205108
Gm12429,Serpina3i,ENSG00000196136
Smim18,Nhlh1,ENSG00000171786
Cbln2,2900011O08Rik,ENSG00000166780
Reg3g,Gdf15,ENSG00000130513
2900011O08Rik,Saa2,not found
Nhlh1,Cxcl2,ENSG00000163734
Barhl2,Barhl2,ENSG00000143032
Cdkn1a,Cdkn1a,ENSG00000124762
Neurod1,1700112E06Rik,ENSG00000148655
Saa2,Cxcl10,ENSG00000169245
Fezf1,Saa3,not found
Cxcl2,Cryge,not found
Ano3,Fezf1,ENSG00000128610
Cxcl10,Npbwr1,ENSG00000288611
Saa3,Neurod6,ENSG00000164600
Neurod6,Zbtb16,ENSG00000109906
Zbtb16,Reg3g,ENSG00000172023
Npbwr1,Neurod1,ENSG00000162992
Cryge,Ano3,ENSG00000134343
