Rat Gene Ranked,Rat Gene Unranked,Human Ortholog Gene Symbol
Ccl5,Ccl5,not found
Nkg7,Cd177,ENSG00000204936
Prf1,Gzmk,ENSG00000113088
Igha,Gzma,ENSG00000145649
Cd177,Il18rap,ENSG00000115607
Gzmk,Fcgr2b,ENSG00000072694
Klri1,Nckap1l,ENSG00000123338
Fcgr2b,Nkg7,ENSG00000105374
Il18rap,Klrk1,ENSG00000213809
Nckap1l,Klri1,ENSG00000205809
Gzma,Prf1,ENSG00000180644
Klrk1,Igha,error - retries exceeded
C3,Spn,ENSG00000197471
Coro1a,Lcn2,ENSG00000148346
Klrb1a,Klrb1a,ENSG00000111796
Chia,MGC105649,not found
Spn,Chia,ENSG00000134216
Il12rb2,Emr1,ENSG00000174837
Lcn2,Il12rb2,ENSG00000081985
LOC314509,Cd37,ENSG00000104894
Emr1,C3,ENSG00000125730
Cd4,Coro1a,ENSG00000102879
Plac8,Plac8,ENSG00000145287
Cxcr6,Cxcr6,ENSG00000172215
MGC105649,Klrb1c,ENSG00000111796
Rac2,Cd4,ENSG00000010610
Cd37,LOC314509,error - retries exceeded
Dok2,Rac2,ENSG00000128340
Stat4,Dok2,ENSG00000147443
RGD1564318,Ptprcap,ENSG00000213402
Cd8a,Gzmm,ENSG00000197540
Klrb1c,Cd8a,ENSG00000153563
Ptprcap,Stat4,ENSG00000115415
Cytip,RGD1564318,ENSG00000211685
Gzmm,Acap1,ENSG00000072818
Prkcb,Was,ENSG00000015285
Acap1,Cytip,ENSG00000115165
Was,Sla,ENSG00000155926
Sla,Prkcb,ENSG00000166501
Lilrb4,Klrc1,ENSG00000134545
Glipr1,Lilrb4,ENSG00000187116
Klrc1,Glipr1,ENSG00000139278
Cxcr5,Cxcr5,ENSG00000160683
Cd2,Gpr65,ENSG00000140030
Gpr65,Cd2,ENSG00000116824
C3ar1,Pigr,ENSG00000162896
Cd7,Slc14a1,ENSG00000141469
Slc14a1,Sept1,ENSG00000180096
Gpr171,RGD1562667,ENSG00000167850
Pigr,RGD1310251,ENSG00000170476
Cd53,Gpr171,ENSG00000174946
RGD1562667,Cd7,ENSG00000154096
Sept1,Ighg,not found
RGD1310251,Cd53,ENSG00000143119
RT1-CE5,Chi3l1,ENSG00000133048
Ifitm6,C3ar1,ENSG00000171860
Ifi47,Ifitm6,ENSG00000185885
Ighg,Stfa2l3,ENSG00000121552
Cmah,Stfa3,ENSG00000121552
Clnk,Clnk,ENSG00000109684
Stfa2l3,Fcrla,ENSG00000132185
Chi3l1,Cmah,not found
Cd79b,Ifi47,not found
IgG-2a,Klrd1,ENSG00000134539
S100a9,Phf11,ENSG00000136147
Phf11,RT1-CE5,ENSG00000206503
Fcrla,Klrg1,ENSG00000139187
Stfa3,Np4,ENSG00000164821
Klrd1,Cd79b,ENSG00000007312
Klrg1,Cd14,ENSG00000170458
Tbx21,S100a9,ENSG00000163220
Np4,Cd96,ENSG00000153283
LOC24906,IgG-2a,error - retries exceeded
Ptprc,Rgs18,ENSG00000150681
Cd96,Ptprc,ENSG00000081237
Cd14,LOC24906,not found
Rgs18,Stfa2,ENSG00000121552
F5,Tbx21,ENSG00000073861
C1s,C1s,ENSG00000182326
Plek,Itgam,ENSG00000169896
Clec4a1,Klrc3,ENSG00000134545
Ctsw,Lck,ENSG00000182866
Lck,Stfa2l2,ENSG00000121552
Txk,F5,ENSG00000198734
Itgam,Txk,ENSG00000074966
Stfa2,Igj,ENSG00000132465
Igj,Retnla,ENSG00000163515
Klrc3,Plek,ENSG00000115956
C1qa,Sell,ENSG00000188404
Retnla,Cd69,ENSG00000110848
Camp,Ctsw,ENSG00000172543
Stfa2l2,C1qa,ENSG00000173372
Ccl3,Faim3,ENSG00000162894
Cd69,Stap1,ENSG00000035720
LOC687079,Atp8b4,ENSG00000104043
Sell,Ikzf3,ENSG00000161405
Stap1,Ngp,not found
Atp8b4,Slpi,ENSG00000124107
Faim3,Ccl3,ENSG00000277632
Ikzf3,Defa,ENSG00000164816
Mmp8,C1qb,ENSG00000173369
Ngp,LOC362795,not found
C4-2,Defa10,ENSG00000164816
Slpi,Camp,ENSG00000164047
Defa,Apobec1,ENSG00000111701
C1qb,Clec4a1,ENSG00000111729
Tf,Ifi204,ENSG00000163563
Apobec1,Mmp8,ENSG00000118113
LOC362795,C4-2,ENSG00000244731
Defa10,Fcgr1a,ENSG00000150337
Ifi204,Taar7b,not found
Sh2d1a,LOC687079,error - retries exceeded
Crabp1,Folr2,ENSG00000165457
Folr2,Klrb1b,ENSG00000111796
Ebi3,Crabp1,ENSG00000166426
Fcgr1a,Clec4a2,ENSG00000198178
Taar7b,Il1r2,ENSG00000115590
Arhgap15,Ms4a3,ENSG00000149516
Il1r2,Ms4a12,ENSG00000071203
LOC690930,LOC690930,ENSG00000110077
Clec4a2,Orm1,ENSG00000229314
Orm1,Pla2g2a,ENSG00000188257
Klrb1b,Tf,ENSG00000117525
Bank1,Clec4a3,ENSG00000198178
Ms4a3,Bank1,ENSG00000153064
Ms4a12,Cd84,ENSG00000066294
Pla2g2a,Ifitm1,ENSG00000185201
Cd84,Sh2d1a,error - retries exceeded
Pglyrp1,Ebi3,ENSG00000105246
Clec4a3,Arhgap15,ENSG00000159314
Ms4a1,S100a8,ENSG00000143546
Csf3r,Pglyrp1,ENSG00000008438
Mmp9,Ms4a1,ENSG00000149534
Ifitm1,LOC690020,not found
S100a8,Csf3r,ENSG00000119535
Olfm4,Mmp9,ENSG00000100985
Ceacam10,Fmo2,ENSG00000094963
Fcrls,RGD1563047,ENSG00000125999
Fmo2,Stfa2l1,ENSG00000121552
LOC690020,Ccl9,ENSG00000275718
RGD1565356,Fcrls,not found
Abp1,Cyp2a3,ENSG00000197838
LOC641523,Defa11,ENSG00000164816
Clca3,Clca3,ENSG00000016490
RGD1563047,Klri2,ENSG00000205809
