Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Esr1,H2afv,ENSG00000105968
Tnfsf12Tnfsf13,Zfp706,ENSG00000120963
Stfa3,Polr2h,ENSG00000163882
Lysmd2,Ncs1,ENSG00000107130
Gm5483,Ppp4c,ENSG00000149923
2010005H15Rik,Rap1a,ENSG00000116473
Slfn4,Psma5,ENSG00000143106
Clec4e,Rpl8,ENSG00000161016
Stfa2,Nutf2-ps1,ENSG00000102898
BC100530,Rab10,ENSG00000084733
Cxcr2,Ap3s1,ENSG00000177879
S100a9,Dynll2,ENSG00000264364
Zfp579,Usp46,ENSG00000109189
Retnlg,Calm2,ENSG00000160014
Il1b,Rbx1,ENSG00000100387
Tmem100,Sumo1,ENSG00000116030
Tmod3,Lin7c,ENSG00000148943
S100a8,Ilf2,ENSG00000143621
Stfa1,Wdr82,ENSG00000164091
Lrrc15,Lsm6,ENSG00000164167
Zfp36,Rpl36,ENSG00000130255
C5ar1,Arf5,ENSG00000004059
Tdo2,Twist2,ENSG00000233608
Cxcl1,Lmo4,ENSG00000143013
Slc26a4,Rps18,ENSG00000231500
Cebpb,Smad3,ENSG00000166949
Gm13826,Ube2i,ENSG00000103275
Arg1,Rpl23,ENSG00000125691
F10,Wdr83os,ENSG00000105583
Mmp8,Tmem258,ENSG00000134825
Fam101b,Acta1,ENSG00000143632
Serpina3f,Dynll1,ENSG00000088986
Arl14,Enho,ENSG00000168913
Asprv1,Psme3,ENSG00000131467
Ifitm6,Rpl26,ENSG00000161970
Tmod2,Gng2,ENSG00000186469
Rspo2,Rab35,ENSG00000111737
Il1rn,Etf1,ENSG00000120705
Dip2c,Erh,ENSG00000100632
Stfa2l1,Elof1,ENSG00000130165
Rpl34,Gnb1,ENSG00000078369
5930412G12Rik,Plp1,ENSG00000123560
Fpr1,Rap1b,ENSG00000127314
Aspn,Snx3,ENSG00000112335
Trem1,Ap2m1,ENSG00000161203
Sap25,Tubb5,ENSG00000196230
Saa3,Ppp3r1,ENSG00000221823
Capn11,Romo1,ENSG00000125995
Ngp,Ppp2cb,ENSG00000104695
Stk38l,Prps1,ENSG00000147224
Cyp26b1,Ube2n,ENSG00000177889
Jmjd7-pla2g4b,Zc4h2,ENSG00000126970
Cebpd,Actr1a,ENSG00000138107
E130309D14Rik,Zmat2,ENSG00000146007
Plekhf1,Psmc1,ENSG00000100764
Il1f9,Arl8b,ENSG00000134108
Adamts8,Eed,ENSG00000074266
Ecm2,Ube2a,ENSG00000077721
Chl1,Cdc42,ENSG00000070831
Gdf9,Rab5b,ENSG00000111540
Igdcc3,Arl5b,ENSG00000165997
Vsig1,Hnrnpa3,ENSG00000170144
Socs3,Snrpn,ENSG00000128739
Ndp,Timm10,ENSG00000134809
Akr1c12,Esrrg,ENSG00000196482
Pkia,Snrpd3,ENSG00000100028
Steap4,Ube2g2,ENSG00000184787
Kif26a,Tspan5,ENSG00000168785
3830408C21Rik,Rnd3,ENSG00000115963
Sh2b2,Ywhae,ENSG00000108953
Fpr2,Psmd14,ENSG00000115233
Col15a1,Ost4,ENSG00000228474
Tnfsf10,Ran,ENSG00000132341
Ly6g6d,Dcaf7,ENSG00000136485
Il1a,Srsf2,ENSG00000161547
Nrg2,Polr2j,ENSG00000005075
Heyl,Polr2i,ENSG00000105258
Wisp1,Fam78b,ENSG00000188859
Wt1,Ube2h,ENSG00000186591
Cd2,Rps4x,ENSG00000198034
Slc10a6,Rps23,ENSG00000186468
Ccl7,Ube2k,ENSG00000078140
Asap3,Sec61a1,ENSG00000058262
Nfil3,Ube2d2a,ENSG00000131508
Fam110c,Sf3b6,ENSG00000115128
Wdr86,B3galt1,ENSG00000172318
Gm4956,Serp2,ENSG00000151778
LOC100503496,Pbx1,ENSG00000185630
Cd14,Fam168a,ENSG00000054965
D3Ertd751e,Rps25,ENSG00000118181
Prg4,Hras,ENSG00000174775
Pnmal2,Arf6,ENSG00000165527
Inmt,Rps20,ENSG00000008988
Depdc1b,Ufm1,ENSG00000120686
Wscd1,Ptp4a1,ENSG00000112245
Eno1b,Rhob,ENSG00000143878
Thg1l,Zmynd19,ENSG00000165724
Atn1,Tuba1b,ENSG00000123416
Itgam,Rbm8a,ENSG00000265241
Nfkbiz,Abce1,ENSG00000164163
Fcer2a,Rps11,ENSG00000142534
Tcf23,Rps29,ENSG00000213741
Baz1a,Anapc16,ENSG00000166295
Akap8l,Cnih1,ENSG00000100528
Olfm4,Srsf3,ENSG00000112081
C1qtnf2,Tubb2a,ENSG00000137267
Clec4d,Actc1,ENSG00000159251
