Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Cxcl2,ENSG00000163734,ortholog_one2many,59.8131,72.8972
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
Socs1,ENSG00000185338,ortholog_one2one,94.7867,96.2085
Il6,ENSG00000136244,ortholog_one2one,41.5094,62.7358
Slc2a6,ENSG00000160326,ortholog_one2one,81.0651,87.7712
Ncf2,ENSG00000116701,ortholog_one2one,84.6008,91.4449
Cd44,ENSG00000026508,ortholog_one2one,70.2156,78.1671
Bid,ENSG00000015475,ortholog_one2one,63.5897,74.8718
Steap3,ENSG00000115107,ortholog_one2one,85.5422,91.7671
Plin2,ENSG00000147872,ortholog_one2one,80.5492,89.016
Hif1a,ENSG00000100644,ortholog_one2one,90.3148,93.3414
Tlr4,ENSG00000136869,ortholog_one2one,66.6269,78.7843
Capg,ENSG00000042493,ortholog_one2one,91.954,96.8391
Nos2,ENSG00000007171,ortholog_one2one,80.399,88.2047
Stmn1,ENSG00000117632,ortholog_one2one,98.6577,100
Tnfaip3,ENSG00000118503,ortholog_one2one,87.9747,92.5316
Slc2a1,ENSG00000117394,ortholog_one2one,97.1545,98.5772
Arntl,ENSG00000133794,ortholog_one2one,98.4026,98.8818
Lpin1,ENSG00000134324,ortholog_one2one,88.5529,92.6566
Slc1a4,ENSG00000115902,ortholog_one2one,89.8496,93.609
Ngb,ENSG00000165553,ortholog_one2one,94.0397,95.3642
Arrdc3,ENSG00000113369,ortholog_one2one,98.0676,99.5169
Lurap1l,ENSG00000153714,ortholog_one2one,88.1579,89.9123
Cav1,ENSG00000105974,ortholog_one2one,94.9438,98.3146
Ifng,ENSG00000111537,ortholog_one2one,37.9518,59.6386
Acsf2,ENSG00000167107,ortholog_one2one,78.6992,88.1301
Nox4,ENSG00000086991,ortholog_one2one,85.8131,91.6955
Myb,ENSG00000118513,ortholog_one2one,87.9106,92.247
Dpp4,ENSG00000197635,ortholog_one2one,84.4648,92.2977
Map1lc3a,ENSG00000101460,ortholog_one2one,100,100
Ctbb,error - retries exceeded,,,
Cbs,ENSG00000160200,ortholog_one2one,83.8475,89.2922
Gpt2,ENSG00000166123,ortholog_one2one,92.7342,95.9847
Acvr1b,ENSG00000135503,ortholog_one2one,98.2178,99.4059
Prom2,ENSG00000155066,ortholog_one2one,73.2614,84.2926
Fth1,ENSG00000167996,ortholog_one2one,91.8033,95.6284
Rgs4,ENSG00000117152,ortholog_one2one,96.0976,97.561
Nqo1,ENSG00000181019,ortholog_one2one,85.7664,91.2409
Alb,ENSG00000163631,ortholog_one2one,72.2496,85.8785
Acsl2,error - retries exceeded,,,
