circRNA_ID	geneID	Normoxia-expression	Hyperoxia-expression	Normoxia-TPM	Hyperoxia-TPM	log2 ratio (hyperoxia/normoxia)	Up-down- regulation (hyperoxia/normoxia)	p value	FDR
chr9:52042894|52045136	Col3a1	0	101	0.001	1614.424	20.623	Up	2.001 × 10–50	5.546 × 10–47
chr1:198311923|198312195	Taok2	84	14	641.922	223.782	−1.520	Down	5.8352 × 10–5	0.000263
chr7:119987740|119990307	Mfng	98	16	748.909	255.75	−1.550	Down	1.007 × 10–5	5.6777 × 10–5
chr1:198311923|198312195	Taok2	84	14	641.92	223.78	−1.520	Down	5.835 × 10–5	0.000263
chr9:66507281|66509028	Nop58	90	15	687.77	239.77	−1.520	Down	3.094 × 10–5	0.000148
chr1:176334639|176346651	Galnt18	11	30	84.061	479.53	2.512	Up	8.829 × 10–8	1.050 × 10–6
chr8:46716191|46730691	Tbcel	14	38	106.99	607.41	2.51	Up	1.848 × 10–9	3.5801 × 10–8
chr2:113322714|113345579	Fndc3b	15	40	114.63	639.38	2.48	Up	8.878 × 10–10	2.0331 × 10–8
chr20:18465901|18471939	Ipmk	13	34	99.35	543.47	2.45	Up	2.014 × 10–8	2.892 × 10–7
chr4:152526403|152529177	Wnk1	6	15	45.85	239.77	2.39	Up	0.000245	0.00085
