Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Gypa,ENSG00000250361,ortholog_one2many,35.1648,47.2527
Gypa,ENSG00000197465,ortholog_one2many,23.0769,37.1795
Gypa,ENSG00000170180,ortholog_one2many,30.6667,42
Hist1h2ab,ENSG00000278463,ortholog_one2many,100,100
Stfa1,ENSG00000121552,ortholog_one2many,56.1224,69.3878
Aplnr,ENSG00000134817,ortholog_one2one,91.0526,93.9474
Hist1h2ag,ENSG00000278463,ortholog_one2many,100,100
Mki67,ENSG00000148773,ortholog_one2one,40.9091,54.5762
Prss35,ENSG00000146250,ortholog_one2one,77.2397,85.4722
Slc27a6,ENSG00000113396,ortholog_one2one,78.3522,88.853
Frem1,ENSG00000164946,ortholog_one2one,78.0174,86.4158
Depdc1a,ENSG00000024526,ortholog_one2one,82.3674,89.5191
