Rat Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Scgb3a1,ENSG00000161055,ortholog_one2one,59.6154,71.1538
Alox15,ENSG00000161905,ortholog_one2one,70.8459,82.1752
Itm2a,ENSG00000078596,ortholog_one2one,93.9164,95.8175
Calml3,ENSG00000178363,ortholog_one2one,90.604,97.9866
Prph,ENSG00000135406,ortholog_one2one,95.9574,97.4468
Steap4,ENSG00000127954,ortholog_one2one,81.4815,91.0675
Clu,ENSG00000120885,ortholog_one2one,77.0601,88.196
Bicdl1,ENSG00000135127,ortholog_one2one,94.0419,96.7794
Slc9a3r1,ENSG00000109062,ortholog_one2one,87.4302,93.0168
Hba-a3,ENSG00000188536,ortholog_many2many,66.9014,77.4648
Igfbp6,ENSG00000167779,ortholog_one2one,63.75,70.8333
Nbl1,ENSG00000158747,ortholog_one2one,91.7127,93.9227
Slc6a4,ENSG00000108576,ortholog_one2one,91.746,94.9206
Itgbl1,ENSG00000198542,ortholog_one2one,91.2955,95.3441
Pcolce,ENSG00000106333,ortholog_one2one,84.1871,89.5323
Adamts15,ENSG00000166106,ortholog_one2one,93.1579,95.5789
Col14a1,ENSG00000187955,ortholog_one2one,88.2517,94.1537
Frem2,ENSG00000150893,ortholog_one2one,88.2297,93.5311
Tenm3,ENSG00000218336,ortholog_one2one,98.1475,99.4442
Myrf,ENSG00000124920,ortholog_one2one,89.053,92.7889
Chst4,ENSG00000140835,ortholog_one2one,72.0207,83.9378
Crip1,ENSG00000213145,ortholog_one2one,97.4026,100
Gpc3,ENSG00000147257,ortholog_one2one,94.1379,96.5517
Aldh1a2,ENSG00000128918,ortholog_one2one,95.9459,96.9112
Prss12,ENSG00000164099,ortholog_one2one,70.8571,76
Kitlg,ENSG00000049130,ortholog_one2one,82.4176,89.011
Nkain4,ENSG00000101198,ortholog_one2one,79.8077,86.0577
Prkcdbp,ENSG00000170955,ortholog_one2one,81.6092,85.0575
Scara3,ENSG00000168077,ortholog_one2one,90.5941,94.5545
C4a,ENSG00000244731,ortholog_many2many,79.6445,88.7041
Col3a1,ENSG00000168542,ortholog_one2one,90.382,94.7476
Ackr3,ENSG00000144476,ortholog_one2one,92.5414,96.9613
Cobl,ENSG00000106078,ortholog_one2one,65.0278,74.7026
Lrrn4,ENSG00000125872,ortholog_one2one,61.4865,70.2703
Tm4sf1,ENSG00000169908,ortholog_one2one,79.2079,87.6238
Rspo1,ENSG00000169218,ortholog_one2one,87.0722,91.2548
Prr15,ENSG00000176532,ortholog_one2one,65.8915,74.4186
Anxa3,ENSG00000138772,ortholog_one2one,85.4489,91.6409
Krt18,ENSG00000111057,ortholog_one2many,85.1163,92.5581
Sema3c,ENSG00000075223,ortholog_one2one,96.8043,98.269
Sulf1,ENSG00000137573,ortholog_one2one,92.4225,95.2928
Cdon,ENSG00000064309,ortholog_one2one,81.1709,88.212
Flnb,ENSG00000136068,ortholog_one2one,95.6188,97.7325
Ccdc80,ENSG00000091986,ortholog_one2one,84.4211,88.5263
Mgat3,ENSG00000128268,ortholog_one2one,92.3077,95.1219
Dsg2,ENSG00000046604,ortholog_one2one,74.4186,83.2737
Eln,ENSG00000049540,ortholog_one2one,71.8232,75.9669
Upk3b,ENSG00000243566,ortholog_one2one,77.1739,82.971
Upk1b,ENSG00000114638,ortholog_one2one,89.2308,96.5385
Ndn,ENSG00000182636,ortholog_one2one,83.1776,89.7196
Pappa2,ENSG00000116183,ortholog_one2one,79.397,87.158
Rps27a,ENSG00000143947,ortholog_one2many,99.359,99.359
Tcf23,ENSG00000163792,ortholog_one2one,73.3645,80.8411
Ezr,ENSG00000092820,ortholog_one2one,95.7338,98.4642
Msln,ENSG00000102854,ortholog_one2one,57.5563,70.5788
Gpm6a,ENSG00000150625,ortholog_one2one,99.6403,100
Adh7,ENSG00000196344,ortholog_one2one,86.8984,91.7112
Id3,ENSG00000117318,ortholog_one2one,97.479,98.3193
Ppfibp1,ENSG00000110841,ortholog_one2one,89.1542,93.5323
Ccl6,not found,,,
Krt19,ENSG00000186832,ortholog_one2one,77.5899,85.4123
Sft2d2,ENSG00000213064,ortholog_one2one,70,74.375
Aqp1,ENSG00000240583,ortholog_one2one,93.3085,95.1673
Muc16,error - retries exceeded,,,
Plet1,ENSG00000188771,ortholog_one2one,30.4348,50.2415
Igfbp5,ENSG00000115461,ortholog_one2one,93.75,96.3235
Ednrb,ENSG00000136160,ortholog_one2one,88.6878,92.9864
Efemp1,ENSG00000115380,ortholog_one2one,93.3063,96.7546
Ptprc,ENSG00000081237,ortholog_one2one,65.0077,74.1194
Dsp,ENSG00000096696,ortholog_one2one,95.3326,98.1888
Ace,ENSG00000159640,ortholog_one2one,84.0735,92.7259
Cybb,ENSG00000165168,ortholog_one2one,93.1579,97.0175
Fasn,ENSG00000169710,ortholog_one2one,82.039,89.8447
Ctsd,ENSG00000117984,ortholog_one2one,82.2816,89.8058
Sirpa,ENSG00000198053,ortholog_many2many,62.6984,74.0079
Mrc1,ENSG00000260314,ortholog_one2one,83.3791,91.0714
Ptgis,ENSG00000124212,ortholog_one2one,83.4,90.8
Gpnmb,ENSG00000136235,ortholog_one2one,70.3571,83.9286
Dram1,ENSG00000136048,ortholog_one2one,94.5378,97.479
Lcn2,ENSG00000148346,ortholog_one2one,53.5354,67.1717
Lamp3,not found,,,
Naaa,ENSG00000138744,ortholog_one2one,76.3231,85.5153
Col4a1,ENSG00000187498,ortholog_one2one,90.8328,94.1881
Col4a2,ENSG00000134871,ortholog_one2one,84.229,89.3692
Itgal,ENSG00000005844,ortholog_one2one,72.0513,81.453
Atp11a,ENSG00000068650,ortholog_one2one,91.8871,95.4145
Cpm,ENSG00000135678,ortholog_one2one,85.553,91.8736
Lcp1,ENSG00000136167,ortholog_one2one,96.3317,99.0431
Cxcl3,ENSG00000163734,ortholog_one2many,43.9252,58.8785
Sftpa1,ENSG00000122852,ortholog_one2many,70.5645,79.0323
Cyr61,ENSG00000142871,ortholog_one2one,92.126,94.4882
Plvap,ENSG00000130300,ortholog_one2one,59.9548,78.0543
Itga8,ENSG00000077943,ortholog_one2one,88.8993,94.826
Ccl9,ENSG00000275718,ortholog_one2many,40.708,56.6372
Retnia,error - retries exceeded,,,
Eng,ENSG00000106991,ortholog_one2one,72.3404,79.9392
Lpl,ENSG00000175445,ortholog_one2one,91.7895,95.7895
Fam111a,ENSG00000166801,ortholog_one2many,56.6285,72.1768
Slc34a2,ENSG00000157765,ortholog_one2one,79.2754,88.9855
Ptprb,ENSG00000127329,ortholog_one2one,82.3476,89.9323
C3,ENSG00000125730,ortholog_one2one,78.8334,89.1161
Postn,ENSG00000133110,ortholog_one2one,90.4306,97.2488
