Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Gm10076,not found,,,
Rps29,ENSG00000213741,ortholog_one2one,100,100
Rpl37a,not found,,,
AW112010,not found,,,
Gbp2,ENSG00000162645,ortholog_one2many,70.7276,82.9103
Rpl37,not found,,,
Rpl36,ENSG00000130255,ortholog_one2one,100,100
Rps21,ENSG00000171858,ortholog_one2one,95.1807,96.3855
Rpl38,ENSG00000172809,ortholog_one2one,98.5714,100
Psmb8,ENSG00000204264,ortholog_one2one,88.4058,93.4783
Rpl35,ENSG00000136942,ortholog_one2many,98.374,98.374
Rps27,not found,,,
Rps28,ENSG00000233927,ortholog_one2one,100,100
Rpl39,not found,,,
Gbp5,ENSG00000154451,ortholog_one2one,66.7235,78.4983
Cxcl10,ENSG00000169245,ortholog_one2one,68.3673,80.6122
Ly6i,ENSG00000291309,ortholog_one2many,37.3134,50
Zbp1,ENSG00000124256,ortholog_one2one,45.4545,55.9441
Rtp4,ENSG00000136514,ortholog_one2one,42.6829,56.5041
Oasl2,not found,,,
Ifitm3,ENSG00000185201,ortholog_many2many,65.9091,77.2727
Ifitm3,ENSG00000185885,ortholog_many2many,59.2,71.2
Ifitm3,ENSG00000142089,ortholog_many2many,67.6692,78.9474
Fcgr4,ENSG00000162747,ortholog_one2many,60.515,74.6781
Fcgr4,ENSG00000203747,ortholog_one2many,60.6299,75.1969
Herc6,ENSG00000138642,ortholog_one2one,65.6556,75.5382
Rsad2,ENSG00000134321,ortholog_one2one,80.8864,86.4266
Ifi47,not found,,,
Samhd1,ENSG00000101347,ortholog_one2one,72.6837,82.9073
Trim30a,ENSG00000132256,ortholog_one2many,46.6531,68.1542
Prdx5,ENSG00000126432,ortholog_one2one,57.4766,63.0841
Gbp7,ENSG00000162654,ortholog_many2many,67.8125,81.25
Rps26,ENSG00000197728,ortholog_one2one,100,100
Psmb9,ENSG00000240065,ortholog_one2one,88.1279,94.0639
Irgm1,ENSG00000237693,ortholog_one2many,55.2486,72.9282
Mrpl52,ENSG00000172590,ortholog_one2one,82.7869,90.9836
Stat1,ENSG00000115415,ortholog_one2one,93.4667,96.2667
Tap2,ENSG00000204267,ortholog_one2one,77.1137,86.4431
Irf1,ENSG00000125347,ortholog_one2one,85.5385,93.2308
Parp14,ENSG00000173193,ortholog_one2one,63.4092,78.0122
Hspa8,ENSG00000109971,ortholog_one2one,99.8452,100
Psme2,ENSG00000100911,ortholog_one2many,93.7238,97.908
Ifi204,ENSG00000163563,ortholog_one2many,42.7518,60.4423
Il18bp,ENSG00000137496,ortholog_one2one,57.732,64.433
Igtp,ENSG00000237693,ortholog_one2many,51.3812,68.5083
Gbp3,ENSG00000162654,ortholog_many2many,68.4375,81.5625
Rpl34,ENSG00000109475,ortholog_one2one,99.1453,100
Rpl10,ENSG00000147403,ortholog_one2many,99.5327,100
H2-D1,not found,,,
Irf7,ENSG00000185507,ortholog_one2one,61.0338,67.7932
Rpl35a,not found,,,
Uba52,ENSG00000221983,ortholog_one2one,100,100
Pla2g7,ENSG00000146070,ortholog_one2one,67.5737,80.0453
H2-T23,not found,,,
Psmb10,ENSG00000205220,ortholog_one2one,88.6447,93.4066
Lyz2,not found,,,
Xaf1,ENSG00000132530,ortholog_one2one,44.8505,60.4651
Eif1,ENSG00000173812,ortholog_one2one,99.115,100
Ddit3,ENSG00000175197,ortholog_one2one,88.1657,91.716
Eno1,ENSG00000074800,ortholog_one2many,94.7005,98.8479
Ifit1,ENSG00000204010,ortholog_one2many,57.384,73.6287
Tap1,ENSG00000168394,ortholog_one2one,69.6524,79.0107
Rps15,ENSG00000115268,ortholog_one2one,100,100
Slfn4,ENSG00000172123,ortholog_many2many,42.7336,58.3045
Slfn4,ENSG00000205045,ortholog_many2many,39.7059,55.0654
Slfn1,ENSG00000172123,ortholog_many2many,29.5848,40.4844
Slfn1,ENSG00000205045,ortholog_many2many,26.634,37.4183
Nos2,ENSG00000188425,ortholog_one2one,74.6377,81.1594
Tapbp,ENSG00000231925,ortholog_one2one,73.8839,81.9196
Rps12,ENSG00000128626,ortholog_one2one,85.5072,90.5797
Ctss,ENSG00000163131,ortholog_one2one,74.0181,86.4048
Rps15a,ENSG00000134419,ortholog_one2one,100,100
Bst2,ENSG00000130303,ortholog_one2one,33.8889,48.8889
Tgtp1,not found,,,
Rpl30,ENSG00000156482,ortholog_one2one,100,100
H2-K1,not found,,,
Tnf,ENSG00000232810,ortholog_one2one,79.3991,90.1288
Atp5e,ENSG00000124172,ortholog_one2one,90.1961,98.0392
Plac8,ENSG00000145287,ortholog_one2one,81.7391,86.9565
Trafd1,ENSG00000135148,ortholog_one2one,76.1168,84.0206
Oas3,ENSG00000111331,ortholog_one2one,70.4692,79.8528
Lars2,ENSG00000011376,ortholog_one2one,86.4895,93.0233
Hp,ENSG00000261701,ortholog_one2many,76.4368,86.4943
Hp,ENSG00000257017,ortholog_one2many,68.2266,76.8473
Icam1,ENSG00000090339,ortholog_one2one,53.0075,67.4812
Gstm1,ENSG00000134184,ortholog_one2many,77.9817,92.2018
Psme1,ENSG00000092010,ortholog_one2one,94.7791,98.3936
Ube2l6,ENSG00000156587,ortholog_one2one,76.4706,86.9281
Bola2,ENSG00000169627,ortholog_one2many,87.2093,96.5116
Bola2,ENSG00000183336,ortholog_one2many,87.2093,96.5116
Sp100,ENSG00000079263,ortholog_one2one,20.7612,30.9112
mt-Nd3,ENSG00000198840,ortholog_one2one,66.087,80.8696
Rps17,ENSG00000182774,ortholog_one2one,99.2593,99.2593
Rpl22,ENSG00000116251,ortholog_one2one,99.2188,99.2188
Lcn2,ENSG00000148346,ortholog_one2one,57.5758,73.7374
Ehd1,ENSG00000110047,ortholog_one2one,99.4382,99.6255
Pnp,ENSG00000198805,ortholog_one2many,84.4291,91.0035
Slfn5,ENSG00000166750,ortholog_one2one,58.8103,74.7475
Ifi211,ENSG00000163563,ortholog_one2many,40.7862,57.4939
Trim12c,ENSG00000132256,ortholog_one2many,49.6957,67.14
Isg20,ENSG00000172183,ortholog_one2one,69.0608,77.3481
Cd274,ENSG00000120217,ortholog_one2one,67.931,79.6552
B2m,ENSG00000166710,ortholog_one2one,66.3866,80.6723
Chil3,ENSG00000134216,ortholog_one2many,56.5126,67.6471
Eea1,ENSG00000102189,ortholog_one2one,84.9043,92.1332
Cflar,ENSG00000003402,ortholog_one2one,64.7917,77.7083
Ly6e,ENSG00000160932,ortholog_one2one,61.0687,77.0992
Rpl12,ENSG00000197958,ortholog_one2one,99.3939,100
Trim30b,ENSG00000132256,ortholog_one2many,21.0953,27.9919
Hgsnat,ENSG00000165102,ortholog_one2one,80.6299,86.9291
Spp1,ENSG00000118785,ortholog_one2one,63.3758,75.7962
Acod1,ENSG00000102794,ortholog_one2one,82.3285,89.8129
Tifa,ENSG00000145365,ortholog_one2one,76.6304,88.0435
Ftl1-ps1,ENSG00000087086,ortholog_one2many,81.7143,93.1429
Tspo,ENSG00000100300,ortholog_one2one,81.0651,86.3905
H2-Q4,not found,,,
Nampt,ENSG00000105835,ortholog_one2one,95.723,98.3707
Ccl5,ENSG00000271503,ortholog_one2one,80.2198,87.9121
Romo1,ENSG00000125995,ortholog_one2one,100,100
Pet100,ENSG00000229833,ortholog_one2one,64.3836,83.5616
Lst1,ENSG00000204482,ortholog_one2one,50.5155,59.7938
Atf4,ENSG00000128272,ortholog_one2one,86.6097,90.8832
Rnaset2a,ENSG00000026297,ortholog_one2many,68.75,80.4688
Snx10,ENSG00000086300,ortholog_one2one,95.5224,98.0099
Itpr2,ENSG00000123104,ortholog_one2one,95.8164,98.1118
Nme1,ENSG00000239672,ortholog_one2one,94.0789,96.0526
Cstb,ENSG00000160213,ortholog_one2one,78.5714,87.7551
Atf5,ENSG00000169136,ortholog_one2one,87.9433,90.7801
Atp5k,ENSG00000169020,ortholog_one2one,86.9565,92.7536
Dnaja1,ENSG00000086061,ortholog_one2one,99.4962,100
Sars,ENSG00000031698,ortholog_one2one,95.5253,97.4708
Socs3,ENSG00000184557,ortholog_one2one,96.8889,97.3333
Fam26f,ENSG00000188820,ortholog_one2one,68.254,81.5873
Mrgpra2b,ENSG00000179826,ortholog_many2many,46.8944,59.9379
Mrgpra2b,ENSG00000183695,ortholog_many2many,46.9697,59.3939
Mrgpra2b,ENSG00000170255,ortholog_many2many,47.205,60.2484
Mrgpra2b,ENSG00000179817,ortholog_many2many,46.8944,62.1118
Wfdc17,not found,,,
Marcksl1,ENSG00000175130,ortholog_one2one,96.4103,97.9487
Odc1,ENSG00000115758,ortholog_one2one,90.6725,94.1432
Sppl2a,ENSG00000138600,ortholog_one2one,80,89.4231
Sell,ENSG00000188404,ortholog_one2one,74.1936,83.0645
Atf3,ENSG00000162772,ortholog_one2one,95.0276,98.895
AA467197,ENSG00000166920,ortholog_one2one,72.2892,86.747
Batf,ENSG00000156127,ortholog_one2one,96,99.2
Eif2s2,ENSG00000125977,ortholog_one2one,95.4955,98.1982
Lgals3,ENSG00000131981,ortholog_one2one,81.2,87.6
Prdx1,ENSG00000117450,ortholog_one2one,95.4774,98.995
Alcam,ENSG00000170017,ortholog_one2one,92.9674,97.2556
Clec4d,ENSG00000166527,ortholog_one2one,62.3256,75.814
