Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Cd163l1,ENSG00000214279,ortholog_one2one,60.1753,67.8676
Ccl17,ENSG00000102970,ortholog_one2one,61.7021,77.6596
Ms4a7,ENSG00000166927,ortholog_one2one,50.4167,63.3333
Rab7b,ENSG00000276600,ortholog_one2one,88.4422,92.9648
Gng8,ENSG00000167414,ortholog_one2one,98.5714,98.5714
Art4,ENSG00000111339,ortholog_one2one,59.2357,70.3822
Mmp2,ENSG00000087245,ortholog_one2one,95.9091,97.7273
C6,ENSG00000039537,ortholog_one2one,75.0535,85.0107
Havcr2,ENSG00000135077,ortholog_one2one,61.1296,69.7674
Prl2c1,ENSG00000172179,ortholog_one2many,37.0044,57.7093
Trem2,ENSG00000095970,ortholog_one2one,55.6522,65.2174
Itih1,ENSG00000055957,ortholog_one2one,81.9978,90.5598
Cd86,ENSG00000114013,ortholog_one2one,45.2888,59.8784
Fn1,ENSG00000115414,ortholog_one2one,92.0065,96.3262
Il12b,ENSG00000113302,ortholog_one2one,67.9878,80.1829
Lcn2,ENSG00000148346,ortholog_one2one,57.5758,73.7374
Slit2,ENSG00000145147,ortholog_one2one,96.7299,98.8882
Itgae,ENSG00000083457,ortholog_one2one,69.296,81.3401
Batf3,ENSG00000123685,ortholog_one2one,80.315,85.8268
Klrb1b,ENSG00000111796,ortholog_one2many,44.4444,59.5556
Scrn1,ENSG00000136193,ortholog_one2one,87.9227,94.2029
Stab2,ENSG00000136011,ortholog_one2one,78.2438,88.2399
Neo1,ENSG00000067141,ortholog_one2one,94.5243,96.7146
Slamf9,ENSG00000162723,ortholog_one2one,57.4394,69.8962
Raet1e,ENSG00000203722,ortholog_many2many,16.7665,28.1437
Raet1e,ENSG00000131015,ortholog_many2many,22.7642,38.6179
Raet1e,ENSG00000155918,ortholog_many2many,22.3577,38.6179
Raet1e,ENSG00000131019,ortholog_many2many,24.1803,40.9836
Raet1e,ENSG00000111981,ortholog_many2many,22.1311,36.8852
Raet1e,ENSG00000164520,ortholog_many2many,21.2928,33.4601
Irf8,ENSG00000140968,ortholog_one2one,89.6714,93.1925
Cd207,ENSG00000116031,ortholog_one2one,66.4634,80.1829
TGF?3,error - retries exceeded,,,
