Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
2010005H15Rik,ENSG00000121552,ortholog_one2many,57.1429,74.4898
Stfa3,ENSG00000121552,ortholog_one2many,59.1837,75.5102
Gm5483,ENSG00000121552,ortholog_one2many,59.1837,74.4898
Stfa2,ENSG00000121552,ortholog_one2many,58.1633,72.449
Zfp579,ENSG00000218891,ortholog_one2one,89.1459,91.4591
Clec4e,ENSG00000166523,ortholog_one2one,64.3836,76.7123
Il1b,ENSG00000125538,ortholog_one2one,67.658,78.8104
Slfn4,ENSG00000172123,ortholog_many2many,42.7336,58.3045
Slfn4,ENSG00000205045,ortholog_many2many,39.7059,55.0654
Stfa1,ENSG00000121552,ortholog_one2many,56.1224,69.3878
Retnlg,ENSG00000163515,ortholog_one2many,54.0541,75.6757
Lysmd2,ENSG00000140280,ortholog_one2one,89.3023,94.4186
Esr1,ENSG00000091831,ortholog_one2one,89.5798,94.1176
Cxcr2,ENSG00000180871,ortholog_one2many,70.8333,84.7222
Tmem100,ENSG00000166292,ortholog_one2one,85.0746,89.5522
S100a9,ENSG00000163220,ortholog_one2many,57.8947,72.807
S100a8,ENSG00000143546,ortholog_one2one,55.914,79.5699
Cxcl1,ENSG00000163734,ortholog_one2many,54.2056,66.3551
Lrrc15,ENSG00000172061,ortholog_one2one,81.7556,90.0172
Cebpb,ENSG00000172216,ortholog_one2one,70.7246,74.7826
Slc26a4,ENSG00000091137,ortholog_one2one,87.5641,94.4872
Tdo2,ENSG00000151790,ortholog_one2one,88.67,95.5665
Serpina3f,ENSG00000196136,ortholog_one2many,57.6832,71.8676
Gm13826,not found,,,
BC100530,error - retries exceeded,,,
F10,ENSG00000126218,ortholog_one2one,74.5902,83.4016
Asprv1,ENSG00000244617,ortholog_one2one,80.695,87.6448
Mmp8,ENSG00000118113,ortholog_one2one,73.4475,83.2976
Arl14,ENSG00000179674,ortholog_one2one,75,90.1042
C5ar1,ENSG00000197405,ortholog_one2one,65.1429,81.1429
Tmod3,ENSG00000138594,ortholog_one2one,90.0568,94.3182
