Rat Genes,Human Ortholog Symbol
RGD1307225,not found
Unc79,ENSG00000133958
Mdga2,ENSG00000139915
Thsd7b,ENSG00000144229
Ccdc3,ENSG00000151468
Galntl1,ENSG00000100626
Opcml,ENSG00000183715
Cd109,ENSG00000156535
Adamts5,ENSG00000154736
Scube2,ENSG00000175356
Pdgfrl,ENSG00000104213
Mark1,ENSG00000116141
Rrad,ENSG00000166592
Nox4,ENSG00000086991
LRRTM1,ENSG00000162951
Mypn,not found
Cyp2e1,ENSG00000130649
Kcnj5,ENSG00000120457
Trpc3,ENSG00000138741
Fam3b,ENSG00000183844
Cilp,ENSG00000138615
Esr1,ENSG00000091831
LOC499279,ENSG00000175018
LOC501110,not found
Bex4,ENSG00000102409
Ostn,ENSG00000188729
Atp1a2,ENSG00000018625
Rab3b,ENSG00000169213
Lppr1,ENSG00000148123
Olr5,error - retries exceeded
RGD1312005,ENSG00000186367
Mmp12,ENSG00000262406
Olr1708,not found
LOC308670,error - retries exceeded
Olr1710,not found
Etnk2,ENSG00000143845
Rbp7,ENSG00000162444
Olr1707,not found
Olr1704,not found
RGD1560314,error - retries exceeded
Clic2,ENSG00000155962
Olr1418,ENSG00000182783
