Rat Gene Ranked,Rat Gene Unranked,Human Ortholog Gene Symbol
Gjb2,Treml4,ENSG00000188056
Treml4,Gimap4,ENSG00000133574
S1pr5,Klf2,ENSG00000127528
Cd3e,Cd8a,ENSG00000153563
Cd27,Gimap9,not found
Tcrb,Lef1,ENSG00000138795
Klf2,S1pr5,ENSG00000180739
Lef1,Gjb2,ENSG00000165474
Gimap4,Satb1,ENSG00000182568
Qrfpr,Cd3e,ENSG00000198851
Cd8a,Serpinb10,ENSG00000242550
Mal,Mal,ENSG00000172005
Gimap9,Alox15,ENSG00000161905
Satb1,Dgka,ENSG00000065357
RGD1565252,Cd27,ENSG00000139193
Dgka,Ebf1,ENSG00000164330
Serpinb10,Qrfpr,ENSG00000186867
Eno3,Eno3,ENSG00000108515
Ebf1,Tcrb,error - retries exceeded
Alox15,RGD1565252,error - retries exceeded
