Proteomic,Genomics,Transcriptomics,Transcriptomics,Genomics,Transcriptomics,Transcriptomics,Transcriptomics,Genomics,Genomics,Genomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Genomics,Transcriptomics,Transcriptomics,Genomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Transcriptomics,Proteomics,Proteomics
Ahmed_37839510,Ambalavanan_25449221,Bharracharya_22723293,Bhattacharya_33552042,Da_paepe_20718599,Dai_34276789_data,Fulton_30459472,Gong_32412065,Hadchoul_data,Hamvas_30342483,Li_26030808,Luo_36514862_eqtl,Luo_36514862_SNPS,Oji_mmuo_33177681_mRNA,Pietrzyk_24194948_down_day5,Pietrzyk_24194948_down_day28,Pietrzyk_24194948_up_day5,Pietrzyk_24194948_up_day28,Shen_33093882,Siddiah_37123538,Torgerson_30113228,Tsotakos_35947545_down,Tsotakos_35947545_up,Wang_23897914,Wang_35790551_circRNA,Windhorst_37090732,Yuon_chou_37507442_cpg_day14,Yuon_chou_37507442_cpg_day28,Yuon_chou_37507442_deg_day14,Zasada_31445514_day36GA,Zasada_31445514
UNRANKED,RANKED,RANKED,UNRANKED,UNRANKED,UNRANKED,RANKED,RANKED,RANKED,RANKED,UNRANKED,UNRANKED,RANKED,RANKED,RANKED,RANKED,RANKED,RANKED,UNRANKED,UNRANKED,RANKED,RANKED,RANKED,RANKED,UNRANKED,UNRANKED,RANKED,RANKED,RANKED,RANKED,RANKED
Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List,Gene List
VPS4A,ADARB2,CPA3,POLD1,TGFA,NTRK1,ETV5,TLR10,SPOCK2,MYO7A,SAMD11,UGCG,PDK4,TFF3,ICOS,ICOS,IGF2BP1,FAM65C,NR_001564,IL6,NBL1,PIF1,KCNQ3,LOC100289370,OLFM2,SCG3,PEG10,FAAP20,NAAA,AFP,HPX
PCDD6,NSMC4A,CCL18,FLJ33630,ENG ,CHRNA4,CYorf15A,FCRL2,,CLCA1,NOC2L,CD24,DEK,SCGB3A1,CD28,TRAT1,MPO,ST14,NR_001564,RPL35P5,LOC150568,LOC105375151,RGMA,FBXO15,GRHPR,CRIP1,AGPAT4-IT1,MIR302E,PPM1N,C1S,A2M
ECPAS,CD44,IGHA1,SIT1,THBS1 ,PDE11A,EIF1AY,KIAA1407,,PSME4,KLHL17,MPO,RNF144B,SLPI,GALT,CD2,KCNK5,GABRE,n337756,HSD3B7,RASGRP3,DACT2,PINCR,ARRDC4,TRAK2,GAL,LINC02321,LOC105375613,H2AC14,TF,HP
NAPG,WDR45L,TPSB2,CCDC144A,COL18A1 ,FRG1,RPS4Y1,TBC1D8B,,ARHGAP31,PLEKHN1,CEACAM6,FOXD4L4,HLA-DQB1,DHRS4,CD28,LIN28B,MIR224,n337756,RNA5SP215,EML6,TRIM31,HCAR3,FAM169B,RNGTT,HPR,LOC107985910,LOC112268210,TNFSF8,HP,SERPINA3
PFKB2,NUAK1,TPSAB1,CTNNB1,CCL2 ,SPTAN1,STOM,QSOX2,,PRKRA,HES4,ABCA13,LOC101928381,CD177,NECAP2,UBASH3A,SLC22A14,THBS1,NR_002581,OR2A1-AS1,RIMBP2,HPDL,DRAXIN,STXBP5,TLN1,ZNF576,LRBA,PHACTR4,CCNA2,GSN,HBB
S100A11,KCNH7,ALDH1A3,GSPT1,TIMP1 ,DCC,PITX1,BLNK,,ZDHHC7,ISG15,ELANE,MAPK11,SCGB3A2,TULP3,ITK,NTNG2,MEG3,n333955,RNVU1-19,STK32C,LOC101928351,FAM84A,YAP1P1,LOC388588,KLKB1,LOC105369867,EHD2,RRM2,LGALS3BP,APOC2
PHGDH,GRIP1,IGHM,PDE4D,FGFR3 ,BDP1,TRPC6,BANK1,,TAS2R4,AGRN,CTSG,CREB3L1,AC114498.1,CCDC109B,CD3G,SLC28A3,SLC11A1,n334829,,MDGA2,LOC17984500,CELF2,LOC145837,WRB,FZD2,LOC103908605,LOC101927881,WDR86-AS1,HBB,SERPING1
PLEC,WDR45B,PLUNC,ELL2,EFNA-1 ,C5,RPS4Y2,LOC283710,,TAS2R5,RNF223,MS4A3,,RP11-547C13.1,CD40LG,DPP4,FBN1,IGF2BP1,NR_026703,,ABAT,LOC105370756,LOC100131315,C15orf50,TCONS_l2_00004567,ZNF175,CHST12,TNFSF8,WLS,APOA1,HBG1
ANXA1,GALNTL6,FABP4,WHAMM,KDR ,AGRN,JARID1D,RALGPS2,,RIMS2 ,C1orf159,IL1R2,,CKAP4,LPXN,CD6,FREM1,TIMP3,n339163,,,CFAP2,CABP5,ISCA1L,PLEKHO1,CDC14A,KAZN,SPOCD1,PATJ,CLU,APOA1
S100A14,,DNAJC5B,DYNLT1,VEGFB ,AGXT,PLD1,FCRLA,,ERLEC1,TTLL10,ANXA3,,RP11-358H9.1,SIRPG,SH2D1A,MBOAT2,FRRS1,n337632,,,TRS-GCT6-1,ALOX5,HTR1A,MCTP1,FKBP14,CLDN14,LOC107985910,FLT1,ITIH2,SERPINA1
RAB10,,ATP6V0D2,RGS1,TEK ,TSHZ1,TMTC1,IL7,,GPR75,TNFRSF18,DEFA4,,RP11-131M11.2,SH2D1A,TRAV8-3,IL1R2,LY6G6D,n342800,,,LOC107985555,SCN2A,CSMD3,FLNA,CDA,ACTA1,LOC107986562,ENSG00000264066,CD44,ITIH2
ANXA8,,CXCL13,TNFAIP3,MDK ,COL1A2,ARHGAP22,GGA2,,ASB3,SDF4,MMP9,,MT-TN,SLC30A4,STYX,CD24,LRRC32,n339163,,,LOC101928222,ARMH4,TRPS1,ETFA,HLX,LYSMD3,LINC02051,RSAD2,APOA4,VTN
ANXA8L1,,EREG,HBS1L,ANG,TERT,C10orf107,LOC283663,,ADCY2,B3GALT6,CD177,,SNORA11C,EDAR,LEPROTL1,TMEM44,INPP5A,NR_004407,,,LINC00284,ABCA13,CTNNA3,ZER1,PGLYRP1,CSRP1,LINC01287,DBF4B,LRG1,LGALS3BP
CTBP1,,CEACAM5,G3BP2,,DDHD1,TCF21,FAM167A,,EIF2B5,FAM132A,CHI3L1,,Y_RNA,GALNT6,SIRPG,ANKRD18B,NDST1,NR_003349,,,LOC105372815,FETUB,CHST3,PSAP,DNAJC6,ADAM8,DENND2B,TUBG1,HBG1,AFP
PPP4R1,,COMP,SDCBP,,PTPRQ,FOXF2,C9orf174,,AKR7A3,UBE2J2,TCN1,,RPS23P8,RNF125,C2orf89,RGL4,C3orf54,n334829,,,LOC107984763,PPP1R3G,NIPA1,ETFA,ZBTB40,GNA12,OLFM2,CLSPN,SERPINF2,CPN2
PLS1,,C20ORF114,SEC14L2,,PEX12,PCDH18,CELSR1,,PSME4,SCNN1D,CHIT1,,CRNN,CCR7,ABCD2,CABLES1,KEL,n332880,,,TRPM8,UCA1,STXBP5,PSAP,SLC24A3,LOC102723539,PAX2,FAM114A2,TTR,APOA4
TPP2,,IGJ,DDX24,,SACS,FHL1,AFF3,,ATP10B,ACAP3,CEACAM8,,MT-TA,CD3E,CCNI2,GRB10,SERPINE1,NR_003347,,,IL7,ADRB2,PRR16,MYH9,ATP7B,ITGAX,LOC105374506,ZNF155,IGHG1,LUM
CAND1,,CH25H,PNPLA8,,CLCN1,CTSC,FCGR2B,,LMF1,PUSL1,OLFM4,,RP1-38C16.2,SKAP1,CD96,B4GALT5,ADORA3,NR_003298,,,DEFB1,LOC105372352,FTMT,TCEB2,SCNN1G,PIK3AP1,HM13-AS1,POM121,SPP1,AHSG
PIGR,,LGALS3,ELF1,,GAA,FGF9,RPS26,,ATF7IP,CPSF3L,TCN1,,SIGLEC31P,CD5,THEMIS,ITGA9,IRS2,NR_003314,,,ITGB2,TRIB2,RNF130,ZFAND6,MICA,ADPRS,DLG1,FOXM1,IGHG3,HBG2
