Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Sprr2a2,not found,,,
Kng1,ENSG00000113889,ortholog_one2many,59.472,70.8075
Afp,ENSG00000081051,ortholog_one2one,63.711,77.6683
Fam19a4,ENSG00000163377,ortholog_one2one,90,91.4286
Zmat4,ENSG00000165061,ortholog_one2one,94.3231,96.9432
Ambp,ENSG00000106927,ortholog_one2one,75.2841,84.375
Aadac,ENSG00000114771,ortholog_one2one,69.4236,83.7093
Gypa,ENSG00000250361,ortholog_one2many,35.1648,47.2527
Fabp1,ENSG00000163586,ortholog_one2one,84.252,91.3386
Apol11b,ENSG00000128284,ortholog_many2many,37.4622,56.7976
Ahsg,ENSG00000145192,ortholog_one2one,58.5831,68.9373
Nusap1,ENSG00000137804,ortholog_one2one,61.678,72.7891
Akr1c6,not found,,,
Lsp1,ENSG00000130592,ortholog_one2one,65.4867,73.1563
Slc22a19,ENSG00000149742,ortholog_one2many,55.1537,72.6944
Oxgr1,ENSG00000165621,ortholog_one2one,85.4599,89.3175
Slitrk6,ENSG00000184564,ortholog_one2one,89.1796,95.0059
Alb,ENSG00000163631,ortholog_one2one,72.2496,85.8785
Nusap1,ENSG00000137804,ortholog_one2one,61.678,72.7891
Cyp4a14,not found,,,
Acmsd,ENSG00000153086,ortholog_one2one,87.2024,94.9405
2810417H13Rik,ENSG00000166803,ortholog_one2one,82.8829,90.0901
Bub1,ENSG00000169679,ortholog_one2one,71.6129,81.5668
Bub1,ENSG00000169679,ortholog_one2one,71.6129,81.5668
Hist1h1a,ENSG00000124610,ortholog_one2one,78.6047,86.9767
Dscc1,ENSG00000136982,ortholog_one2one,85.4962,90.8397
Vsnl1,ENSG00000163032,ortholog_one2one,100,100
Cenpf,ENSG00000117724,ortholog_one2one,63.9371,77.3282
Pbk,ENSG00000168078,ortholog_one2one,87.8882,94.7205
Olfr558,ENSG00000180785,ortholog_one2one,93.0818,95.9119
Hist1h3c,not found,,,
Angptl7,ENSG00000171819,ortholog_one2one,85.5491,91.3295
Lrr1,ENSG00000165501,ortholog_one2one,78.5024,86.4734
Cyp3a11,ENSG00000106258,ortholog_many2many,73.1076,87.251
Cxcl17,ENSG00000189377,ortholog_one2one,71.4286,78.9916
Pzp,not found,,,
Veph1,ENSG00000197415,ortholog_one2one,85.4742,91.2365
Ccne2,ENSG00000175305,ortholog_one2one,91.5842,95.5446
Mest,ENSG00000106484,ortholog_one2one,95.8209,97.6119
Trib3,ENSG00000101255,ortholog_one2one,73.1844,81.5642
I830012O16Rik,ENSG00000119917,ortholog_one2many,49.7959,65.102
Spc25,ENSG00000152253,ortholog_one2one,74.5536,88.3929
Slc10a6,ENSG00000145283,ortholog_one2one,70.2918,83.5544
Ugt2b1,not found,,,
Ncan,ENSG00000130287,ortholog_one2one,63.891,71.0825
Smim18,ENSG00000253457,ortholog_one2one,88.4211,92.6316
Cbln2,ENSG00000141668,ortholog_one2one,94.1964,94.6429
Fbxw14,ENSG00000164049,ortholog_one2many,39.0086,53.4483
Gm12429,ENSG00000205108,ortholog_one2many,45.5431,59.7753
Serpina3i,ENSG00000196136,ortholog_one2many,57.4468,71.1584
Nhlh1,ENSG00000171786,ortholog_one2one,91.7293,91.7293
2900011O08Rik,ENSG00000166780,ortholog_one2one,95.098,97.0588
Gdf15,ENSG00000130513,ortholog_one2one,56.8182,70.4545
Saa2,not found,,,
Cxcl2,ENSG00000163734,ortholog_one2many,59.8131,72.8972
Barhl2,ENSG00000143032,ortholog_one2one,92.2481,93.2817
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
1700112E06Rik,ENSG00000148655,ortholog_one2one,88.0531,93.3628
Cxcl10,ENSG00000169245,ortholog_one2one,68.3673,80.6122
Saa3,not found,,,
Cryge,not found,,,
Fezf1,ENSG00000128610,ortholog_one2one,94.3158,95.5789
Npbwr1,ENSG00000288611,ortholog_one2one,84.7561,90.2439
Neurod6,ENSG00000164600,ortholog_one2one,98.2196,99.1098
Zbtb16,ENSG00000109906,ortholog_one2one,96.7311,97.6226
Reg3g,ENSG00000172023,ortholog_many2many,43.3735,62.6506
Neurod1,ENSG00000162992,ortholog_one2one,97.7528,98.8764
Ano3,ENSG00000134343,ortholog_one2one,93.6799,96.84
