Mouse Genes,Human Ortholog Symbol
Esr1,ENSG00000091831
Stfa3,ENSG00000121552
Lysmd2,ENSG00000140280
Gm5483,ENSG00000121552
2010005H15Rik,ENSG00000121552
Slfn4,ENSG00000172123
Clec4e,ENSG00000166523
Stfa2,ENSG00000121552
Cxcr2,ENSG00000180871
S100a9,ENSG00000163220
Zfp579,ENSG00000218891
Retnlg,ENSG00000163515
Il1b,ENSG00000125538
Tmem100,ENSG00000166292
Tmod3,ENSG00000138594
S100a8,ENSG00000143546
Stfa1,ENSG00000121552
Lrrc15,ENSG00000172061
Zfp36,ENSG00000110315
C5ar1,ENSG00000197405
Tdo2,ENSG00000151790
Cxcl1,ENSG00000163734
Slc26a4,ENSG00000091137
Cebpb,ENSG00000172216
Arg1,ENSG00000142910
F10,ENSG00000126218
Mmp8,ENSG00000118113
Fam101b,ENSG00000183688
Serpina3f,ENSG00000196136
Arl14,ENSG00000179674
Asprv1,ENSG00000244617
Ifitm6,ENSG00000142089
Tmod2,ENSG00000128872
Rspo2,ENSG00000147655
Il1rn,ENSG00000136689
Dip2c,ENSG00000151240
Stfa2l1,ENSG00000121552
Rpl34,ENSG00000109475
Fpr1,ENSG00000171051
Aspn,ENSG00000106819
Trem1,ENSG00000124731
Sap25,ENSG00000205307
Capn11,ENSG00000137225
Stk38l,ENSG00000211455
Cyp26b1,ENSG00000003137
Cebpd,ENSG00000221869
E130309D14Rik,ENSG00000277200
Plekhf1,ENSG00000166289
Il1f9,ENSG00000136688
Adamts8,ENSG00000134917
Ecm2,ENSG00000106823
Chl1,ENSG00000101938
Gdf9,ENSG00000164404
Igdcc3,ENSG00000174498
Vsig1,ENSG00000101842
Socs3,ENSG00000184557
Ndp,ENSG00000124479
Pkia,ENSG00000171033
Steap4,ENSG00000127954
Kif26a,ENSG00000066735
Sh2b2,ENSG00000160999
Fpr2,ENSG00000171049
Col15a1,ENSG00000204291
Tnfsf10,ENSG00000121858
Ly6g6d,ENSG00000244355
Il1a,ENSG00000115008
Nrg2,ENSG00000158458
Heyl,ENSG00000163909
Wisp1,ENSG00000104415
Wt1,ENSG00000184937
Cd2,ENSG00000116824
Slc10a6,ENSG00000145283
Ccl7,ENSG00000108688
Asap3,ENSG00000088280
Nfil3,ENSG00000165030
Fam110c,ENSG00000184731
Wdr86,ENSG00000187260
Cd14,ENSG00000170458
D3Ertd751e,ENSG00000151470
Prg4,ENSG00000116690
Pnmal2,ENSG00000204851
Inmt,ENSG00000241644
Depdc1b,ENSG00000035499
Wscd1,ENSG00000179314
Eno1b,ENSG00000074800
Thg1l,ENSG00000113272
Atn1,ENSG00000111676
Itgam,ENSG00000169896
Nfkbiz,ENSG00000144802
Fcer2a,ENSG00000104921
Tcf23,ENSG00000163792
Baz1a,ENSG00000198604
Akap8l,ENSG00000011243
Olfm4,ENSG00000102837
C1qtnf2,ENSG00000145861
Clec4d,ENSG00000166527
Mbd6,ENSG00000166987
Il6ra,ENSG00000160712
Fosl2,ENSG00000075426
Chrm3,ENSG00000133019
Mmp9,ENSG00000100985
Junb,ENSG00000171223
Nol3,ENSG00000140939
Tle1,ENSG00000196781
Slc30a1,ENSG00000170385
Obsl1,ENSG00000124006
Il4i1,ENSG00000104951
Cd300lf,ENSG00000186074
Kmt2b,ENSG00000272333
Tnf,ENSG00000232810
Rnf40,ENSG00000103549
Padi4,ENSG00000159339
Safb2,ENSG00000130254
Rad51c,ENSG00000108384
Cdk2ap2,ENSG00000167797
Dusp19,ENSG00000162999
Cxcl14,ENSG00000145824
Adamts13,ENSG00000160323
Fgfr4,ENSG00000160867
Ikbke,ENSG00000263528
Emcn,ENSG00000164035
Fgr,ENSG00000000938
Camk4,ENSG00000152495
Pdlim1,ENSG00000107438
Nab2,ENSG00000166886
Nxpe2,ENSG00000204361
Emilin2,ENSG00000132205
Hif3a,ENSG00000124440
Nlrp3,ENSG00000162711
Srp54b,ENSG00000100883
Rnd1,ENSG00000172602
Cd33,ENSG00000105383
Mrpl36,ENSG00000171421
Map3k10,ENSG00000130758
Dlg2,ENSG00000150672
Ybx2,ENSG00000006047
Zbtb16,ENSG00000109906
Clec5a,ENSG00000258227
Map3k8,ENSG00000107968
Timp1,ENSG00000102265
Nyap1,ENSG00000166924
Bbc3,ENSG00000105327
Lilra6,ENSG00000244482
Grem1,ENSG00000166923
Per1,ENSG00000179094
Cxcl13,ENSG00000156234
Slc4a11,ENSG00000088836
Tmem243,ENSG00000135185
Serpina3g,ENSG00000196136
Zfp239,ENSG00000196793
Trim39,ENSG00000204599
Nox4,ENSG00000086991
Lgr6,ENSG00000133067
A230050P20Rik,ENSG00000130813
Socs1,ENSG00000185338
Qsox1,ENSG00000116260
Dgke,ENSG00000153933
Kcnh1,ENSG00000143473
Aplf,ENSG00000169621
Wscd2,ENSG00000075035
Chm,ENSG00000188419
Fyn,ENSG00000010810
Gp49a,ENSG00000187116
Zfp831,ENSG00000124203
Psat1,ENSG00000135069
Gmpr,ENSG00000137198
Myct1,ENSG00000120279
Kmt2d,ENSG00000167548
Capn15,ENSG00000103326
Ankrd33b,ENSG00000164236
Sh3bp1,ENSG00000100092
Pim1,ENSG00000137193
C1qtnf3,ENSG00000082196
Flcn,ENSG00000154803
Ccdc68,ENSG00000166510
Reep4,ENSG00000168476
Spp1,ENSG00000126821
Papln,ENSG00000100767
Osm,ENSG00000099985
Csrp2,ENSG00000175183
Matn2,ENSG00000132561
Rusc1,ENSG00000160753
Clmp,ENSG00000166250
Sod2,ENSG00000291237
Lyrm7,ENSG00000186687
Galnt11,ENSG00000178234
Plek,ENSG00000115956
Ehmt2,ENSG00000204371
Rasgrp4,ENSG00000171777
Arrdc3,ENSG00000113369
Abca7,ENSG00000064687
Msrb3,ENSG00000174099
Sybu,ENSG00000147642
Ccl3,ENSG00000277632
Zfp575,ENSG00000176472
Grina,ENSG00000178719
Malt1,ENSG00000172175
Gabarapl2,ENSG00000034713
AW554918,ENSG00000150477
Angptl2,ENSG00000136859
Abra,ENSG00000174429
Angptl7,ENSG00000171819
Tbc1d30,ENSG00000111490
Synpo,ENSG00000171992
Itgb3,ENSG00000259207
Stxbp2,ENSG00000076944
Penk,ENSG00000181195
Igsf23,ENSG00000216588
Tnfaip3,ENSG00000118503
Smim12,ENSG00000163866
Pet100,ENSG00000229833
Lst1,ENSG00000204482
Il1r2,ENSG00000115590
Pkn3,ENSG00000160447
Gclc,ENSG00000001084
Lilrb4,ENSG00000187116
Sbf1,ENSG00000100241
Trp53bp2,ENSG00000143514
Banp,ENSG00000172530
Fbln7,ENSG00000144152
Slc6a9,ENSG00000196517
Pcdhgb4,ENSG00000253953
Jam2,ENSG00000154721
Acer2,ENSG00000177076
3110007F17Rik,ENSG00000234469
Lrpprc,ENSG00000138095
Fbn2,ENSG00000138829
Csf2rb,ENSG00000100368
Aqp3,ENSG00000165272
Xrcc4,ENSG00000152422
Tcf21,ENSG00000118526
Tob2,ENSG00000183864
Fntb,ENSG00000257365
Fbxl19,ENSG00000099364
Tnfsf9,ENSG00000125657
Pvrl2,ENSG00000130202
Slc7a11,ENSG00000151012
Ifitm2,ENSG00000142089
Ly6c1,ENSG00000291309
Zfp598,ENSG00000167962
Sspn,ENSG00000123096
Ldb2,ENSG00000169744
Cacna2d3,ENSG00000157445
Crebbp,ENSG00000005339
Trpm5,ENSG00000070985
Gstp2,ENSG00000084207
Olr1,ENSG00000173391
Arl15,ENSG00000185305
Ngb,ENSG00000165553
Osbpl8,ENSG00000091039
Hcar2,ENSG00000182782
Itga1,ENSG00000213949
Kcnf1,ENSG00000123700
Avil,ENSG00000135407
Nfkbid,ENSG00000167604
Atad3a,ENSG00000197785
Ackr2,ENSG00000144648
Kcnd3,ENSG00000171385
Col6a5,ENSG00000172752
Vasn,ENSG00000168140
Nmnat2,ENSG00000157064
Hnrnpa1,ENSG00000224578
Mmp16,ENSG00000156103
Frs3,ENSG00000137218
Plac9b,ENSG00000189129
Prcc,ENSG00000143294
1110008L16Rik,ENSG00000100890
Scx,ENSG00000260428
Irx1,ENSG00000170549
Rexo1,ENSG00000079313
Vasp,ENSG00000125753
Abcb9,ENSG00000150967
Nell1,ENSG00000165973
Csf2rb2,ENSG00000100368
Cited2,ENSG00000164442
Ciz1,ENSG00000148337
Homer3,ENSG00000051128
Csf2ra,ENSG00000198223
Tubb2a,ENSG00000137267
Nos3,ENSG00000164867
Pak3,ENSG00000077264
Ccl9,ENSG00000275718
Ccrn4l,ENSG00000151014
Tgm1,ENSG00000092295
2610305D13Rik,ENSG00000196378
Fam180a,ENSG00000189320
Csf3r,ENSG00000119535
Gtpbp4,ENSG00000107937
Nfkbia,ENSG00000100906
Gramd1a,ENSG00000089351
Fam172a,ENSG00000113391
Kcne2,ENSG00000159197
Rpain,ENSG00000129197
Phf21a,ENSG00000135365
Trim30b,ENSG00000132256
Fam107a,ENSG00000168309
Zfp711,ENSG00000147180
Tlr2,ENSG00000137462
Hpse2,ENSG00000172987
Egr3,ENSG00000179388
Tma7,ENSG00000232112
E2f2,ENSG00000007968
Ces2b,ENSG00000172831
Dedd,ENSG00000158796
Siglece,ENSG00000168995
Fzr1,ENSG00000105325
Csgalnact1,ENSG00000147408
Thbs4,ENSG00000113296
Kctd12,ENSG00000178695
Ndfip1,ENSG00000131507
Pcnxl2,ENSG00000135749
Zfp207,ENSG00000010244
Enpp1,ENSG00000197594
Xlr,ENSG00000139351
Ntf3,ENSG00000185652
Snx7,ENSG00000162627
Mthfr,ENSG00000177000
Klf15,ENSG00000163884
Fkbp5,ENSG00000096060
Pram1,ENSG00000133246
Hic1,ENSG00000177374
Cenpm,ENSG00000100162
Vil1,ENSG00000127831
Trim27,ENSG00000204713
Fbrs,ENSG00000156860
Actg2,ENSG00000163017
Lbp,ENSG00000129988
Pdlim5,ENSG00000163110
Rgcc,ENSG00000102760
Zfp358,ENSG00000198816
Bcl3,ENSG00000069399
Efcab7,ENSG00000203965
Rad52,ENSG00000002016
Trpm6,ENSG00000119121
Rcan3,ENSG00000117602
Rnf149,ENSG00000163162
Pla2g4c,ENSG00000105499
Arrb2,ENSG00000141480
H2-Oa,ENSG00000204252
Ggps1,ENSG00000152904
Zfp523,ENSG00000065029
Bcl2a1a,ENSG00000140379
Kdm6b,ENSG00000132510
Mlxipl,ENSG00000009950
Gga3,ENSG00000125447
Palm3,ENSG00000187867
Vav1,ENSG00000141968
Rab44,ENSG00000255587
Mapk8ip3,ENSG00000138834
Eno1,ENSG00000074800
Vps37b,ENSG00000139722
Il18r1,ENSG00000115604
Il18rap,ENSG00000115607
Notum,ENSG00000185269
Eltd1,ENSG00000162618
Ccl12,ENSG00000108700
Srp54a,ENSG00000100883
Phlda1,ENSG00000139289
Triap1,ENSG00000170855
Med25,ENSG00000104973
Tmem40,ENSG00000088726
Hdac6,ENSG00000094631
Pcdhga5,ENSG00000253485
Pde7a,ENSG00000205268
Gfpt2,ENSG00000131459
Spata2l,ENSG00000158792
Rmdn1,ENSG00000176623
Scrn3,ENSG00000144306
Spon2,ENSG00000159674
Alox5ap,ENSG00000132965
Kbtbd3,ENSG00000182359
Hdhd2,ENSG00000167220
Insig1,ENSG00000186480
Deptor,ENSG00000155792
B3gat3,ENSG00000149541
Prkacb,ENSG00000142875
Tatdn3,ENSG00000203705
Abca8b,ENSG00000141338
Zfp653,ENSG00000161914
Eepd1,ENSG00000122547
Snrpa,ENSG00000077312
Srrt,ENSG00000087087
Pygb,ENSG00000100994
Alyref2,ENSG00000183684
Ackr3,ENSG00000144476
Gpr88,ENSG00000181656
Ncf4,ENSG00000100365
Rnf32,ENSG00000105982
Tmem150a,ENSG00000168890
Lgals2,ENSG00000100079
Lrp4,ENSG00000145244
Postn,ENSG00000133110
Dcp1b,ENSG00000151065
Ralgds,ENSG00000160271
Fxn,ENSG00000165060
Lancl3,ENSG00000147036
Arid1a,ENSG00000117713
Zc3h12a,ENSG00000163874
Gm13051,ENSG00000196378
A430105I19Rik,ENSG00000188549
Pglyrp1,ENSG00000008438
Brsk1,ENSG00000160469
Map2k7,ENSG00000076984
Plaur,ENSG00000011422
Cd300ld,ENSG00000186074
Ube2t,ENSG00000077152
Zfp384,ENSG00000126746
Brf2,ENSG00000104221
Leng8,ENSG00000167615
AI462493,ENSG00000204922
Galnt16,ENSG00000100626
Dfna5,ENSG00000105928
Rag1,ENSG00000166349
Bfsp1,ENSG00000125864
Pno1,ENSG00000115946
Chgb,ENSG00000089199
Tek,ENSG00000120156
Ranbp3l,ENSG00000164188
Apobr,ENSG00000184730
Mtrf1l,ENSG00000112031
Xdh,ENSG00000158125
Mthfd1l,ENSG00000120254
Taok3,ENSG00000135090
Mrpl38,ENSG00000204316
2700081O15Rik,ENSG00000188070
Pcx,ENSG00000173599
Sema3g,ENSG00000010319
S100a14,ENSG00000163191
Preb,ENSG00000138073
Serpinb10,ENSG00000242550
Irx2,ENSG00000170561
Tle3,ENSG00000140332
R3hdm4,ENSG00000198858
Dpf1,ENSG00000011332
Cyp2e1,ENSG00000130649
Tagln,ENSG00000149591
Lgr5,ENSG00000139292
Ddhd1,ENSG00000100523
Spi1,ENSG00000066336
Sfrp2,ENSG00000145423
Eid1,ENSG00000255302
Sh3tc2,ENSG00000169247
Bcdin3d,ENSG00000186666
Samd4b,ENSG00000179134
Rnf123,ENSG00000164068
Acin1,ENSG00000100813
Adcyap1r1,ENSG00000078549
Pde4b,ENSG00000184588
Arhgap28,ENSG00000088756
Agpat1,ENSG00000204310
Erbb2,ENSG00000141736
1810011O10Rik,ENSG00000176907
Hk2,ENSG00000159399
Vtn,ENSG00000109072
Tmem200a,ENSG00000164484
Tuba8,ENSG00000183785
Fos,ENSG00000170345
Epc1,ENSG00000120616
Ripply3,ENSG00000183145
Apol6,ENSG00000221963
Itih5,ENSG00000123243
Sema3d,ENSG00000153993
Kcna2,ENSG00000177301
Chadl,ENSG00000100399
Bud13,ENSG00000137656
