Rat Gene,Human Ortholog Gene Symbol
Scgb3a1,ENSG00000161055
Alox15,ENSG00000161905
Itm2a,ENSG00000078596
Calml3,ENSG00000178363
Prph,ENSG00000135406
Steap4,ENSG00000127954
Clu,ENSG00000120885
Bicdl1,ENSG00000135127
Slc9a3r1,ENSG00000109062
Hba-a3,ENSG00000188536
Igfbp6,ENSG00000167779
Nbl1,ENSG00000158747
Slc6a4,ENSG00000108576
Itgbl1,ENSG00000198542
Pcolce,ENSG00000106333
Adamts15,ENSG00000166106
Col14a1,ENSG00000187955
Frem2,ENSG00000150893
Tenm3,ENSG00000218336
Myrf,ENSG00000124920
Chst4,ENSG00000140835
Crip1,ENSG00000213145
Gpc3,ENSG00000147257
Aldh1a2,ENSG00000128918
Prss12,ENSG00000164099
Kitlg,ENSG00000049130
Nkain4,ENSG00000101198
Prkcdbp,ENSG00000170955
Scara3,ENSG00000168077
C4a,ENSG00000244731
Col3a1,ENSG00000168542
Ackr3,ENSG00000144476
Cobl,ENSG00000106078
Lrrn4,ENSG00000125872
Tm4sf1,ENSG00000169908
Rspo1,ENSG00000169218
Prr15,ENSG00000176532
Anxa3,ENSG00000138772
Krt18,ENSG00000111057
Sema3c,ENSG00000075223
Sulf1,ENSG00000137573
Cdon,ENSG00000064309
Flnb,ENSG00000136068
Ccdc80,ENSG00000091986
Mgat3,ENSG00000128268
Dsg2,ENSG00000046604
Eln,ENSG00000049540
Upk3b,ENSG00000243566
Upk1b,ENSG00000114638
Ndn,ENSG00000182636
Pappa2,ENSG00000116183
Rps27a,ENSG00000143947
Tcf23,ENSG00000163792
Ezr,ENSG00000092820
Msln,ENSG00000102854
Gpm6a,ENSG00000150625
Adh7,ENSG00000196344
Id3,ENSG00000117318
Ppfibp1,ENSG00000110841
Ccl6,not found
Krt19,ENSG00000186832
Sft2d2,ENSG00000213064
Aqp1,ENSG00000240583
Muc16,error - retries exceeded
Plet1,ENSG00000188771
Igfbp5,ENSG00000115461
Ednrb,ENSG00000136160
Efemp1,ENSG00000115380
Ptprc,ENSG00000081237
Dsp,ENSG00000096696
Ace,ENSG00000159640
Cybb,ENSG00000165168
Fasn,ENSG00000169710
Ctsd,ENSG00000117984
Sirpa,ENSG00000198053
Mrc1,ENSG00000260314
Ptgis,ENSG00000124212
Gpnmb,ENSG00000136235
Dram1,ENSG00000136048
Lcn2,ENSG00000148346
Lamp3,not found
Naaa,ENSG00000138744
Col4a1,ENSG00000187498
Col4a2,ENSG00000134871
Itgal,ENSG00000005844
Atp11a,ENSG00000068650
Cpm,ENSG00000135678
Lcp1,ENSG00000136167
Cxcl3,ENSG00000163734
Sftpa1,ENSG00000122852
Cyr61,ENSG00000142871
Plvap,ENSG00000130300
Itga8,ENSG00000077943
Ccl9,ENSG00000275718
Retnia,error - retries exceeded
Eng,ENSG00000106991
Lpl,ENSG00000175445
Fam111a,ENSG00000166801
Slc34a2,ENSG00000157765
Ptprb,ENSG00000127329
C3,ENSG00000125730
Postn,ENSG00000133110
Adgrf5,ENSG00000069122
Cdh5,ENSG00000179776
Macf1,ENSG00000127603
Anpep,ENSG00000166825
