#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0030198	Extracellular matrix organization	42	278	1.57	7.22	6.88e-50	9606.ENSP00000219070,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000252599,9606.ENSP00000260702,9606.ENSP00000261037,9606.ENSP00000261921,9606.ENSP00000263556,9606.ENSP00000264828,9606.ENSP00000279441,9606.ENSP00000284984,9606.ENSP00000284987,9606.ENSP00000297268,9606.ENSP00000299855,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000317232,9606.ENSP00000331544,9606.ENSP00000345008,9606.ENSP00000348385,9606.ENSP00000349790,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000356791,9606.ENSP00000356899,9606.ENSP00000356954,9606.ENSP00000360997,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364979,9606.ENSP00000369071,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375778,9606.ENSP00000378957,9606.ENSP00000379866,9606.ENSP00000381949,9606.ENSP00000458585	MMP2,COL1A1,VTN,LOX,COLGALT1,LOXL4,COL8A1,LOXL1,P4HA1,COL5A3,MMP10,ADAMTS1,ADAMTS5,COL1A2,MMP3,COL3A1,BMP1,MMP14,EFEMP2,FKBP10,FBLN1,FBLN5,COL27A1,COL9A1,ELN,COL18A1,COL4A2,DPT,DDR2,CCN2,ADAMTS13,MMP9,ENG,COL4A1,POSTN,EMILIN1,LOXL2,LAMB3,MFAP4,COL4A4,COL13A1,MMP12
GO Process	GO:0009653	Anatomical structure morphogenesis	45	2229	0.69	1.36	2.29e-18	9606.ENSP00000020945,9606.ENSP00000052754,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000264144,9606.ENSP00000265131,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000284987,9606.ENSP00000297268,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000312506,9606.ENSP00000317232,9606.ENSP00000346839,9606.ENSP00000348385,9606.ENSP00000349790,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355330,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375682,9606.ENSP00000375778,9606.ENSP00000378058,9606.ENSP00000381949,9606.ENSP00000458585	SNAI2,DCN,MMP2,SERPINE1,COL1A1,VTN,LOX,TGFB3,PRRX1,THBS1,COL8A1,LAMC2,TNC,FGF18,ITGB6,ADAMTS1,ADAMTS5,COL1A2,AXL,COL3A1,BMP1,MMP14,EFEMP2,CSPG4,FKBP10,FN1,COL27A1,COL9A1,ELN,COL18A1,COL4A2,TGM2,CCN2,HTRA1,MMP9,ENG,MFAP2,COL4A1,EMILIN1,LOXL2,KLK8,LAMB3,EFEMP1,COL13A1,MMP12
GO Process	GO:0030199	Collagen fibril organization	15	59	1.79	4.48	2.29e-18	9606.ENSP00000225964,9606.ENSP00000231004,9606.ENSP00000252599,9606.ENSP00000260702,9606.ENSP00000261921,9606.ENSP00000263556,9606.ENSP00000264828,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000317232,9606.ENSP00000356791,9606.ENSP00000356899,9606.ENSP00000373783,9606.ENSP00000381949	COL1A1,LOX,COLGALT1,LOXL4,LOXL1,P4HA1,COL5A3,COL1A2,COL3A1,BMP1,FKBP10,DPT,DDR2,LOXL2,COL13A1
GO Process	GO:0009887	Animal organ morphogenesis	31	997	0.88	1.76	4.95e-16	9606.ENSP00000020945,9606.ENSP00000052754,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000261037,9606.ENSP00000264144,9606.ENSP00000265131,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000284987,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000348385,9606.ENSP00000349790,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000355330,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000375778,9606.ENSP00000378058,9606.ENSP00000381949	SNAI2,DCN,MMP2,SERPINE1,COL1A1,TGFB3,PRRX1,COL8A1,LAMC2,TNC,FGF18,ITGB6,ADAMTS1,ADAMTS5,COL1A2,COL3A1,BMP1,MMP14,EFEMP2,COL27A1,COL9A1,ELN,COL18A1,TGM2,CCN2,HTRA1,ENG,MFAP2,LAMB3,EFEMP1,COL13A1
GO Process	GO:0048513	Animal organ development	47	3246	0.55	0.98	8.40e-14	9606.ENSP00000020945,9606.ENSP00000052754,9606.ENSP00000218388,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000261037,9606.ENSP00000264144,9606.ENSP00000264828,9606.ENSP00000265131,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000284987,9606.ENSP00000297268,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000327336,9606.ENSP00000346839,9606.ENSP00000348385,9606.ENSP00000349790,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000355330,9606.ENSP00000356899,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375778,9606.ENSP00000376188,9606.ENSP00000378058,9606.ENSP00000379866,9606.ENSP00000381949,9606.ENSP00000400010,9606.ENSP00000458585	SNAI2,DCN,TIMP1,MMP2,SERPINE1,COL1A1,VTN,LOX,TGFB3,PRRX1,COL8A1,LAMC2,COL5A3,TNC,FGF18,ITGB6,ADAMTS1,ADAMTS5,COL1A2,AXL,COL3A1,BMP1,MMP14,EFEMP2,BGN,FN1,COL27A1,COL9A1,ELN,COL18A1,TGM2,DDR2,CCN2,HTRA1,MMP9,ENG,MFAP2,COL4A1,EMILIN1,LOXL2,LAMB3,CRLF1,EFEMP1,COL4A4,COL13A1,PTPRJ,MMP12
GO Process	GO:0001568	Blood vessel development	22	505	1.03	1.97	2.53e-13	9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000231004,9606.ENSP00000239461,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261921,9606.ENSP00000274625,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000312506,9606.ENSP00000317232,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000356954,9606.ENSP00000362299,9606.ENSP00000364979,9606.ENSP00000373783	MMP2,SERPINE1,COL1A1,LOX,PRRX1,THBS1,COL8A1,LOXL1,FGF18,COL1A2,COL3A1,MMP14,EFEMP2,CSPG4,FKBP10,FN1,COL18A1,COL4A2,CCN2,ENG,COL4A1,LOXL2
GO Process	GO:0009611	Response to wounding	21	444	1.06	2.05	2.58e-13	9606.ENSP00000218388,9606.ENSP00000219070,9606.ENSP00000220809,9606.ENSP00000225964,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000265131,9606.ENSP00000283249,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000317232,9606.ENSP00000331544,9606.ENSP00000339328,9606.ENSP00000346839,9606.ENSP00000356771,9606.ENSP00000356954,9606.ENSP00000360997,9606.ENSP00000361850,9606.ENSP00000362299,9606.ENSP00000375682,9606.ENSP00000458585	TIMP1,MMP2,PLAT,COL1A1,LOX,TGFB3,TNC,ITGB6,AXL,COL3A1,FKBP10,FBLN1,PLAUR,FN1,F5,CCN2,ADAMTS13,PLAU,ENG,KLK8,MMP12
GO Process	GO:0048856	Anatomical structure development	56	5117	0.43	0.78	9.30e-13	9606.ENSP00000020945,9606.ENSP00000052754,9606.ENSP00000218388,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261921,9606.ENSP00000264144,9606.ENSP00000264828,9606.ENSP00000265131,9606.ENSP00000274341,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000284987,9606.ENSP00000297268,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000312506,9606.ENSP00000317232,9606.ENSP00000327336,9606.ENSP00000331544,9606.ENSP00000346839,9606.ENSP00000348385,9606.ENSP00000349790,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355330,9606.ENSP00000356899,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000369071,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375682,9606.ENSP00000375778,9606.ENSP00000376188,9606.ENSP00000378058,9606.ENSP00000379866,9606.ENSP00000381949,9606.ENSP00000400010,9606.ENSP00000458585	SNAI2,DCN,TIMP1,MMP2,SERPINE1,COL1A1,VTN,LOX,TGFB3,PRRX1,THBS1,COL8A1,LOXL1,LAMC2,COL5A3,TNC,HAPLN1,FGF18,ITGB6,ADAMTS1,ADAMTS5,COL1A2,AXL,COL3A1,BMP1,MMP14,EFEMP2,CSPG4,FKBP10,BGN,FBLN1,FN1,COL27A1,COL9A1,ELN,COL18A1,COL4A2,TGM2,DDR2,CCN2,HTRA1,MMP9,ENG,MFAP2,COL4A1,POSTN,EMILIN1,LOXL2,KLK8,LAMB3,CRLF1,EFEMP1,COL4A4,COL13A1,PTPRJ,MMP12
GO Process	GO:0007275	Multicellular organism development	51	4209	0.47	0.84	1.26e-12	9606.ENSP00000020945,9606.ENSP00000218388,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261921,9606.ENSP00000264144,9606.ENSP00000265131,9606.ENSP00000274341,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000297268,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000312506,9606.ENSP00000317232,9606.ENSP00000327336,9606.ENSP00000331544,9606.ENSP00000346839,9606.ENSP00000348385,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355330,9606.ENSP00000356899,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375682,9606.ENSP00000375778,9606.ENSP00000376188,9606.ENSP00000378058,9606.ENSP00000379866,9606.ENSP00000381949,9606.ENSP00000400010,9606.ENSP00000458585	SNAI2,TIMP1,MMP2,SERPINE1,COL1A1,VTN,LOX,TGFB3,PRRX1,THBS1,COL8A1,LOXL1,LAMC2,TNC,HAPLN1,FGF18,ITGB6,ADAMTS1,COL1A2,AXL,COL3A1,BMP1,MMP14,EFEMP2,CSPG4,FKBP10,BGN,FBLN1,FN1,COL27A1,ELN,COL18A1,COL4A2,TGM2,DDR2,CCN2,HTRA1,MMP9,ENG,MFAP2,COL4A1,EMILIN1,LOXL2,KLK8,LAMB3,CRLF1,EFEMP1,COL4A4,COL13A1,PTPRJ,MMP12
GO Process	GO:0048731	System development	49	3867	0.49	0.87	1.28e-12	9606.ENSP00000020945,9606.ENSP00000218388,9606.ENSP00000219070,9606.ENSP00000223095,9606.ENSP00000225964,9606.ENSP00000226218,9606.ENSP00000231004,9606.ENSP00000238682,9606.ENSP00000239461,9606.ENSP00000260356,9606.ENSP00000261037,9606.ENSP00000261921,9606.ENSP00000264144,9606.ENSP00000265131,9606.ENSP00000274341,9606.ENSP00000274625,9606.ENSP00000283249,9606.ENSP00000284984,9606.ENSP00000297268,9606.ENSP00000301178,9606.ENSP00000304408,9606.ENSP00000305714,9606.ENSP00000308208,9606.ENSP00000309953,9606.ENSP00000312506,9606.ENSP00000317232,9606.ENSP00000327336,9606.ENSP00000346839,9606.ENSP00000348385,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353654,9606.ENSP00000355330,9606.ENSP00000356899,9606.ENSP00000356954,9606.ENSP00000357980,9606.ENSP00000361405,9606.ENSP00000362299,9606.ENSP00000364685,9606.ENSP00000364979,9606.ENSP00000369677,9606.ENSP00000373783,9606.ENSP00000375682,9606.ENSP00000376188,9606.ENSP00000378058,9606.ENSP00000379866,9606.ENSP00000381949,9606.ENSP00000400010,9606.ENSP00000458585	SNAI2,TIMP1,MMP2,SERPINE1,COL1A1,VTN,LOX,TGFB3,PRRX1,THBS1,COL8A1,LOXL1,LAMC2,TNC,HAPLN1,FGF18,ITGB6,ADAMTS1,COL1A2,AXL,COL3A1,BMP1,MMP14,EFEMP2,CSPG4,FKBP10,BGN,FN1,COL27A1,ELN,COL18A1,COL4A2,TGM2,DDR2,CCN2,HTRA1,MMP9,ENG,MFAP2,COL4A1,EMILIN1,LOXL2,KLK8,CRLF1,EFEMP1,COL4A4,COL13A1,PTPRJ,MMP12
