Mouse Genes,Human Ortholog Symbol
ENSMUSG00000031631,ENSG00000164323
ENSMUSG00000047996,ENSG00000130962
ENSMUSG00000037697,ENSG00000100523
ENSMUSG00000071657,ENSG00000168000
ENSMUSG00000031153,ENSG00000068400
ENSMUSG00000040466,ENSG00000090013
ENSMUSG00000038506,ENSG00000150401
ENSMUSG00000040918,ENSG00000117479
ENSMUSG00000010067,ENSG00000068028
ENSMUSG00000002319,ENSG00000196497
ENSMUSG00000025006,ENSG00000095637
ENSMUSG00000018501,ENSG00000141027
ENSMUSG00000028467,ENSG00000070610
ENSMUSG00000063362,ENSG00000253710
ENSMUSG00000025507,ENSG00000177595
ENSMUSG00000058298,ENSG00000111877
ENSMUSG00000032185,ENSG00000142453
ENSMUSG00000074361,ENSG00000134830
ENSMUSG00000005233,ENSG00000152253
ENSMUSG00000020564,ENSG00000146776
ENSMUSG00000072494,ENSG00000235194
ENSMUSG00000046731,ENSG00000213859
ENSMUSG00000019905,ENSG00000173612
ENSMUSG00000059447,ENSG00000138029
ENSMUSG00000028476,ENSG00000122707
ENSMUSG00000017774,ENSG00000197879
ENSMUSG00000045826,ENSG00000213402
ENSMUSG00000042699,ENSG00000135829
ENSMUSG00000030870,ENSG00000103353
ENSMUSG00000027180,ENSG00000110429
ENSMUSG00000021482,ENSG00000158122
ENSMUSG00000022791,ENSG00000061938
ENSMUSG00000028973,ENSG00000197150
ENSMUSG00000026193,ENSG00000115414
ENSMUSG00000066196,ENSG00000137098
ENSMUSG00000053877,ENSG00000080603
ENSMUSG00000019312,ENSG00000141738
ENSMUSG00000035202,ENSG00000011376
ENSMUSG00000030536,ENSG00000140575
ENSMUSG00000034675,ENSG00000113758
ENSMUSG00000055322,ENSG00000079308
ENSMUSG00000009216,ENSG00000196990
ENSMUSG00000069833,ENSG00000124942
ENSMUSG00000026203,ENSG00000135924
ENSMUSG00000024603,ENSG00000132912
ENSMUSG00000022443,ENSG00000100345
ENSMUSG00000007817,ENSG00000108175
ENSMUSG00000021572,ENSG00000112877
ENSMUSG00000118661,ENSG00000184956
ENSMUSG00000002289,ENSG00000167772
ENSMUSG00000024299,ENSG00000142303
ENSMUSG00000038855,ENSG00000143772
ENSMUSG00000022623,ENSG00000251322
ENSMUSG00000020661,ENSG00000119772
ENSMUSG00000018001,ENSG00000008256
ENSMUSG00000021557,ENSG00000135049
ENSMUSG00000030527,ENSG00000140577
ENSMUSG00000066687,ENSG00000109906
ENSMUSG00000029381,ENSG00000138771
ENSMUSG00000026822,ENSG00000148346
ENSMUSG00000031586,ENSG00000157110
ENSMUSG00000029203,ENSG00000078140
ENSMUSG00000047557,ENSG00000079257
ENSMUSG00000038260,ENSG00000130529
ENSMUSG00000038895,ENSG00000161914
ENSMUSG00000029675,ENSG00000049540
ENSMUSG00000057738,ENSG00000197694
ENSMUSG00000068922,ENSG00000125459
ENSMUSG00000070942,ENSG00000115598
ENSMUSG00000021559,ENSG00000196730
ENSMUSG00000009585,ENSG00000100298
ENSMUSG00000037974,ENSG00000215182
ENSMUSG00000057110,ENSG00000119397
ENSMUSG00000024392,ENSG00000204463
ENSMUSG00000022677,ENSG00000133393
ENSMUSG00000057751,ENSG00000162591
ENSMUSG00000039219,ENSG00000054267
ENSMUSG00000038736,ENSG00000120526
ENSMUSG00000061665,ENSG00000198087
ENSMUSG00000027253,ENSG00000134569
ENSMUSG00000059981,ENSG00000149930
ENSMUSG00000020454,ENSG00000184708
ENSMUSG00000037846,ENSG00000182010
ENSMUSG00000032548,ENSG00000174640
ENSMUSG00000001555,ENSG00000141756
ENSMUSG00000038534,ENSG00000006025
ENSMUSG00000033444,ENSG00000100014
ENSMUSG00000032855,ENSG00000008710
ENSMUSG00000029032,ENSG00000130762
ENSMUSG00000052512,ENSG00000166833
ENSMUSG00000055235,ENSG00000187260
ENSMUSG00000024241,ENSG00000115904
ENSMUSG00000020827,ENSG00000141503
ENSMUSG00000029231,ENSG00000134853
ENSMUSG00000074476,ENSG00000161888
ENSMUSG00000035673,ENSG00000064932
ENSMUSG00000047368,ENSG00000107362
ENSMUSG00000035877,ENSG00000174306
ENSMUSG00000042079,ENSG00000169813
ENSMUSG00000032216,ENSG00000069869
ENSMUSG00000027239,ENSG00000110492
ENSMUSG00000031375,ENSG00000182492
ENSMUSG00000055489,ENSG00000171714
ENSMUSG00000039713,ENSG00000171680
ENSMUSG00000074899,ENSG00000137877
ENSMUSG00000046828,ENSG00000250878
ENSMUSG00000058145,ENSG00000140470
ENSMUSG00000045983,ENSG00000114867
ENSMUSG00000019558,ENSG00000130821
ENSMUSG00000075254,ENSG00000173706
ENSMUSG00000028076,ENSG00000158473
ENSMUSG00000039683,ENSG00000146555
ENSMUSG00000000131,ENSG00000169180
ENSMUSG00000038860,ENSG00000136895
ENSMUSG00000015968,ENSG00000157388
ENSMUSG00000027210,ENSG00000134138
ENSMUSG00000004040,ENSG00000168610
ENSMUSG00000000957,ENSG00000157227
ENSMUSG00000002020,ENSG00000119681
ENSMUSG00000028059,ENSG00000116584
ENSMUSG00000034801,ENSG00000100485
ENSMUSG00000042436,ENSG00000166482
ENSMUSG00000030067,ENSG00000114861
ENSMUSG00000064030,ENSG00000170473
ENSMUSG00000039323,ENSG00000115457
ENSMUSG00000004328,ENSG00000124440
ENSMUSG00000048100,ENSG00000197780
ENSMUSG00000036040,ENSG00000197859
ENSMUSG00000037287,ENSG00000154114
ENSMUSG00000020886,ENSG00000132535
ENSMUSG00000024866,ENSG00000132744
ENSMUSG00000052229,ENSG00000144230
ENSMUSG00000027378,ENSG00000144061
ENSMUSG00000003123,ENSG00000079435
ENSMUSG00000045193,ENSG00000099622
ENSMUSG00000069045,ENSG00000067048
ENSMUSG00000032609,ENSG00000185909
ENSMUSG00000029484,ENSG00000138772
ENSMUSG00000118346,ENSG00000185475
ENSMUSG00000062609,ENSG00000157551
ENSMUSG00000072949,ENSG00000184227
ENSMUSG00000030846,ENSG00000151923
ENSMUSG00000049804,ENSG00000196440
ENSMUSG00000058297,ENSG00000107742
ENSMUSG00000001552,ENSG00000173801
ENSMUSG00000006024,ENSG00000105402
ENSMUSG00000021719,ENSG00000186479
ENSMUSG00000038872,ENSG00000140836
ENSMUSG00000033808,ENSG00000103978
ENSMUSG00000042626,ENSG00000160691
ENSMUSG00000074738,ENSG00000228594
ENSMUSG00000047409,ENSG00000144677
ENSMUSG00000021388,ENSG00000106819
ENSMUSG00000019432,ENSG00000198563
ENSMUSG00000074405,ENSG00000261221
ENSMUSG00000000568,ENSG00000138668
ENSMUSG00000005493,ENSG00000057468
ENSMUSG00000030795,ENSG00000089280
ENSMUSG00000032878,ENSG00000055813
ENSMUSG00000056598,ENSG00000171962
ENSMUSG00000034243,ENSG00000173230
ENSMUSG00000022536,ENSG00000140632
ENSMUSG00000035948,ENSG00000111058
ENSMUSG00000030790,ENSG00000148926
ENSMUSG00000001482,ENSG00000140995
ENSMUSG00000024900,ENSG00000110090
ENSMUSG00000029385,ENSG00000138764
ENSMUSG00000028788,ENSG00000184007
ENSMUSG00000020053,ENSG00000017427
ENSMUSG00000055254,ENSG00000148053
ENSMUSG00000026014,ENSG00000173166
ENSMUSG00000025702,ENSG00000165406
ENSMUSG00000022708,ENSG00000181722
ENSMUSG00000021830,ENSG00000087301
ENSMUSG00000026479,ENSG00000058085
ENSMUSG00000038520,ENSG00000104946
ENSMUSG00000053477,ENSG00000196628
ENSMUSG00000031949,ENSG00000065457
ENSMUSG00000024456,ENSG00000131504
ENSMUSG00000075012,ENSG00000179431
ENSMUSG00000044033,ENSG00000163492
ENSMUSG00000054252,ENSG00000068078
ENSMUSG00000051351,ENSG00000125945
ENSMUSG00000055493,ENSG00000112425
ENSMUSG00000027692,ENSG00000154310
ENSMUSG00000028107,ENSG00000143374
ENSMUSG00000038393,ENSG00000265972
ENSMUSG00000029513,ENSG00000111725
ENSMUSG00000024713,ENSG00000099139
ENSMUSG00000052921,ENSG00000198844
ENSMUSG00000020653,ENSG00000172059
ENSMUSG00000030811,ENSG00000099364
ENSMUSG00000046743,ENSG00000196159
ENSMUSG00000001016,ENSG00000143621
ENSMUSG00000045667,ENSG00000188176
ENSMUSG00000022951,ENSG00000159200
ENSMUSG00000038252,ENSG00000010292
ENSMUSG00000029093,ENSG00000184985
ENSMUSG00000058586,ENSG00000183569
ENSMUSG00000028698,ENSG00000117461
ENSMUSG00000042834,ENSG00000134986
ENSMUSG00000028403,ENSG00000175893
ENSMUSG00000030978,ENSG00000167325
ENSMUSG00000034674,ENSG00000139372
ENSMUSG00000020709,ENSG00000184060
ENSMUSG00000018263,ENSG00000089225
ENSMUSG00000050556,ENSG00000158445
ENSMUSG00000020646,ENSG00000143797
ENSMUSG00000021891,ENSG00000206562
ENSMUSG00000021795,ENSG00000133661
ENSMUSG00000090115,ENSG00000164663
ENSMUSG00000038143,ENSG00000173320
ENSMUSG00000015568,ENSG00000175445
ENSMUSG00000021495,ENSG00000146067
ENSMUSG00000067158,ENSG00000081052
ENSMUSG00000074457,ENSG00000188643
ENSMUSG00000015647,ENSG00000130702
ENSMUSG00000046876,ENSG00000124788
ENSMUSG00000051331,ENSG00000151067
ENSMUSG00000036644,ENSG00000197226
ENSMUSG00000044338,ENSG00000134817
ENSMUSG00000031502,ENSG00000187498
ENSMUSG00000022788,ENSG00000139132
ENSMUSG00000027291,ENSG00000166887
ENSMUSG00000036395,ENSG00000149328
ENSMUSG00000034158,ENSG00000163428
ENSMUSG00000003378,ENSG00000105737
ENSMUSG00000053846,ENSG00000101670
ENSMUSG00000079105,ENSG00000112936
ENSMUSG00000031955,ENSG00000050820
ENSMUSG00000065954,ENSG00000147526
ENSMUSG00000052557,ENSG00000261609
ENSMUSG00000023039,ENSG00000135480
ENSMUSG00000056870,ENSG00000144366
ENSMUSG00000055013,ENSG00000157985
ENSMUSG00000038156,ENSG00000262655
ENSMUSG00000032285,ENSG00000140403
ENSMUSG00000031696,ENSG00000069329
ENSMUSG00000018932,ENSG00000034152
ENSMUSG00000027035,ENSG00000172292
ENSMUSG00000036452,ENSG00000145819
ENSMUSG00000027187,ENSG00000121691
ENSMUSG00000020484,ENSG00000100219
ENSMUSG00000030921,ENSG00000132256
ENSMUSG00000037286,ENSG00000118007
ENSMUSG00000050315,ENSG00000172403
ENSMUSG00000024019,ENSG00000137200
ENSMUSG00000029071,ENSG00000107404
ENSMUSG00000018796,ENSG00000151726
ENSMUSG00000052974,ENSG00000197446
ENSMUSG00000032264,ENSG00000086827
ENSMUSG00000040713,ENSG00000143162
ENSMUSG00000001962,ENSG00000071859
ENSMUSG00000020706,ENSG00000108592
ENSMUSG00000021595,ENSG00000037474
ENSMUSG00000036622,ENSG00000159363
ENSMUSG00000028608,ENSG00000162384
ENSMUSG00000019843,ENSG00000010810
ENSMUSG00000024646,ENSG00000166347
ENSMUSG00000024653,ENSG00000149021
ENSMUSG00000024232,ENSG00000095739
ENSMUSG00000034422,ENSG00000173193
ENSMUSG00000036908,ENSG00000110057
ENSMUSG00000044340,ENSG00000081913
ENSMUSG00000022663,ENSG00000144848
ENSMUSG00000004771,ENSG00000103769
ENSMUSG00000056999,ENSG00000119912
ENSMUSG00000031232,ENSG00000102158
ENSMUSG00000034563,ENSG00000260916
ENSMUSG00000027315,ENSG00000166145
ENSMUSG00000015839,ENSG00000116044
ENSMUSG00000008035,ENSG00000165175
ENSMUSG00000023832,ENSG00000120437
ENSMUSG00000024165,ENSG00000206053
ENSMUSG00000044468,ENSG00000183508
ENSMUSG00000022125,ENSG00000102805
