Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Hba-a1,ENSG00000206172,ortholog_many2many,86.6197,92.2535
Hba-a1,ENSG00000188536,ortholog_many2many,86.6197,92.2535
H3f3c,not found,,,
H2ac19,not found,,,
Timp1,ENSG00000102265,ortholog_one2one,71.9807,85.9903
H2bc14,ENSG00000158373,ortholog_one2one,100,100
Apoc3,ENSG00000110245,ortholog_one2one,61.6162,74.7475
Snrpe,ENSG00000182004,ortholog_one2one,100,100
Hmgn2,not found,,,
Ngp,not found,,,
Hist4h4,ENSG00000278705,ortholog_one2many,100,100
Hist1h1a,ENSG00000124610,ortholog_one2one,78.6047,86.9767
Retnlg,ENSG00000163515,ortholog_one2many,54.0541,75.6757
S100a9,ENSG00000163220,ortholog_one2many,57.8947,72.807
H1f2,ENSG00000187837,ortholog_one2one,88.2629,89.6714
Inhba,ENSG00000122641,ortholog_one2one,96.0094,97.8873
Olfm4,ENSG00000102837,ortholog_one2one,70.1961,80.5882
H2bc22,not found,,,
Hbb-b1,not found,,,
Nucks1,ENSG00000069275,ortholog_one2one,92.1811,93.8272
Apoa2,ENSG00000158874,ortholog_one2one,63,80
Coro7,ENSG00000262246,ortholog_one2one,86.2703,91.3513
S100a8,ENSG00000143546,ortholog_one2one,55.914,79.5699
Camp,ENSG00000164047,ortholog_one2one,55.8824,68.2353
H1f4,ENSG00000168298,ortholog_one2one,94.0639,95.4338
Ltf,ENSG00000012223,ortholog_one2one,70.5634,82.5352
Apoa1,ENSG00000118137,ortholog_one2one,65.1685,80.5243
Marcksl1,ENSG00000175130,ortholog_one2one,96.4103,97.9487
Fermt3,ENSG00000149781,ortholog_one2one,93.9668,96.5309
Set,ENSG00000230667,ortholog_one2one,88.6986,91.7808
Olfml2b,ENSG00000162745,ortholog_one2one,83.4667,87.7333
Itih4,ENSG00000055955,ortholog_one2one,65.2688,77.2043
Elane,ENSG00000197561,ortholog_one2one,71.9101,81.2734
Hist1h2ae,ENSG00000278463,ortholog_one2many,100,100
Arhgdib,ENSG00000111348,ortholog_one2one,87.0647,93.5323
Tpd52,ENSG00000076554,ortholog_one2one,84.5411,89.372
Pla2g7,ENSG00000146070,ortholog_one2one,67.5737,80.0453
Hmgb2,ENSG00000164104,ortholog_one2one,97.1292,99.5215
Pzp,not found,,,
Sell,ENSG00000188404,ortholog_one2one,74.1936,83.0645
Hcls1,ENSG00000180353,ortholog_one2one,84.1564,89.3004
Cd177,ENSG00000204936,ortholog_one2one,52.6316,66.8192
Coro1a,ENSG00000102879,ortholog_one2one,94.577,97.397
Mpo,ENSG00000005381,ortholog_one2one,83.2215,88.5906
Lta4h,ENSG00000111144,ortholog_one2one,92.7987,97.3813
Tmsb4x,not found,,,
Isg15,ENSG00000187608,ortholog_one2one,62.4242,74.5455
Fcna,not found,,,
Sema4d,ENSG00000187764,ortholog_one2one,85.2668,91.8793
Arpc3,ENSG00000111229,ortholog_one2one,97.7528,100
Lmnb1,ENSG00000113368,ortholog_one2one,96.2457,97.9522
Hnrnpab,ENSG00000197451,ortholog_one2one,92.1687,94.8795
Vim,ENSG00000026025,ortholog_one2one,97.4249,98.927
Thbs1,ENSG00000137801,ortholog_one2one,94.7009,97.8633
Cd14,ENSG00000170458,ortholog_one2one,65.3333,76
Lsp1,ENSG00000130592,ortholog_one2one,65.4867,73.1563
