gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Luo_36514862_SNPS	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Tsotakos_35947545_up	Wang_35790551_circRNA	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors
IGKC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	1.2861523745724943	0.0	1.1667528412002794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7421473914657604	PROTEOMIC: Ahmed_37839510, TRANSCRIPTOMICS: Bharracharya_22723293, PROTEOMICS: Zasada_31445514
NBL1	0.0	0.0	0.0	0.0	0.0	1.6396587796484452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.076053813860888	0.0	2.715712593509333	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
RASGRP3	0.0	0.0	0.0	0.0	1.165680121655135	1.4776958750325349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1324909983989673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0791161902517639	0.0	0.0	2.610186873431502	TRANSCRIPTOMICS: Gong_32412065, GENOMICS: Torgerson_30113228
IGHG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	1.2861524745724944	1.2844074340646092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5753946502654808	PROTEOMIC: Ahmed_37839510, PROTEOMICS: Zasada_31445514
TTR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	0.0	1.2854719972644542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5747141729574405	PROTEOMIC: Ahmed_37839510, PROTEOMICS: Zasada_31445514_day36GA
RIMBP2	0.0	0.0	0.0	0.0	0.0	1.4300931493249924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07605637212843	0.0	2.5061495214534224	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28
CD44	1.2015918441668483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2907948132636788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.492386657430527	GENOMICS: Ambalavanan_25449221, PROTEOMICS: Zasada_31445514_day36GA
IGHA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2892421756929864	0.0	0.0	1.1667531312002795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.455995306893266	PROTEOMIC: Ahmed_37839510, TRANSCRIPTOMICS: Bharracharya_22723293
S100A11	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454922297348121	PROTEOMIC: Ahmed_37839510, GENOMICS: Li_26030808
PHGDH	0.0	0.0	0.0	0.0	1.165680121655135	0.0	0.0	1.2892421756929864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454922297348121	PROTEOMIC: Ahmed_37839510, GENOMICS: Li_26030808
