Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Ccl2,not found,,,
Btg1,ENSG00000133639,ortholog_one2one,100,100
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
Cebpb,ENSG00000172216,ortholog_one2one,70.7246,74.7826
Cycs,ENSG00000172115,ortholog_one2many,91.4286,94.2857
Atf3,ENSG00000162772,ortholog_one2one,95.0276,98.895
Admr,ENSG00000166856,ortholog_one2one,71.5347,81.1881
Arg2,ENSG00000081181,ortholog_one2one,84.7458,91.8079
Bhlhb2,ENSG00000134107,ortholog_one2one,90.2913,92.9612
Aqp1,ENSG00000240583,ortholog_one2one,94.052,95.539
Gbp2,ENSG00000162645,ortholog_one2many,70.7276,82.9103
Dnaja1,ENSG00000086061,ortholog_one2one,99.4962,100
Gclc,ENSG00000001084,ortholog_one2one,94.1915,97.0173
Gch1,ENSG00000131979,ortholog_one2one,86,90.4
Eif2s1,ENSG00000134001,ortholog_one2one,99.0476,99.6825
Egfr,ENSG00000146648,ortholog_one2one,90.4959,95.0413
Gja1,ENSG00000152661,ortholog_one2one,97.3822,99.4764
Hspa8,ENSG00000109971,ortholog_one2one,99.8452,100
Plaur,ENSG00000011422,ortholog_one2one,61.194,72.2388
F3,ENSG00000117525,ortholog_one2one,53.2203,65.0847
Il1b,ENSG00000125538,ortholog_one2one,67.658,78.8104
Il6,ENSG00000136244,ortholog_one2one,41.5094,62.7358
Lgals3,ENSG00000131981,ortholog_one2one,81.2,87.6
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
Ifrd1,ENSG00000006652,ortholog_one2one,94.0133,96.8958
Il1r2,ENSG00000115590,ortholog_one2one,61.0553,72.8643
Gadd45,error - retries exceeded,,,
Ptgs2,ENSG00000073756,ortholog_one2one,86.755,93.2119
Serpine1,ENSG00000106366,ortholog_one2one,78.607,88.5572
Ccl7,ENSG00000108688,ortholog_one2one,61.6162,71.7172
Tcf21,ENSG00000118526,ortholog_one2one,96.0894,98.324
Plcg2,ENSG00000197943,ortholog_one2one,94.1502,97.1542
S100a9,ENSG00000163220,ortholog_one2many,57.8947,72.807
Ifi1,ENSG00000237693,ortholog_one2many,55.2486,72.9282
Lcn2,ENSG00000148346,ortholog_one2one,57.5758,73.7374
Timp1,ENSG00000102265,ortholog_one2one,71.9807,85.9903
Irf7,ENSG00000185507,ortholog_one2one,61.0338,67.7932
Saa3,not found,,,
Isg15,ENSG00000187608,ortholog_one2one,62.4242,74.5455
Stat1,ENSG00000115415,ortholog_one2one,93.4667,96.2667
Ifit1,ENSG00000204010,ortholog_one2many,57.384,73.6287
