Mouse Genes,Human Ortholog Symbol,Identity
H2afv,ENSG00000105968,100.0
Zfp706,ENSG00000120963,100.0
Polr2h,ENSG00000163882,100.0
Ncs1,ENSG00000107130,100.0
Ppp4c,ENSG00000149923,100.0
Rap1a,ENSG00000116473,100.0
Psma5,ENSG00000143106,100.0
Rpl8,ENSG00000161016,100.0
Nutf2-ps1,ENSG00000102898,100.0
Rab10,ENSG00000084733,100.0
Ap3s1,ENSG00000177879,100.0
Dynll2,ENSG00000264364,100.0
Usp46,ENSG00000109189,100.0
Calm2,ENSG00000160014,100.0
Rbx1,ENSG00000100387,100.0
Sumo1,ENSG00000116030,100.0
Lin7c,ENSG00000148943,100.0
Ilf2,ENSG00000143621,100.0
Wdr82,ENSG00000164091,100.0
Lsm6,ENSG00000164167,100.0
Rpl36,ENSG00000130255,100.0
Arf5,ENSG00000004059,100.0
Twist2,ENSG00000233608,100.0
Lmo4,ENSG00000143013,100.0
Rps18,ENSG00000231500,100.0
Smad3,ENSG00000166949,100.0
Ube2i,ENSG00000103275,100.0
Rpl23,ENSG00000125691,100.0
Wdr83os,ENSG00000105583,100.0
Tmem258,ENSG00000134825,100.0
Acta1,ENSG00000143632,100.0
Dynll1,ENSG00000088986,100.0
Enho,ENSG00000168913,100.0
Psme3,ENSG00000131467,100.0
Rpl26,ENSG00000161970,100.0
Gng2,ENSG00000186469,100.0
Rab35,ENSG00000111737,100.0
Etf1,ENSG00000120705,100.0
Erh,ENSG00000100632,100.0
Elof1,ENSG00000130165,100.0
Gnb1,ENSG00000078369,100.0
Plp1,ENSG00000123560,100.0
Rap1b,ENSG00000127314,100.0
Snx3,ENSG00000112335,100.0
Ap2m1,ENSG00000161203,100.0
Tubb5,ENSG00000196230,100.0
Ppp3r1,ENSG00000221823,100.0
Romo1,ENSG00000125995,100.0
Ppp2cb,ENSG00000104695,100.0
Prps1,ENSG00000147224,100.0
Ube2n,ENSG00000177889,100.0
Zc4h2,ENSG00000126970,100.0
Actr1a,ENSG00000138107,100.0
Zmat2,ENSG00000146007,100.0
Psmc1,ENSG00000100764,100.0
Arl8b,ENSG00000134108,100.0
Eed,ENSG00000074266,100.0
Ube2a,ENSG00000077721,100.0
Cdc42,ENSG00000070831,100.0
Rab5b,ENSG00000111540,100.0
Arl5b,ENSG00000165997,100.0
Hnrnpa3,ENSG00000170144,100.0
Snrpn,ENSG00000128739,100.0
Timm10,ENSG00000134809,100.0
Esrrg,ENSG00000196482,100.0
Snrpd3,ENSG00000100028,100.0
Ube2g2,ENSG00000184787,100.0
Tspan5,ENSG00000168785,100.0
Rnd3,ENSG00000115963,100.0
Ywhae,ENSG00000108953,100.0
Psmd14,ENSG00000115233,100.0
Ost4,ENSG00000228474,100.0
Ran,ENSG00000132341,100.0
Dcaf7,ENSG00000136485,100.0
Srsf2,ENSG00000161547,100.0
Polr2j,ENSG00000005075,100.0
Polr2i,ENSG00000105258,100.0
Fam78b,ENSG00000188859,100.0
Ube2h,ENSG00000186591,100.0
Rps4x,ENSG00000198034,100.0
Rps23,ENSG00000186468,100.0
Ube2k,ENSG00000078140,100.0
Sec61a1,ENSG00000058262,100.0
Ube2d2a,ENSG00000131508,100.0
Sf3b6,ENSG00000115128,100.0
B3galt1,ENSG00000172318,100.0
Serp2,ENSG00000151778,100.0
Pbx1,ENSG00000185630,100.0
Fam168a,ENSG00000054965,100.0
Rps25,ENSG00000118181,100.0
Hras,ENSG00000174775,100.0
Arf6,ENSG00000165527,100.0
Rps20,ENSG00000008988,100.0
Ufm1,ENSG00000120686,100.0
Ptp4a1,ENSG00000112245,100.0
Rhob,ENSG00000143878,100.0
Zmynd19,ENSG00000165724,100.0
Tuba1b,ENSG00000123416,100.0
Rbm8a,ENSG00000265241,100.0
Abce1,ENSG00000164163,100.0
Rps11,ENSG00000142534,100.0
Rps29,ENSG00000213741,100.0
Anapc16,ENSG00000166295,100.0
Cnih1,ENSG00000100528,100.0
Srsf3,ENSG00000112081,100.0
Tubb2a,ENSG00000137267,100.0
Actc1,ENSG00000159251,100.0
Ap2s1,ENSG00000042753,100.0
Arpc4,ENSG00000241553,100.0
Eif5a,ENSG00000132507,100.0
Ptp4a2,ENSG00000184007,100.0
Eny2,ENSG00000120533,100.0
Srsf10,ENSG00000188529,100.0
Sppl3,ENSG00000157837,100.0
BC005537,ENSG00000112308,100.0
Lsm12,ENSG00000161654,100.0
Wdr5,ENSG00000196363,100.0
Pcbp1,ENSG00000169564,100.0
Vcp,ENSG00000165280,100.0
Rab30,ENSG00000137502,100.0
Rps9,ENSG00000170889,100.0
Polr2g,ENSG00000168002,100.0
Psmc6,ENSG00000100519,100.0
Ube2d1,ENSG00000072401,100.0
Actg1,ENSG00000184009,100.0
Actr2,ENSG00000138071,100.0
Tbpl1,ENSG00000028839,100.0
Eif4a1,ENSG00000161960,100.0
Cdc42se2,ENSG00000158985,100.0
Cdc73,ENSG00000134371,100.0
Cops2,ENSG00000166200,100.0
Nop10,ENSG00000182117,100.0
Vsnl1,ENSG00000163032,100.0
