gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors	
RCAN3	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.130632346	0	0	1.150365599	0	0	0	0	1.090980706	0	1.14260636	5.690426247	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
CD2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.136988493	1.093631799	0	0	0	0	0	0	1.08243772	0	1.124049697	5.612948946	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_down_day28	
RASGRP3	0	0	0	0	1.175841237	1.479540711	0	0	0	0	0	0	0	0	1.13275704	0	0	0	0	0	0	0	0	0	0	1.085695701	0	0	4.873834689	GENOMICS: Torgerson_30113228, TRANSCRIPTOMICS: Gong_32412065	
HBG1	0	0	0	0	0	0	0	0	1.243973566	1.253979165	0	0	0	1.114574431	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15093131	4.763458473	PROTEOMICS: Zasada_31445514_day36GA, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
RRM2	0	0	0	0	1.175841237	0	0	0	0	0	1.171318015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087298817	1.174505243	4.608963311	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14, GENOMICS: Li_26030808	
AK5	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	1.126210678	0	0	1.15377087	0	0	0	0	0	0	1.127447192	4.583269976	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
IL1R2	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	1.109126573	1.106833982	0	0	0	0	1.15490596	0	0	0	0	0	0	0	4.546707752	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
LRRN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	1.132014117	0	0	1.149746458	0	0	0	0	0	0	1.140095702	4.528690259	TRANSCRIPTOMICS: Pietrzyk_24194948_up_day5	
ASPM	0	0	0	0	1.175841237	0	0	0	0	0	1.171318135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087287837	1.087300427	0	4.521747635	TRANSCRIPTOMICS: Bharracharya_22723293, GENOMICS: Li_26030808	
TNFRSF8	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091489305	1.08729669	1.138496184	4.493123416	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
ALPL	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	1.114574481	0	0	0	0	0	0	0	0	0	0	0	1.093943847	1.087297011	0	4.471656576	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Fulton_30459472	
CD28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136712139	1.093632089	0	0	0	0	0	0	1.089661298	0	1.144570341	4.464575866	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
IGHG1	0	0	0	0	0	0	0	1.244419705	1.243973446	1.246752573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.735145724	PROTEOMICS: Zasada_31445514_day36GA	
IGKC	0	0	0	0	0	0	0	1.244419705	1.243973346	0	1.171318095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.659711146	PROTEOMICS: Ahmed_37839510, TRANSCRIPTOMICS: Bharracharya_22723293	
TGFA	0	1.359419467	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0845016	0	0	3.619762304	GENOMICS: Da_paepe_20718599, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LRG1	0	0	0	0	0	0	0	0	1.243973416	1.256388029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	0	0	3.60682225	PROTEOMICS: Zasada_31445514_day36GA, TRANSCRIPTOMICS: Windhorst_37090732	
LGALS3BP	0	0	0	0	0	0	0	0	1.243973516	1.273250077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.088391738	0	3.605615331	PROTEOMICS: Zasada_31445514_day36GA, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
PHACTR4	0	0	0	0	1.175841237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29960536	1.119737517	3.595184114	GENOMICS: Li_26030808, TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
