Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
BAX,FXYD5,not found
FXYD5,ZMAT3,ENSG00000172667
ZMAT3,P2RY14,ENSG00000174944
PQLC3,DUSP4,ENSG00000120875
DUSP4,PQLC3,ENSG00000162976
KIT,SRPX,ENSG00000101955
SRPX,APLNR,ENSG00000134817
CALCRL,EMR1,ENSG00000174837
TMEM2,KIT,ENSG00000157404
P2RY14,CALCRL,ENSG00000064989
APLNR,ADCY8,ENSG00000155897
CPT1C,GUCY1B3,ENSG00000061918
EMR1,CPT1C,ENSG00000169169
PALMD,BAX,ENSG00000087088
GUCY1B3,TMEM2,ENSG00000135048
ADCY8,ST8SIA4,ENSG00000113532
ST8SIA4,CHCHD10,ENSG00000250479
ANTXR2,ANTXR2,ENSG00000163297
FUCA2,GLIPR1,ENSG00000139278
CHCHD10,PALMD,ENSG00000099260
NCEH1,FUCA2,ENSG00000001036
ASNS,CCR1,ENSG00000163823
APRT,ASNS,ENSG00000070669
CCR1,CDKN2C,ENSG00000123080
GLIPR1,LIPH,ENSG00000163898
TNFSF10,VTN,ENSG00000109072
VTN,IGF2BP2,ENSG00000073792
AGT,APRT,ENSG00000198931
SLC19A2,TNFSF10,ENSG00000121858
LIPH,NCEH1,ENSG00000144959
CDKN2C,HIGD1B,ENSG00000131097
LIFR,LAMB3,ENSG00000196878
IGF2BP2,SLC19A2,ENSG00000117479
TNFAIP2,EYA2,ENSG00000064655
HIGD1B,THBD,ENSG00000178726
EYA2,BHLHE40,ENSG00000134107
LAMB3,CLSTN2,ENSG00000158258
EPHX1,CREG1,ENSG00000143162
CTSB,LIFR,ENSG00000113594
CLSTN2,RSPO2,ENSG00000147655
BHLHE40,PRICKLE2,ENSG00000163637
THBD,AGT,ENSG00000170430
CREG1,EPHA2,ENSG00000142627
PRICKLE2,AK1,ENSG00000106992
RSPO2,HPGD,ENSG00000164120
RGS9,EPHX1,ENSG00000143819
AK1,TNFAIP2,ENSG00000185215
EPHA2,MAFF,ENSG00000185022
MAFF,CTSB,ENSG00000164733
HPGD,RGS9,ENSG00000108370
GUCY1A3,GUCY1A3,ENSG00000164116
PLXDC1,C1QB,ENSG00000173369
GPR126,GPR126,ENSG00000112414
SLC6A3,MFAP2,ENSG00000117122
TBC1D2,SLC6A3,ENSG00000142319
MFAP2,PLXDC1,ENSG00000161381
SESN2,SESN2,ENSG00000130766
TPSAB1,COL5A3,ENSG00000080573
TPSB2,TBC1D2,ENSG00000095383
C1QB,PSRC1,ENSG00000134222
COL5A3,PDE5A,ENSG00000138735
PDE5A,IGF2BP3,ENSG00000136231
LITAF,TPSAB1,ENSG00000197253
IGF2BP3,TPSB2,ENSG00000197253
GALNTL1,LITAF,ENSG00000189067
SLC3A2,FAM124B,ENSG00000124019
FAM124B,CCL3,ENSG00000277632
PSRC1,GALNTL1,ENSG00000100626
CCL3,CDKN1A,ENSG00000124762
LDB2,SLC3A2,ENSG00000168003
FAM13C,MGMT,ENSG00000170430
CDKN1A,LDB2,ENSG00000169744
MGMT,HTATIP2,ENSG00000109854
TINAG,ENPP1,ENSG00000197594
ENPP1,ECM1,ENSG00000143369
INF2,A2M,ENSG00000175899
ARHGAP20,FAM13C,ENSG00000148541
A2M,TINAG,ENSG00000137251
HTATIP2,ARHGAP20,ENSG00000137727
ECM1,MSR1,ENSG00000038945
HSPA9,NMNAT2,ENSG00000157064
LGALS3BP,HOXB5,ENSG00000120075
NMNAT2,HSPA9,ENSG00000113013
MSR1,ENPEP,ENSG00000138792
PRSS35,LGALS3BP,ENSG00000108679
ENPEP,PRSS35,ENSG00000146250
HOXB5,COL24A1,not found
ZFYVE28,ASTN2,ENSG00000148219
ASTN2,STK4,ENSG00000101109
SAT1,INF2,ENSG00000203485
COL24A1,SEMA6A,ENSG00000092421
MAPT,MAPT,ENSG00000186868
SEMA6A,NPNT,ENSG00000168743
CD55,CD55,ENSG00000196352
NPNT,C1QTNF7,ENSG00000163145
STK4,IL17RD,ENSG00000144730
NTRK3,PLCB1,ENSG00000182621
IL17RD,ZFYVE28,ENSG00000159733
PLCB1,TEK,ENSG00000120156
C1QTNF7,NTRK3,ENSG00000140538
CDH3,LILRB4,ENSG00000187116
MCF2L,EPHB4,ENSG00000196411
TEK,COX6B2,ENSG00000160471
LILRB4,CD68,not found
EPHB4,CDH3,ENSG00000062038
PTGS1,MCF2L,ENSG00000126217
PHLDA3,PHLDA3,ENSG00000174307
COX6B2,TYROBP,ENSG00000011600
LPAR2,SCN3B,ENSG00000166257
JAM2,PTGS1,ENSG00000095303
CD68,LPAR2,ENSG00000064547
KIF1A,PDZD2,ENSG00000133401
SCN3B,KIF1A,ENSG00000130294
PDZD2,SAT1,ENSG00000145217
TYROBP,JAM2,ENSG00000154721
SHANK3,PLK3,ENSG00000173846
PLK3,PTPN5,ENSG00000110786
PTPN5,ZC3HAV1L,ENSG00000146858
SNX10,SOX17,ENSG00000164736
SOX17,TBC1D9,ENSG00000109436
ZC3HAV1L,SOX13,ENSG00000143842
SOX13,KIF26A,ENSG00000066735
TBC1D9,PGM5,ENSG00000154330
KIF26A,DCHS1,ENSG00000166341
DCHS1,ARRB1,ENSG00000137486
ANO1,SHANK3,ENSG00000251322
PGM5,SNN,ENSG00000184602
LDHB,PCSK5,ENSG00000099139
ARRB1,EDA2R,ENSG00000131080
PCSK5,SOX11,ENSG00000176887
PTPRN,LDHB,ENSG00000111716
ADSSL1,IGF2BP1,ENSG00000159217
SOX11,SNX10,ENSG00000086300
SNN,ADSSL1,ENSG00000185100
IGF2BP1,ANO1,ENSG00000131620
EDA2R,SCN7A,ENSG00000136546
HS6ST2,HS6ST2,ENSG00000171004
SGCG,SGCG,ENSG00000102683
CD2,PTPRN,ENSG00000054356
SCN7A,TUBB4,ENSG00000104833
MDM2,NR2F1,ENSG00000175745
TUBB4,MDM2,ENSG00000135679
CSTB,BEND7,ENSG00000165626
NR2F1,AHR,ENSG00000106546
ADAMTS8,DCTD,ENSG00000129187
FTH1,CSTB,ENSG00000160213
BEND7,FTH1,ENSG00000167996
DCTD,PDGFRB,ENSG00000113721
PDGFRB,RNF144A,ENSG00000151692
AHR,SLC11A1,ENSG00000018280
PRKCQ,PRKCQ,ENSG00000065675
RNF144A,ADAMTS8,ENSG00000134917
SLC11A1,CD2,ENSG00000118971
ERG,ERG,ENSG00000157554
PDGFC,FMO1,ENSG00000010932
GFPT2,PDGFC,ENSG00000145431
SCN1B,GFPT2,ENSG00000131459
SULF2,SCN1B,ENSG00000105711
FMO1,TMEFF1,ENSG00000241697
ECM2,HSD11B2,ENSG00000176387
SPON2,SULF2,ENSG00000196562
HSD11B2,MS4A7,ENSG00000166927
MS4A7,PDE7B,ENSG00000171408
TMEFF1,PRCP,ENSG00000137509
CLEC2D,TBXAS1,ENSG00000059377
TBXAS1,PDGFRA,ENSG00000134853
PDE7B,SPON2,ENSG00000159674
PRCP,CLEC2D,ENSG00000069493
RENBP,RENBP,ENSG00000102032
PDGFRA,TREM2,ENSG00000095970
CTSH,ECM2,ENSG00000152583
ETV1,CTSH,ENSG00000103811
ADAMTS5,ADAMTS5,ENSG00000154736
TREM2,KCNK3,ENSG00000171303
KCNK3,SEMA3C,ENSG00000075223
CHST8,HOXA5,ENSG00000106004
SEMA3C,ETV1,ENSG00000006468
SEMA3G,ATF3,ENSG00000162772
HOXA5,CHST8,ENSG00000124302
RGS3,PDLIM3,ENSG00000154553
PDLIM3,CTSD,ENSG00000117984
ATF3,SLC37A2,ENSG00000134955
CTSD,TMEM100,ENSG00000166292
SLC37A2,SEMA3G,ENSG00000010319
TMEM100,AMOT,ENSG00000126016
AMOT,RGS3,ENSG00000138835
AOX1,COX4I2,ENSG00000131055
COX4I2,CD80,ENSG00000121594
KCNQ5,AOX1,ENSG00000138356
BST1,CD28,ENSG00000178562
CD80,KCNQ5,ENSG00000185760
CD248,CD248,ENSG00000174807
CD28,BST1,ENSG00000109743
GDF15,RASGRP1,ENSG00000172575
RASGRP1,GDF15,ENSG00000130513
SCUBE1,CBFA2T3,ENSG00000129993
SORBS2,SORBS2,ENSG00000154556
ETS1,ETS1,ENSG00000134954
THSD1,SCUBE1,ENSG00000159307
CBFA2T3,THSD1,ENSG00000136114
ARL15,ARL15,ENSG00000185305
PTPRB,PLAUR,ENSG00000011422
CFB,FANCC,ENSG00000158169
TMEM43,TMEM43,ENSG00000170876
TTYH3,MX2,ENSG00000157601
FANCC,ATP1B2,ENSG00000129244
NCALD,NCALD,ENSG00000104490
MX2,TTYH3,ENSG00000136295
ATP1B2,CFB,ENSG00000243649
PLAUR,ADAMTS7,ENSG00000136378
ADAMTS7,MAP4K2,ENSG00000168067
MAP4K2,ACE,ENSG00000159640
ACE,EGFLAM,ENSG00000164318
EGFLAM,NOSTRIN,ENSG00000163072
NOSTRIN,EMID1,ENSG00000186998
ANKRD44,PTPRB,ENSG00000127329
SFXN1,GLP1R,ENSG00000112164
CASP4,SFXN1,ENSG00000164466
GLP1R,ANKRD44,ENSG00000065413
EMID1,LEPR,ENSG00000116678
LEPR,MARCO,ENSG00000019169
HS3ST1,CASP4,not found
MARCO,ELN,ENSG00000049540
ELN,HS3ST1,ENSG00000002587
ADHFE1,RPS27L,ENSG00000185088
FAM129A,CHAD,ENSG00000136457
MAT1A,A4GALT,ENSG00000128274
RPS27L,MAT1A,ENSG00000151224
CHAD,FAM129A,ENSG00000135842
A4GALT,CRLF1,ENSG00000006016
THBS2,RECK,ENSG00000122707
HOXA3,THBS2,ENSG00000186340
RECK,ADHFE1,ENSG00000147576
CRLF1,GPIHBP1,ENSG00000277494
HLF,HOXA3,ENSG00000105997
CHST2,LOXL4,ENSG00000138131
NRG1,SLC38A5,ENSG00000017483
LOXL4,HLF,ENSG00000108924
PCDH18,NRXN1,ENSG00000179915
GPIHBP1,CHST2,ENSG00000175040
SLC38A5,NRG1,ENSG00000157168
NRXN1,SLC36A2,ENSG00000186335
SLC36A2,TTC9,ENSG00000133985
TRIM36,ASPN,ENSG00000106819
SCNN1B,SCNN1B,ENSG00000168447
TTC9,PCDH18,ENSG00000189184
ASPN,CAMK4,ENSG00000152495
CCNG1,CCNG1,ENSG00000113328
STEAP4,STEAP4,ENSG00000127954
CAMK4,TRIM36,ENSG00000152503
SPECC1L,PRRT2,ENSG00000167371
PRRT2,SPECC1L,ENSG00000100014
ANGPTL2,ANGPTL2,ENSG00000136859
GPR64,GPR64,ENSG00000173698
CLEC1A,CLEC1A,ENSG00000150048
GCOM1,GCOM1,ENSG00000263155
PCOLCE2,HSPB8,ENSG00000152137
EG:26577,PCOLCE2,ENSG00000163710
SMARCA2,SMARCA2,ENSG00000080503
HSPB8,DAB1,ENSG00000173406
DAB1,PMAIP1,ENSG00000141682
ATP1A2,ATP1A2,ENSG00000018625
APC2,NTN3,ENSG00000162068
NTN3,HAVCR1,ENSG00000113249
KCNQ4,ICAM1,ENSG00000090339
SH3PXD2A,SH3PXD2A,ENSG00000107957
GRIA1,A2LD1,ENSG00000134864
PMAIP1,APC2,ENSG00000115266
