Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Lcp1,ENSG00000136167,ortholog_one2one,96.9697,99.2026
Serpina3n,ENSG00000196136,ortholog_one2many,60.9929,76.3593
Serpina1b,ENSG00000197249,ortholog_one2many,64.3541,81.5789
Serpina6,ENSG00000170099,ortholog_one2one,58.0247,73.3333
Hpx,ENSG00000110169,ortholog_one2one,73.5931,82.9004
Serpinc1,ENSG00000117601,ortholog_one2one,87.5,92.0259
Pon1,ENSG00000005421,ortholog_one2one,82.2535,92.3944
Apoa4,ENSG00000110244,ortholog_one2one,59.596,77.7778
Fbln1,ENSG00000077942,ortholog_one2one,84.495,91.6074
Il1rap,ENSG00000196083,ortholog_one2one,75.9649,87.7193
Ctss,ENSG00000163131,ortholog_one2one,74.0181,86.4048
Apcs,ENSG00000132703,ortholog_one2one,68.6099,81.1659
Ighg2b,not found,,,
Cxcl15,not found,,,
Lpl,ENSG00000175445,ortholog_one2one,92.4211,95.1579
Hrg,ENSG00000113905,ortholog_one2one,61.3333,71.2381
Serpind1,ENSG00000099937,ortholog_one2one,81.5631,87.7756
Mup11,not found,,,
Ctsc,ENSG00000109861,ortholog_one2one,77.7538,86.6091
Npc2,ENSG00000119655,ortholog_one2one,79.4702,86.755
Chi3l1,ENSG00000133048,ortholog_one2one,72.0627,85.1175
Hc,ENSG00000106804,ortholog_one2many,77.8043,89.1408
Serpina1d,ENSG00000197249,ortholog_one2many,63.6364,80.3828
Ces1c,ENSG00000198848,ortholog_one2many,64.6127,78.8732
Fam3c,ENSG00000196937,ortholog_one2one,94.2731,97.7974
Qsox1,ENSG00000116260,ortholog_one2one,72.0214,80.4552
Chmp5,ENSG00000086065,ortholog_one2one,98.6301,99.0868
Txn1,ENSG00000136810,ortholog_one2one,87.619,93.3333
Hprt1,ENSG00000165704,ortholog_one2one,96.789,98.6239
Retnla,ENSG00000163515,ortholog_one2many,50.4505,72.0721
Hmgb1,not found,,,
Chia1,ENSG00000134216,ortholog_one2many,80.8824,89.916
Anp32a,ENSG00000139223,ortholog_one2many,84.7328,90.0763
Anp32a,ENSG00000140350,ortholog_one2many,88.3534,93.9759
AU021092,ENSG00000153446,ortholog_one2one,68.144,79.2244
Igkv4-86,not found,,,
