Mouse Genes,Human Ortholog Symbol
ENSMUSG00000034252,ENSG00000112701
ENSMUSG00000043015,ENSG00000189362
ENSMUSG00000015656,ENSG00000109971
ENSMUSG00000031174,ENSG00000156313
ENSMUSG00000059327,ENSG00000158813
ENSMUSG00000028184,ENSG00000117114
ENSMUSG00000026864,ENSG00000044574
ENSMUSG00000068614,ENSG00000159251
ENSMUSG00000061086,ENSG00000198336
ENSMUSG00000030616,ENSG00000137501
ENSMUSG00000019916,ENSG00000122884
ENSMUSG00000023944,ENSG00000096384
ENSMUSG00000056569,ENSG00000158887
ENSMUSG00000012640,not found
ENSMUSG00000042364,ENSG00000178996
ENSMUSG00000028410,ENSG00000086061
ENSMUSG00000024966,ENSG00000168439
ENSMUSG00000004221,ENSG00000269335
ENSMUSG00000039990,ENSG00000107938
ENSMUSG00000091898,ENSG00000114854
ENSMUSG00000020593,ENSG00000134324
ENSMUSG00000040584,ENSG00000085563
ENSMUSG00000021608,ENSG00000153395
ENSMUSG00000030357,ENSG00000004478
ENSMUSG00000033540,ENSG00000127415
ENSMUSG00000021023,ENSG00000100890
ENSMUSG00000031502,ENSG00000187498
ENSMUSG00000090877,ENSG00000204389
ENSMUSG00000029467,ENSG00000174437
ENSMUSG00000031167,ENSG00000102317
ENSMUSG00000068745,ENSG00000221986
ENSMUSG00000031740,ENSG00000087245
ENSMUSG00000058297,ENSG00000107742
ENSMUSG00000032575,ENSG00000145050
ENSMUSG00000032549,ENSG00000154917
ENSMUSG00000015312,ENSG00000099860
ENSMUSG00000020469,ENSG00000106631
ENSMUSG00000035504,not found
ENSMUSG00000005882,ENSG00000101019
ENSMUSG00000023272,ENSG00000184164
ENSMUSG00000019868,ENSG00000009844
ENSMUSG00000019961,ENSG00000120802
ENSMUSG00000021611,ENSG00000164362
ENSMUSG00000033543,ENSG00000140307
ENSMUSG00000032115,ENSG00000149428
ENSMUSG00000021270,ENSG00000080824
ENSMUSG00000014226,ENSG00000116161
ENSMUSG00000039137,ENSG00000095397
ENSMUSG00000048330,ENSG00000166405
ENSMUSG00000044338,ENSG00000134817
ENSMUSG00000026121,ENSG00000168758
ENSMUSG00000029657,ENSG00000120694
ENSMUSG00000022537,ENSG00000145014
ENSMUSG00000024588,ENSG00000066926
ENSMUSG00000025980,ENSG00000144381
ENSMUSG00000007850,ENSG00000169045
ENSMUSG00000058835,ENSG00000136754
ENSMUSG00000039298,ENSG00000136861
ENSMUSG00000029484,ENSG00000138772
ENSMUSG00000026414,ENSG00000118194
ENSMUSG00000018819,ENSG00000130592
ENSMUSG00000070436,ENSG00000149257
ENSMUSG00000020653,ENSG00000172059
ENSMUSG00000095325,ENSG00000223547
ENSMUSG00000031480,ENSG00000136114
ENSMUSG00000061780,ENSG00000197766
ENSMUSG00000024027,ENSG00000112164
ENSMUSG00000024766,not found
ENSMUSG00000026390,ENSG00000019169
ENSMUSG00000026288,ENSG00000168918
ENSMUSG00000035686,ENSG00000151365
ENSMUSG00000026880,ENSG00000148175
ENSMUSG00000035458,ENSG00000129991
ENSMUSG00000052698,ENSG00000171914
ENSMUSG00000044475,ENSG00000138303
ENSMUSG00000027692,ENSG00000154310
ENSMUSG00000016763,ENSG00000159307
ENSMUSG00000055639,ENSG00000276644
ENSMUSG00000020453,ENSG00000100105
ENSMUSG00000068566,ENSG00000179820
ENSMUSG00000027875,ENSG00000134240
ENSMUSG00000061455,ENSG00000136874
ENSMUSG00000070867,ENSG00000269113
ENSMUSG00000025784,ENSG00000163815
ENSMUSG00000028773,ENSG00000121769
ENSMUSG00000040752,ENSG00000197616
ENSMUSG00000021843,ENSG00000126777
ENSMUSG00000075012,ENSG00000179431
ENSMUSG00000073879,not found
ENSMUSG00000059878,ENSG00000165512
ENSMUSG00000031918,ENSG00000087053
ENSMUSG00000027652,ENSG00000170471
ENSMUSG00000006127,ENSG00000132376
ENSMUSG00000033910,ENSG00000164116
ENSMUSG00000104346,ENSG00000254245
ENSMUSG00000029231,ENSG00000134853
ENSMUSG00000040731,ENSG00000106682
ENSMUSG00000033327,ENSG00000168477
ENSMUSG00000025533,ENSG00000126522
ENSMUSG00000030513,ENSG00000140479
ENSMUSG00000008136,ENSG00000115641
ENSMUSG00000015994,ENSG00000168522
ENSMUSG00000039167,ENSG00000162618
ENSMUSG00000062203,ENSG00000103342
ENSMUSG00000028544,ENSG00000117834
ENSMUSG00000009013,ENSG00000088986
ENSMUSG00000035948,ENSG00000111058
ENSMUSG00000037364,ENSG00000087087
ENSMUSG00000057335,ENSG00000143702
ENSMUSG00000028128,ENSG00000117525
ENSMUSG00000089774,ENSG00000198743
ENSMUSG00000030516,ENSG00000104067
ENSMUSG00000059743,ENSG00000160752
ENSMUSG00000066361,ENSG00000196136
ENSMUSG00000045672,ENSG00000196739
ENSMUSG00000027955,ENSG00000164125
ENSMUSG00000025150,not found
ENSMUSG00000031109,ENSG00000165675
ENSMUSG00000069895,ENSG00000224470
ENSMUSG00000054611,ENSG00000173120
ENSMUSG00000033590,ENSG00000128833
ENSMUSG00000039934,ENSG00000186088
ENSMUSG00000019578,ENSG00000167671
ENSMUSG00000026193,ENSG00000115414
ENSMUSG00000072946,ENSG00000140043
ENSMUSG00000051351,ENSG00000125945
ENSMUSG00000049422,ENSG00000250479
ENSMUSG00000028901,ENSG00000162419
ENSMUSG00000047554,ENSG00000166471
ENSMUSG00000014602,ENSG00000130294
ENSMUSG00000027710,ENSG00000177646
ENSMUSG00000038039,ENSG00000135968
ENSMUSG00000029482,ENSG00000081760
ENSMUSG00000061186,ENSG00000198879
ENSMUSG00000091971,ENSG00000204389
ENSMUSG00000034201,ENSG00000185340
ENSMUSG00000024900,ENSG00000110090
ENSMUSG00000040498,ENSG00000216588
ENSMUSG00000045193,ENSG00000099622
ENSMUSG00000030785,ENSG00000156885
ENSMUSG00000038393,ENSG00000265972
ENSMUSG00000040054,ENSG00000076108
ENSMUSG00000020427,ENSG00000146674
ENSMUSG00000061904,ENSG00000075415
ENSMUSG00000031112,ENSG00000134602
ENSMUSG00000031765,ENSG00000205362
ENSMUSG00000052974,ENSG00000197446
ENSMUSG00000037563,ENSG00000105193
ENSMUSG00000023994,ENSG00000001167
ENSMUSG00000002265,ENSG00000198300
ENSMUSG00000032178,ENSG00000129351
ENSMUSG00000030890,ENSG00000166333
ENSMUSG00000048832,ENSG00000167987
ENSMUSG00000020810,ENSG00000161544
ENSMUSG00000033684,ENSG00000116260
ENSMUSG00000030410,ENSG00000185800
ENSMUSG00000035451,ENSG00000129514
ENSMUSG00000073435,ENSG00000103024
ENSMUSG00000037974,ENSG00000215182
ENSMUSG00000023951,ENSG00000112715
ENSMUSG00000040385,ENSG00000172531
ENSMUSG00000025511,ENSG00000214063
ENSMUSG00000059834,ENSG00000151466
ENSMUSG00000033685,ENSG00000175567
ENSMUSG00000038256,ENSG00000116128
ENSMUSG00000007877,ENSG00000173991
ENSMUSG00000040703,ENSG00000167600
ENSMUSG00000042558,ENSG00000116863
ENSMUSG00000018654,ENSG00000185811
ENSMUSG00000027861,ENSG00000118729
ENSMUSG00000038174,ENSG00000155744
ENSMUSG00000021891,ENSG00000206562
ENSMUSG00000063626,ENSG00000156687
ENSMUSG00000049804,ENSG00000196440
ENSMUSG00000040093,ENSG00000104081
ENSMUSG00000006010,ENSG00000157181
ENSMUSG00000020232,ENSG00000064961
ENSMUSG00000028820,ENSG00000116560
ENSMUSG00000018796,ENSG00000151726
ENSMUSG00000028618,ENSG00000116209
ENSMUSG00000029468,ENSG00000089041
ENSMUSG00000056071,ENSG00000163220
ENSMUSG00000004268,ENSG00000126749
ENSMUSG00000028917,ENSG00000116786
ENSMUSG00000018398,ENSG00000164402
ENSMUSG00000002289,ENSG00000167772
ENSMUSG00000028116,ENSG00000172399
ENSMUSG00000025464,ENSG00000148832
ENSMUSG00000023169,ENSG00000111371
ENSMUSG00000032420,ENSG00000135318
ENSMUSG00000027483,ENSG00000198183
ENSMUSG00000040481,ENSG00000171634
ENSMUSG00000024165,ENSG00000206053
ENSMUSG00000002668,ENSG00000205744
ENSMUSG00000012705,ENSG00000104918
ENSMUSG00000034673,ENSG00000204304
ENSMUSG00000026584,ENSG00000000457
ENSMUSG00000020424,ENSG00000239282
ENSMUSG00000030483,not found
ENSMUSG00000049606,ENSG00000122482
ENSMUSG00000056917,ENSG00000213445
ENSMUSG00000031762,not found
ENSMUSG00000001419,ENSG00000116604
ENSMUSG00000027074,ENSG00000134802
ENSMUSG00000001707,ENSG00000124802
ENSMUSG00000042197,ENSG00000112200
ENSMUSG00000037017,ENSG00000166529
ENSMUSG00000030116,ENSG00000197614
ENSMUSG00000022159,ENSG00000129472
ENSMUSG00000071533,ENSG00000081154
ENSMUSG00000019278,ENSG00000015413
ENSMUSG00000023913,ENSG00000146070
ENSMUSG00000032366,ENSG00000140416
ENSMUSG00000036867,ENSG00000137834
ENSMUSG00000018697,ENSG00000275700
ENSMUSG00000003814,ENSG00000179218
ENSMUSG00000029385,ENSG00000138764
ENSMUSG00000038481,ENSG00000155111
ENSMUSG00000025265,ENSG00000102302
ENSMUSG00000037791,ENSG00000109118
ENSMUSG00000070720,ENSG00000253304
ENSMUSG00000021477,not found
ENSMUSG00000026566,ENSG00000197965
ENSMUSG00000024803,ENSG00000148677
ENSMUSG00000015968,ENSG00000157388
ENSMUSG00000028042,ENSG00000160685
ENSMUSG00000036078,ENSG00000147955
ENSMUSG00000118664,ENSG00000104723
ENSMUSG00000040809,ENSG00000134216
ENSMUSG00000055447,ENSG00000196776
ENSMUSG00000037106,ENSG00000214814
ENSMUSG00000028249,ENSG00000137575
ENSMUSG00000056220,ENSG00000116711
ENSMUSG00000038209,ENSG00000179914
ENSMUSG00000028255,ENSG00000016490
ENSMUSG00000018920,ENSG00000161921
ENSMUSG00000015165,ENSG00000104824
ENSMUSG00000050912,ENSG00000152558
ENSMUSG00000031226,ENSG00000102390
ENSMUSG00000044629,ENSG00000119865
ENSMUSG00000031965,ENSG00000164532
ENSMUSG00000000094,ENSG00000121075
ENSMUSG00000020311,ENSG00000068912
ENSMUSG00000028134,ENSG00000117569
ENSMUSG00000026786,ENSG00000077420
ENSMUSG00000041343,ENSG00000137494
ENSMUSG00000020173,ENSG00000106078
ENSMUSG00000029701,ENSG00000106344
ENSMUSG00000062210,ENSG00000145779
ENSMUSG00000121504,not found
ENSMUSG00000047789,ENSG00000177058
ENSMUSG00000026094,ENSG00000081320
ENSMUSG00000060671,ENSG00000143515
ENSMUSG00000006276,ENSG00000127527
ENSMUSG00000058586,ENSG00000183569
ENSMUSG00000026411,ENSG00000116857
ENSMUSG00000005575,ENSG00000130725
ENSMUSG00000041840,ENSG00000152240
ENSMUSG00000050212,ENSG00000142694
ENSMUSG00000028937,ENSG00000097021
ENSMUSG00000004642,ENSG00000163950
ENSMUSG00000062590,ENSG00000135931
ENSMUSG00000032786,ENSG00000023330
ENSMUSG00000028211,ENSG00000164938
ENSMUSG00000078588,ENSG00000159214
ENSMUSG00000030830,ENSG00000005844
ENSMUSG00000078440,ENSG00000129932
ENSMUSG00000026074,ENSG00000071054
ENSMUSG00000002020,ENSG00000119681
ENSMUSG00000031520,ENSG00000150630
ENSMUSG00000073725,ENSG00000168216
ENSMUSG00000066842,ENSG00000143341
ENSMUSG00000028599,ENSG00000028137
ENSMUSG00000041548,ENSG00000152137
ENSMUSG00000022517,ENSG00000102858
ENSMUSG00000020781,ENSG00000182173
ENSMUSG00000030678,ENSG00000103495
ENSMUSG00000025934,ENSG00000182793
ENSMUSG00000020611,ENSG00000120063
ENSMUSG00000021124,ENSG00000100568
ENSMUSG00000018196,not found
ENSMUSG00000025823,ENSG00000155660
ENSMUSG00000039458,ENSG00000150712
