Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
ENSMUSG00000093769,not found,,,
ENSMUSG00000040466,ENSG00000090013,ortholog_one2one,80.5825,86.8932
ENSMUSG00000031631,ENSG00000164323,ortholog_one2one,69.9248,78.9474
ENSMUSG00000032425,not found,,,
ENSMUSG00000047996,ENSG00000130962,ortholog_one2one,92.6606,95.8716
ENSMUSG00000010067,ENSG00000068028,ortholog_one2one,90.8824,94.4118
ENSMUSG00000071657,ENSG00000168000,ortholog_one2one,82.9004,87.8788
ENSMUSG00000038506,ENSG00000150401,ortholog_one2one,91.1197,97.2973
ENSMUSG00000040918,ENSG00000117479,ortholog_one2one,90.5433,95.171
ENSMUSG00000031153,ENSG00000068400,ortholog_one2one,93.1034,96.4328
ENSMUSG00000037697,ENSG00000100523,ortholog_one2one,88.6667,92.4444
ENSMUSG00000025507,ENSG00000177595,ortholog_one2one,81.4286,86.5934
ENSMUSG00000012609,not found,,,
ENSMUSG00000002319,ENSG00000196497,ortholog_one2one,81.4986,91.0268
ENSMUSG00000074361,ENSG00000134830,ortholog_one2one,61.7211,72.4036
ENSMUSG00000025006,ENSG00000095637,ortholog_one2one,55.7276,58.3591
ENSMUSG00000028467,ENSG00000070610,ortholog_one2one,86.6235,91.8015
ENSMUSG00000063362,ENSG00000253710,ortholog_one2one,86.1789,92.2764
ENSMUSG00000018501,ENSG00000141027,ortholog_one2one,90.9016,94.1803
ENSMUSG00000005233,ENSG00000152253,ortholog_one2one,74.5536,88.3929
ENSMUSG00000058298,ENSG00000111877,ortholog_one2one,74.1032,82.5897
ENSMUSG00000046731,ENSG00000213859,ortholog_one2one,90.4059,92.2509
ENSMUSG00000032185,ENSG00000142453,ortholog_one2one,97.0395,97.8618
ENSMUSG00000045826,ENSG00000213402,ortholog_one2one,63.5922,70.8738
ENSMUSG00000072494,ENSG00000235194,ortholog_one2one,89.6057,91.7563
ENSMUSG00000028476,ENSG00000122707,ortholog_one2one,93.4089,96.3955
ENSMUSG00000020564,ENSG00000146776,ortholog_one2one,89.4309,90.8246
ENSMUSG00000059447,ENSG00000138029,ortholog_one2one,90.9283,96.8354
ENSMUSG00000030870,ENSG00000103353,ortholog_one2one,95.1456,96.4401
