Mouse Genes,Human Ortholog Symbol,Identity
2010005H15Rik,ENSG00000121552,57.1429
Stfa3,ENSG00000121552,59.1837
Gm5483,ENSG00000121552,59.1837
Stfa2,ENSG00000121552,58.1633
Zfp579,ENSG00000218891,89.1459
Clec4e,ENSG00000166523,64.3836
Il1b,ENSG00000125538,67.658
Slfn4,ENSG00000172123,42.7336
Slfn4,ENSG00000205045,39.7059
Stfa1,ENSG00000121552,56.1224
Retnlg,ENSG00000163515,54.0541
Lysmd2,ENSG00000140280,89.3023
Esr1,ENSG00000091831,89.5798
Cxcr2,ENSG00000180871,70.8333
Tmem100,ENSG00000166292,85.0746
S100a9,ENSG00000163220,57.8947
S100a8,ENSG00000143546,55.914
Cxcl1,ENSG00000163734,54.2056
Lrrc15,ENSG00000172061,81.7556
Cebpb,ENSG00000172216,70.7246
Slc26a4,ENSG00000091137,87.5641
Tdo2,ENSG00000151790,88.67
Serpina3f,ENSG00000196136,57.6832
Gm13826,not found,
BC100530,error - retries exceeded,
F10,ENSG00000126218,74.5902
Asprv1,ENSG00000244617,80.695
Mmp8,ENSG00000118113,73.4475
Arl14,ENSG00000179674,75
C5ar1,ENSG00000197405,65.1429
Tmod3,ENSG00000138594,90.0568
Fam101b,ENSG00000183688,82.6389
Arg1,ENSG00000142910,85.8672
Stfa2l1,ENSG00000121552,57.1429
Tmod2,ENSG00000128872,95.1567
Il1rn,ENSG00000136689,76.2712
Fpr1,ENSG00000171051,76
5930412G12Rik,not found,
Ifitm6,ENSG00000185201,45.4545
Ifitm6,ENSG00000185885,44.8
Ifitm6,ENSG00000142089,45.8647
Trem1,ENSG00000124731,44.4444
Rpl34,ENSG00000109475,99.1453
Aspn,ENSG00000106819,89.2105
Sap25,ENSG00000205307,46.4646
Ngp,not found,
Saa3,not found,
Dip2c,ENSG00000151240,98.7147
Zfp36,ENSG00000110315,99.1304
Cebpd,ENSG00000221869,84.7584
Il1f9,ENSG00000136688,52.6627
Cyp26b1,ENSG00000003137,96.2891
Stk38l,ENSG00000211455,97.6293
Rspo2,ENSG00000147655,95.8848
E130309D14Rik,ENSG00000277200,84.7059
Capn11,ENSG00000137225,71.7185
Plekhf1,ENSG00000166289,89.6057
Ndp,ENSG00000124479,93.985
Gdf9,ENSG00000164404,71.3656
Vsig1,ENSG00000101842,69.7674
Adamts8,ENSG00000134917,81.4398
Ecm2,ENSG00000106823,71.9599
3830408C21Rik,not found,
Pkia,ENSG00000171033,97.3684
Igdcc3,ENSG00000174498,86.2408
Fpr2,ENSG00000171049,76.0684
Socs3,ENSG00000184557,96.8889
Steap4,ENSG00000127954,82.3529
Ly6g6d,ENSG00000244355,61.6541
Il1a,ENSG00000115008,60.1476
Kif26a,ENSG00000066735,77.949
Jmjd7-pla2g4b,error - retries exceeded,
Col15a1,ENSG00000204291,73.5591
Akr1c12,not found,
Tnfsf10,ENSG00000121858,64.4128
Slc10a6,ENSG00000145283,70.2918
Sh2b2,ENSG00000160999,83.0696
Ccl7,ENSG00000108688,61.6162
Chl1,ENSG00000101938,88.4279
Gm4956,not found,
Wisp1,ENSG00000104415,83.6512
Nrg2,ENSG00000158458,94.2353
Wt1,ENSG00000184937,92.5287
Asap3,ENSG00000088280,80.9524
Fam110c,ENSG00000184731,62.9283
Cd2,ENSG00000116824,51.8519
Cd14,ENSG00000170458,65.3333
D3Ertd751e,ENSG00000151470,78.8945
Heyl,ENSG00000163909,77.7439
