gene	Chen28689251	Chen28689251	Nichols_24571919	Al_mudares_37368978	Al_mudares_37368978	Bao_27137150	Bao_27137150	Bhaskaran_22911455	Bhattacharya_25150062	Chao27770432	Cheng_31961470	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Coarfa_28818871	Denervaud_26353077	Denervaud_26353077	Dong_36157523	Natarajan_28851267	Natarajan_28851267	Rao_37310763	Revhaug_3145811	Revhaug_3145811	Shrestha_33446917	Shrestha_33446917	maic_score	contributors
ENSG00000171428	1.188483783322551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.194456480076243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398245942758884	0.0	0.0	0.0	0.0	2.382940263398794	GENOMIC: Chen28689251, TRANSCRIPTOMIC: Coarfa_28818871
ENSG00000130962	1.188483783322551	0.0	0.0	0.0	1.1904289342205048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3789127175430558	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000215148	0.0	1.1790963314603549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1944564600762428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3735527915365977	GENOMIC: Chen28689251, TRANSCRIPTOMIC: Coarfa_28818871
ENSG00000170430	0.0	0.0	1.265858486035965	0.0	0.0	0.0	0.0	0.0	1.0532637971048169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.319122283140782	TRANSCRIPTOMIC: Bhattacharya_25150062, GENOMIC: Nichols_24571919
ENSG00000134830	0.0	1.1790963314603549	0.0	0.0	1.1337020414059642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.312798372866319	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000005513	0.0	1.1790963314603549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1230104153453617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398332342758883	0.0	0.0	0.0	0.0	2.3021067468057166	GENOMIC: Chen28689251, TRANSCRIPTOMIC: Coarfa_28818871
ENSG00000138029	0.0	1.1790963314603549	0.0	0.0	1.1206240828794742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398292342758884	0.0	0.0	0.0	0.0	2.299720414339829	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000134398	0.0	1.1790963314603549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.101428755794105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2805250872544596	GENOMIC: Chen28689251, TRANSCRIPTOMIC: Coarfa_28818871
ENSG00000011376	0.0	1.1790963314603549	0.0	0.0	1.1004103232276556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2795066546880105	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000101349	1.188483783322551	1.1790963314603549	0.0	0.0	0.0	1.0842241063605516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2727078896831028	TRANSCRIPTOMIC: Bao_27137150, GENOMIC: Chen28689251
ENSG00000107362	1.188483783322551	0.0	0.0	0.0	1.076555090469224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.265038873791775	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000168610	1.188483783322551	1.1790963314603549	0.0	0.0	1.0748197422544992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26330352557705	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000144677	1.188483783322551	0.0	0.0	0.0	1.0730524848910772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.261536268213628	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000140995	1.188483783322551	0.0	0.0	0.0	1.0725484481675673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398228042758884	0.0	0.0	0.0	0.0	2.2610322314901183	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000173166	1.188483783322551	0.0	0.0	0.0	1.0723275570769348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.260811340399486	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000181722	1.188483783322551	0.0	0.0	0.0	1.0722551296667917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2607389129893427	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000139372	1.188483783322551	0.0	0.0	0.0	1.0711784749808455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2596622583033965	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000124788	1.188483783322551	1.1790963314603549	0.0	0.0	1.0707071515493345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2591909348718855	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000139132	1.188483783322551	0.0	0.0	0.0	1.0705398416285197	0.0	0.0	0.0	0.0	1.0216957375729505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2590236249510705	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000010810	1.188483783322551	0.0	0.0	0.0	1.0693759528387754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398398542758882	0.0	0.0	0.0	0.0	2.2578597361613264	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000134107	1.188483783322551	0.0	0.0	0.0	1.0679191293113155	0.0	0.0	0.0	1.0532636671048168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2564029126338667	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000115112	1.188483783322551	0.0	0.0	0.0	1.0678860426651644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2563698259877154	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000069122	1.188483783322551	1.1790963314603549	0.0	0.0	1.0678198707678903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0607924640267654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2563036540904413	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000127419	1.188483783322551	0.0	0.0	0.0	1.0665297378116168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2550135211341678	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000109072	1.188483783322551	0.0	0.0	0.0	1.0660335849147495	0.0	0.0	0.0	1.0532638071048168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0398370042758882	0.0	0.0	0.0	0.0	2.2545173682373005	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000107929	1.188483783322551	0.0	0.0	0.0	1.0652066827231055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2536904660456565	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000168143	1.188483783322551	1.1790963314603549	0.0	0.0	1.0634867501963923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2519705335189433	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000110090	0.0	1.1790963314603549	0.0	1.0336683982018369	1.0725112176499543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.251607549110309	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000081052	0.0	1.1790963314603549	0.0	0.0	1.0708077545802563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.249904086040611	TRANSCRIPTOMIC: Al_mudares_37368978, GENOMIC: Chen28689251
ENSG00000127954	1.188483783322551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0532616371048167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0607924640267654	0.0	0.0	1.0398408742758882	0.0	0.0	0.0	0.0	2.249276247349316	TRANSCRIPTOMIC: Dong_36157523, GENOMIC: Chen28689251
