Mouse Gene,Human Ortholog Gene Symbol
Gm9920,not found
Dancr,not found
9330159M07Rik,not found
Firre,not found
Gm14188,not found
Creg1,ENSG00000143162
Cfh,not found
4933438K21Rik,not found
Rnase10,ENSG00000182545
Gm10689,not found
Gm26619,not found
Rny3,ENSG00000202354
Cirbp,ENSG00000099622
Gm11412,not found
Hist1h4h,not found
E330020D12Rik,not found
1700066C05Rik,not found
Bax,ENSG00000167034
Gm10376,not found
Gm5316,not found
Rnu3b4,ENSG00000212321
Rnu3b4,ENSG00000277754
Zfp114,ENSG00000159915
533D426P16Rik,error - retries exceeded
Gm22D42,error - retries exceeded
Pign,ENSG00000197563
Adra1b,ENSG00000170214
ENSMUSG00000103057,error - retries exceeded
Gm14963,not found
Zfp64D,error - retries exceeded
Fmn2,ENSG00000155816
Speer7-ps1,not found
Zfp691,ENSG00000164011
E4f1,ENSG00000167967
573D419FD3Rik,error - retries exceeded
Gm12576,not found
Pixna2,error - retries exceeded
Gm4425,not found
Krt222,ENSG00000213424
4933405E24Rik,not found
Oacyl,not found
Slc8a3,ENSG00000100678
Olfr150D,error - retries exceeded
Gm2005,not found
Smo,ENSG00000088826
Smck3b,error - retries exceeded
Rabgap1,ENSG00000011454
D3Ertd751e,ENSG00000151470
Ulk3,ENSG00000140474
Dnase2a,ENSG00000105612
Lhx6,ENSG00000106852
Hsd3b2,ENSG00000203859
Hsd3b2,ENSG00000203857
H2-Q4,not found
Pdzm3,error - retries exceeded
Nr1i3,ENSG00000143257
Tdgf1,ENSG00000225366
Tdgf1,ENSG00000241186
Tbx22,ENSG00000122145
Shc4,ENSG00000185634
Cherp,ENSG00000085872
St6galnac1,ENSG00000070526
Rs1,ENSG00000215695
Slfn9,ENSG00000154760
BC030870,ENSG00000248771
Akap7,ENSG00000118507
Gm41B1,error - retries exceeded
Itgam,ENSG00000169896
Pde4c,ENSG00000105650
Mcidas,ENSG00000234602
Idua,ENSG00000127415
Cabp5,ENSG00000105507
Btnl10,not found
Fgf23,ENSG00000118972
Zfp663,not found
Snap23,ENSG00000092531
Tacr2,ENSG00000075073
Proser3,ENSG00000167595
Kira1,error - retries exceeded
Slc17a5,ENSG00000119899
A_30_p01018533,error - retries exceeded
Gm29055,not found
Pdcd4,ENSG00000150593
Cdk15,ENSG00000138395
Opm1,error - retries exceeded
Triobp,ENSG00000100106
Hexi2,error - retries exceeded
Pura,ENSG00000185129
Snap25,ENSG00000132639
Gm15614,not found
Gm1305,not found
Fgd4,ENSG00000139132
Ttc19,ENSG00000011295
Gm10631,not found
Siglech,ENSG00000105383
Siglech,ENSG00000105492
Aoc2,ENSG00000131480
Gla,ENSG00000102393
9230110C19Rik,ENSG00000137691
Mar-01,error - retries exceeded
Gm21897,error - retries exceeded
Fbxo31,ENSG00000112029
Gm14888,error - retries exceeded
Pinc1,error - retries exceeded
