Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Gt(ROSA)26Sor,not found,,,
RP23-81C12.1,error - retries exceeded,,,
RP23-338E5.2,error - retries exceeded,,,
RP23-10L17.5,error - retries exceeded,,,
RP24-88F2.3,error - retries exceeded,,,
RP24-92F8.3,error - retries exceeded,,,
RP23-380B10.6,error - retries exceeded,,,
RP23-7F9.1,error - retries exceeded,,,
Zfas1,not found,,,
RP23-98C9.5,error - retries exceeded,,,
RP24-242E11.1,error - retries exceeded,,,
RP23-105K2.3,error - retries exceeded,,,
Gas5,not found,,,
Snhg20,not found,,,
B230354K17Rik,not found,,,
RP23-95L9.3,error - retries exceeded,,,
RP23-16O15.2,error - retries exceeded,,,
RP24-114C10.2,error - retries exceeded,,,
Snhg12,not found,,,
RP23-463E8.3,error - retries exceeded,,,
Gm26885,not found,,,
RP23-434H14.7,error - retries exceeded,,,
RP24-277J22.3,error - retries exceeded,,,
RP23-193A16.7,error - retries exceeded,,,
Snhg1,not found,,,
RP23-148L8.3,error - retries exceeded,,,
RP23-87D8.4,error - retries exceeded,,,
Gas5,not found,,,
RP23-169M4.4,error - retries exceeded,,,
Zfas1,not found,,,
RP24-310D17.9,error - retries exceeded,,,
RP24-247M18.5,error - retries exceeded,,,
RP23-453O8.7,error - retries exceeded,,,
Gm26809,error - retries exceeded,,,
RP23-288J11.3,error - retries exceeded,,,
RP23-313I4.3,error - retries exceeded,,,
RP23-205D10.2,error - retries exceeded,,,
RP24-447D15.3,error - retries exceeded,,,
RP23-338E5.2,error - retries exceeded,,,
AC147806.5,error - retries exceeded,,,
RP24-151H6.5,error - retries exceeded,,,
RP23-137A24.6,error - retries exceeded,,,
Snhg3,not found,,,
RP24-64D24.4,error - retries exceeded,,,
RP23-78N8.9,error - retries exceeded,,,
RP23-95L9.5,error - retries exceeded,,,
RP23-122P5.3,error - retries exceeded,,,
RP23-146O20.1,error - retries exceeded,,,
RP23-146O20.1,error - retries exceeded,,,
RP23-250A14.2,error - retries exceeded,,,
RP24-500I24.3,error - retries exceeded,,,
RP23-392K24.4,error - retries exceeded,,,
RP23-235E15.5,error - retries exceeded,,,
CAAA01180111.2,error - retries exceeded,,,
AC129328.1,error - retries exceeded,,,
Gas5,not found,,,
RP23-279M5.1,error - retries exceeded,,,
RP24-282C4.9,error - retries exceeded,,,
RP23-26J4.3,error - retries exceeded,,,
Snhg1,not found,,,
Sp3os,not found,,,
RP24-372I24.4,error - retries exceeded,,,
RP24-273K21.3,error - retries exceeded,,,
Peg13,not found,,,
Lncpint,not found,,,
RP23-231M6.2,error - retries exceeded,,,
Xist,not found,,,
RP23-89L15.6,error - retries exceeded,,,
Dleu2,not found,,,
RP23-250G8.13,error - retries exceeded,,,
RP23-167C5.1,error - retries exceeded,,,
RP24-192J22.1,error - retries exceeded,,,
RP23-15O6.1,error - retries exceeded,,,
RP23-338G5.4,error - retries exceeded,,,
RP23-89F9.2,error - retries exceeded,,,
