Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Gm19951,not found,,,
Gbp5,ENSG00000154451,ortholog_one2one,66.7235,78.4983
Gbp2,ENSG00000162645,ortholog_one2many,70.7276,82.9103
Wfdc21,not found,,,
AW112010,not found,,,
Fpr1,ENSG00000171051,ortholog_one2one,76,85.7143
Ltb,ENSG00000227507,ortholog_one2one,75.4098,82.3771
Chil3,ENSG00000134216,ortholog_one2many,56.5126,67.6471
Lcn2,ENSG00000148346,ortholog_one2one,57.5758,73.7374
Gbp7,ENSG00000162654,ortholog_many2many,67.8125,81.25
Ifi47,not found,,,
Cxcl10,ENSG00000169245,ortholog_one2one,68.3673,80.6122
Irak3,ENSG00000090376,ortholog_one2one,76.1745,85.906
Isg15,ENSG00000187608,ortholog_one2one,62.4242,74.5455
Rsad2,ENSG00000134321,ortholog_one2one,80.8864,86.4266
Pou2f2,ENSG00000028277,ortholog_one2one,91.1859,91.5064
Hspa1b,ENSG00000204388,ortholog_many2many,95.1638,98.2839
Hspa1b,ENSG00000204389,ortholog_many2many,95.1638,98.2839
Apoe,ENSG00000130203,ortholog_one2one,70.6625,82.6498
Uba52,not found,,,
Parp14,ENSG00000173193,ortholog_one2one,63.4092,78.0122
Hexb,ENSG00000049860,ortholog_one2one,71.9424,83.6331
mt-Atp6,ENSG00000198899,ortholog_one2one,75.6637,85.3982
Hgsnat,ENSG00000165102,ortholog_one2one,80.6299,86.9291
Klf4,ENSG00000136826,ortholog_one2one,89.5616,92.0668
Itpr2,ENSG00000123104,ortholog_one2one,95.8164,98.1118
mt-Nd1,ENSG00000198888,ortholog_one2one,77.044,88.6792
Gstm1,ENSG00000134184,ortholog_one2many,77.9817,92.2018
Cstb,ENSG00000160213,ortholog_one2one,78.5714,87.7551
Lmna,ENSG00000160789,ortholog_one2one,96.6867,99.0964
Lgals3,ENSG00000131981,ortholog_one2one,81.2,87.6
Stfa1,ENSG00000121552,ortholog_one2many,56.1224,69.3878
Stfa2,ENSG00000121552,ortholog_one2many,58.1633,72.449
Basp1,ENSG00000176788,ortholog_one2one,68.7225,76.2115
Nr4a2,ENSG00000153234,ortholog_one2one,99.4983,99.8328
Ngp,not found,,,
Mdm2,ENSG00000135679,ortholog_one2one,80.4829,86.7203
Ifitm1,ENSG00000185201,ortholog_many2many,50.7576,61.3636
Ifitm1,ENSG00000185885,ortholog_many2many,52.8,63.2
Ifitm1,ENSG00000142089,ortholog_many2many,52.6316,62.406
Ifitm6,ENSG00000185201,ortholog_many2many,45.4545,62.1212
Ifitm6,ENSG00000185885,ortholog_many2many,44.8,60
Ifitm6,ENSG00000142089,ortholog_many2many,45.8647,61.6541
Vegfa,ENSG00000112715,ortholog_one2one,83.7975,87.8481
G0s2,ENSG00000123689,ortholog_one2one,77.6699,85.4369
Stfa3,ENSG00000121552,ortholog_one2many,59.1837,75.5102
Retnlg,ENSG00000163515,ortholog_one2many,54.0541,75.6757
Inhba,ENSG00000122641,ortholog_one2one,96.0094,97.8873
Cxcr2,ENSG00000180871,ortholog_one2many,70.8333,84.7222
S100a9,ENSG00000163220,ortholog_one2many,57.8947,72.807
Lrg1,ENSG00000171236,ortholog_one2one,63.1124,73.1988
Lrg1,ENSG00000171236,ortholog_one2one,63.1124,73.1988
Slc2a3,not found,,,
Sorl1,ENSG00000137642,ortholog_one2one,93.2249,96.3415
Fgl2,ENSG00000127951,ortholog_one2one,77.221,86.7882
Tmsb10,not found,,,
Rpl12,ENSG00000197958,ortholog_one2one,99.3939,100
Kctd12,ENSG00000178695,ortholog_one2one,99.0769,99.3846
Csf3r,ENSG00000119535,ortholog_one2one,62.5598,73.6842
Ms4a4b,ENSG00000110079,ortholog_many2many,38.0753,54.3933
Ms4a4b,ENSG00000214787,ortholog_many2many,20.8459,30.8157
Hdc,ENSG00000140287,ortholog_one2one,86.5559,91.994
Rps24,not found,,,
Cd300ld,ENSG00000186074,ortholog_one2many,28.9655,38.2759
H2-Aa,not found,,,
Rps4x,ENSG00000198034,ortholog_one2one,100,100
H2-Eb1,not found,,,
Rpl10a,not found,,,
Rpl3,ENSG00000100316,ortholog_one2one,98.5112,99.5037
H2-Ab1,ENSG00000179344,ortholog_one2many,73.5632,80.8429
H2-Ab1,ENSG00000232629,ortholog_one2many,72.3485,82.197
Ly6c1,ENSG00000291309,ortholog_one2many,30.597,41.0448
BC100530,error - retries exceeded,,,
Ly6d,ENSG00000167656,ortholog_one2one,59.375,72.6562
Trbc2,ENSG00000211751,ortholog_many2many,76.2712,84.1808
Trbc2,ENSG00000211772,ortholog_many2many,76.5363,84.9162
Cd79a,ENSG00000105369,ortholog_one2one,69.469,76.5487
Igkc,ENSG00000211592,ortholog_one2one,59.8131,73.8318
Calcrl,ENSG00000064989,ortholog_one2one,90.0217,94.3601
Ramp2,ENSG00000131477,ortholog_one2one,68.5714,76.5714
Ighm,ENSG00000211899,ortholog_one2one,65.6118,77.6371
Mef2c,ENSG00000081189,ortholog_one2one,93.6575,96.4059
Ebf1,ENSG00000164330,ortholog_one2one,100,100
Cldn5,ENSG00000184113,ortholog_one2one,91.7431,94.0367
Ccl5,ENSG00000271503,ortholog_one2one,80.2198,87.9121
Cxcl9,ENSG00000138755,ortholog_one2one,69.6,81.6
Ly6a,ENSG00000291309,ortholog_one2many,39.5522,52.2388
Sparc,ENSG00000113140,ortholog_one2one,92.4092,95.0495
Epas1,ENSG00000116016,ortholog_one2one,87.8161,92.069
Ace,ENSG00000159640,ortholog_one2one,83.3078,92.9556
Ptprb,ENSG00000127329,ortholog_one2one,83.702,90.6998
Cd74,ENSG00000019582,ortholog_one2one,72.6351,84.7973
Gzma,ENSG00000145649,ortholog_one2one,68.3206,80.916
Gadd45g,ENSG00000130222,ortholog_one2one,96.8553,96.8553
Cxcl3,ENSG00000163734,ortholog_one2many,52.3364,66.3551
Spp1,ENSG00000126821,ortholog_one2one,79.8186,85.4875
Cd36,ENSG00000135218,ortholog_one2one,84.1102,94.0678
Csf3,ENSG00000108342,ortholog_one2one,73.5294,79.4118
