Rat Gene Ranked,Rat Gene Unranked,Human Ortholog Gene Symbol
MT2,MT2,ENSG00000134640
Mt3,Mt3,ENSG00000087250
Lcn2,Lcn2,ENSG00000148346
Hpgd,Hpgd,ENSG00000164120
Retnla,Retnla,ENSG00000163515
E41L1,E41L1,error - retries exceeded
DIDH,DIDH,error - retries exceeded
Lgals3,Lgals3,ENSG00000131981
C4a,C4a,ENSG00000244731
Gpnmb,Gpnmb,ENSG00000136235
Fetub,Fetub,ENSG00000090512
Ctgf,Ctgf,ENSG00000118523
C1qb,C1qb,ENSG00000173369
Sod2,Sod2,ENSG00000291237
RS27,RS27,error - retries exceeded
Mapk13,Mapk13,ENSG00000156711
Clca2,Clca2,not found
Tas2r1,Tas2r1,ENSG00000169777
Fabp5,Fabp5,ENSG00000164687
Atp1b1,Atp1b1,ENSG00000143153
Ldha,Ldha,not found
Actg2,Actg2,ENSG00000163017
Basp1,Basp1,ENSG00000176788
Aoc3,Aoc3,error - retries exceeded
Ebf1,Ebf1,ENSG00000164330
Admr,Admr,ENSG00000166856
Vim,Vim,ENSG00000026025
TIMP1,TIMP1,ENSG00000102265
Sftpd,Sftpd,ENSG00000133661
Gstp2,Gstp2,ENSG00000084207
Gapdh,Gapdh,ENSG00000111640
S100a10,S100a10,ENSG00000197747
Pgk1,Pgk1,ENSG00000102144
Des,Des,ENSG00000175084
Sept3,Sep-03,error - retries exceeded
Sp4,Sp4,ENSG00000105866
Prkaa2,Prkaa2,ENSG00000162409
Lr8,Lr8,ENSG00000106565
S100,S100,error - retries exceeded
Prdx1,Prdx1,not found
IGF1,IGF1,ENSG00000017427
Homer1,Homer1,ENSG00000152413
,,
