#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0015670	Carbon dioxide transport	3	14	2.58	1.55	0.0014	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Process	GO:0042744	Hydrogen peroxide catabolic process	3	25	2.33	1.48	0.0017	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Process	GO:2000819	Regulation of nucleotide-excision repair	3	28	2.28	1.48	0.0017	9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	BCL7A,DPF3,ARID1B
GO Process	GO:0070316	Regulation of G0 to G1 transition	3	37	2.16	1.35	0.0028	9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	BCL7A,DPF3,ARID1B
GO Process	GO:0006338	Chromatin remodeling	4	303	1.37	0.72	0.0275	9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	HP1BP3,BCL7A,DPF3,ARID1B
GO Process	GO:0030071	Regulation of mitotic metaphase/anaphase transition	3	91	1.77	0.8	0.0275	9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	BCL7A,DPF3,ARID1B
GO Process	GO:0031326	Regulation of cellular biosynthetic process	9	4143	0.59	0.38	0.0275	9606.ENSP00000258106,9606.ENSP00000325819,9606.ENSP00000349723,9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000494175,9606.ENSP00000496168	EMX1,NR2F1,BCL11B,HP1BP3,BCL7A,DPF3,ARID1B,HBB,BCL11A
GO Process	GO:0098869	Cellular oxidant detoxification	3	91	1.77	0.8	0.0275	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Process	GO:2000781	Positive regulation of double-strand break repair	3	89	1.78	0.8	0.0275	9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	BCL7A,DPF3,ARID1B
GO Function	GO:0031721	Hemoglobin alpha binding	3	5	3.03	2.45	3.57e-05	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Function	GO:0005344	Oxygen carrier activity	3	15	2.55	2.03	0.00017	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Function	GO:0019825	Oxygen binding	3	38	2.15	1.45	0.0017	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Function	GO:0020037	Heme binding	3	140	1.58	0.66	0.0476	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Function	GO:0043177	Organic acid binding	3	139	1.59	0.66	0.0476	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Component	GO:0016514	SWI/SNF complex	5	30	2.47	4.06	1.23e-08	9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,BCL7A,DPF3,ARID1B,BCL11A
GO Component	GO:0044815	DNA packaging complex	6	208	1.71	2.47	6.90e-07	9606.ENSP00000349723,9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	BCL11B,HP1BP3,BCL7A,DPF3,ARID1B,BCL11A
GO Component	GO:0031838	Haptoglobin-hemoglobin complex	3	11	2.69	2.55	1.92e-05	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Component	GO:0005833	Hemoglobin complex	3	13	2.62	2.48	2.46e-05	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
GO Component	GO:0000785	Chromatin	7	1285	0.99	0.89	0.00039	9606.ENSP00000258106,9606.ENSP00000349723,9606.ENSP00000403039,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	EMX1,BCL11B,HP1BP3,BCL7A,DPF3,ARID1B,BCL11A
GO Component	GO:0035060	Brahma complex	2	14	2.41	1.15	0.0077	9606.ENSP00000479526,9606.ENSP00000490491	DPF3,ARID1B
GO Component	GO:0071565	nBAF complex	2	16	2.35	1.11	0.0088	9606.ENSP00000479526,9606.ENSP00000490491	DPF3,ARID1B
STRING clusters	CL:5099	SWI/SNF complex	6	32	2.53	5.15	7.12e-11	9606.ENSP00000325819,9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000496168	NR2F1,BCL11B,BCL7A,DPF3,ARID1B,BCL11A
STRING clusters	CL:24977	Haptoglobin-hemoglobin complex	3	10	2.73	2.22	8.43e-05	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
STRING clusters	CL:5102	Regulation of nucleotide-excision repair	3	21	2.41	1.82	0.00040	9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491	BCL7A,DPF3,ARID1B
STRING clusters	CL:24979	Haptoglobin-hemoglobin complex	2	5	2.86	1.39	0.0030	9606.ENSP00000327431,9606.ENSP00000338082	HBG1,HBG2
STRING clusters	CL:5104	npBAF complex, and H3K9me3 modified histone binding	2	15	2.38	0.98	0.0159	9606.ENSP00000445868,9606.ENSP00000490491	BCL7A,ARID1B
Monarch	EFO:0004348	Hematocrit	6	449	1.38	1.22	0.00075	9606.ENSP00000338082,9606.ENSP00000349723,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000494175,9606.ENSP00000496168	HBG2,BCL11B,DPF3,ARID1B,HBB,BCL11A
Monarch	HP:0011904	Persistence of hemoglobin F	3	25	2.33	1.39	0.0026	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175	HBG1,HBG2,HBB
Monarch	EFO:0004509	Hemoglobin measurement	7	1228	1.01	0.76	0.0040	9606.ENSP00000338082,9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000479526,9606.ENSP00000490491,9606.ENSP00000494175,9606.ENSP00000496168	HBG2,BCL11B,BCL7A,DPF3,ARID1B,HBB,BCL11A
Monarch	HP:0012119	Methemoglobinemia	2	5	2.86	1.02	0.0145	9606.ENSP00000338082,9606.ENSP00000494175	HBG2,HBB
Monarch	HP:0200006	Slanting of the palpebral fissure	5	599	1.17	0.68	0.0214	9606.ENSP00000325819,9606.ENSP00000349723,9606.ENSP00000490491,9606.ENSP00000494175,9606.ENSP00000496168	NR2F1,BCL11B,ARID1B,HBB,BCL11A
Monarch	EFO:0004305	Erythrocyte count	5	731	1.09	0.58	0.0374	9606.ENSP00000349723,9606.ENSP00000445868,9606.ENSP00000490491,9606.ENSP00000494175,9606.ENSP00000496168	BCL11B,BCL7A,ARID1B,HBB,BCL11A
Monarch	EFO:0005192	Red blood cell distribution width	5	714	1.1	0.58	0.0374	9606.ENSP00000338082,9606.ENSP00000403039,9606.ENSP00000479526,9606.ENSP00000494175,9606.ENSP00000496168	HBG2,HP1BP3,DPF3,HBB,BCL11A
DISEASES	DOID:12241	Beta thalassemia	4	9	2.9	3.67	1.72e-07	9606.ENSP00000327431,9606.ENSP00000338082,9606.ENSP00000494175,9606.ENSP00000496168	HBG1,HBG2,HBB,BCL11A
DISEASES	DOID:1584	Acute chest syndrome	2	2	3.25	1.6	0.0013	9606.ENSP00000494175,9606.ENSP00000496168	HBB,BCL11A
DISEASES	DOID:10923	Sickle cell anemia	2	4	2.95	1.41	0.0028	9606.ENSP00000494175,9606.ENSP00000496168	HBB,BCL11A
DISEASES	DOID:2860	Hemoglobinopathy	2	12	2.47	1.03	0.0131	9606.ENSP00000494175,9606.ENSP00000496168	HBB,BCL11A
TISSUES	BTO:0002656	Sickle cell	2	4	2.95	1.1	0.0103	9606.ENSP00000494175,9606.ENSP00000496168	HBB,BCL11A
