Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
FXYD5,not found,,,
ZMAT3,ENSG00000172667,ortholog_one2one,86.5052,92.0415
P2RY14,ENSG00000174944,ortholog_one2one,83.1361,92.3077
DUSP4,ENSG00000120875,ortholog_one2one,96.7005,97.2081
PQLC3,ENSG00000162976,ortholog_one2one,85.1485,90.099
SRPX,ENSG00000101955,ortholog_one2one,92.4569,94.8276
APLNR,ENSG00000134817,ortholog_one2one,91.0526,93.9474
EMR1,ENSG00000174837,ortholog_one2one,68.8488,80.0226
KIT,ENSG00000157404,ortholog_one2one,82.7869,90.2664
CALCRL,ENSG00000064989,ortholog_one2one,90.0217,94.3601
ADCY8,ENSG00000155897,ortholog_one2one,96.8825,98.0016
GUCY1B3,ENSG00000061918,ortholog_one2one,98.8691,99.5154
CPT1C,ENSG00000169169,ortholog_one2one,83.3126,89.4147
BAX,ENSG00000087088,ortholog_one2one,92.1875,94.2708
TMEM2,ENSG00000135048,ortholog_one2one,86.7679,92.9863
ST8SIA4,ENSG00000113532,ortholog_one2one,97.7716,99.4429
CHCHD10,ENSG00000250479,ortholog_one2one,84.507,89.4366
ANTXR2,ENSG00000163297,ortholog_one2one,82.9918,88.7295
GLIPR1,ENSG00000139278,ortholog_one2one,68.0451,80.4511
PALMD,ENSG00000099260,ortholog_one2one,78.5844,85.118
FUCA2,ENSG00000001036,ortholog_one2one,80.9422,87.3662
CCR1,ENSG00000163823,ortholog_one2many,80,89.8592
ASNS,ENSG00000070669,ortholog_one2one,93.7611,98.0392
CDKN2C,ENSG00000123080,ortholog_one2one,92.2619,95.8333
LIPH,ENSG00000163898,ortholog_one2one,77.6053,90.4656
VTN,ENSG00000109072,ortholog_one2one,74.0586,81.59
IGF2BP2,ENSG00000073792,ortholog_one2one,94.4908,96.828
APRT,ENSG00000198931,ortholog_one2one,82.7778,93.8889
TNFSF10,ENSG00000121858,ortholog_one2one,64.4128,76.8683
NCEH1,ENSG00000144959,ortholog_one2one,87.5,94.8529
HIGD1B,ENSG00000131097,ortholog_one2one,75.7576,90.9091
LAMB3,ENSG00000196878,ortholog_one2one,82.4232,90.0171
SLC19A2,ENSG00000117479,ortholog_one2one,90.5433,95.171
EYA2,ENSG00000064655,ortholog_one2one,87.9182,91.6357
THBD,ENSG00000178726,ortholog_one2one,67.8261,76.8696
BHLHE40,ENSG00000134107,ortholog_one2one,90.2913,92.9612
CLSTN2,ENSG00000158258,ortholog_one2one,93.6126,96.4398
CREG1,ENSG00000143162,ortholog_one2one,76.8182,87.2727
LIFR,ENSG00000113594,ortholog_one2one,75.2051,85.5059
RSPO2,ENSG00000147655,ortholog_one2one,95.8848,97.5309
PRICKLE2,ENSG00000163637,ortholog_one2one,95.2607,97.9858
AGT,ENSG00000170430,ortholog_one2one,67.1498,75.8454
EPHA2,ENSG00000142627,ortholog_one2one,92.9303,95.5943
AK1,ENSG00000106992,ortholog_one2one,88.1443,96.3918
HPGD,ENSG00000164120,ortholog_one2one,89.0977,93.609
EPHX1,ENSG00000143819,ortholog_one2one,83.5165,92.7473
TNFAIP2,ENSG00000185215,ortholog_one2one,72.3242,81.6514
MAFF,ENSG00000185022,ortholog_one2one,88.4146,90.2439
CTSB,ENSG00000164733,ortholog_one2one,78.7611,87.9056
RGS9,ENSG00000108370,ortholog_one2one,90.9496,94.2137
GUCY1A3,ENSG00000164116,ortholog_one2one,89.4203,94.6377
C1QB,ENSG00000173369,ortholog_one2one,80.0797,86.8526
GPR126,ENSG00000112414,ortholog_one2one,82.24,88.64
MFAP2,ENSG00000117122,ortholog_one2one,89.071,91.8033
SLC6A3,ENSG00000142319,ortholog_one2one,93.0645,95.9677
PLXDC1,ENSG00000161381,ortholog_one2one,81.4,90.6
SESN2,ENSG00000130766,ortholog_one2one,91.4583,95
COL5A3,ENSG00000080573,ortholog_one2one,82.5215,88.1948
TBC1D2,ENSG00000095383,ortholog_one2one,82.0043,87.2845
PSRC1,ENSG00000134222,ortholog_one2one,69.97,78.3784
PDE5A,ENSG00000138735,ortholog_one2one,92.4571,94.5143
IGF2BP3,ENSG00000136231,ortholog_one2one,96.5458,98.2729
TPSAB1,ENSG00000197253,ortholog_many2many,74.1818,81.4545
TPSB2,ENSG00000197253,ortholog_many2many,76.3636,84.3636
LITAF,ENSG00000189067,ortholog_one2one,85.7143,92.5466
FAM124B,ENSG00000124019,ortholog_one2one,64.6154,76.2637
CCL3,ENSG00000277632,ortholog_one2many,76.087,86.9565
GALNTL1,ENSG00000100626,ortholog_one2one,96.0574,97.491
CDKN1A,ENSG00000124762,ortholog_one2one,73.7805,78.0488
SLC3A2,ENSG00000168003,ortholog_one2one,74.6692,83.1758
MGMT,ENSG00000170430,ortholog_one2one,67.1498,75.8454
LDB2,ENSG00000169744,ortholog_one2one,97.5871,98.3914
HTATIP2,ENSG00000109854,ortholog_one2one,87.6033,91.3223
ENPP1,ENSG00000197594,ortholog_one2one,78.4865,87.4595
ECM1,ENSG00000143369,ortholog_one2one,69.0741,78.7037
A2M,ENSG00000175899,ortholog_one2one,72.3881,83.6499
FAM13C,ENSG00000148541,ortholog_one2one,83.7607,87.1795
TINAG,ENSG00000137251,ortholog_one2one,85.5042,91.1765
ARHGAP20,ENSG00000137727,ortholog_one2one,78.5894,85.3904
MSR1,ENSG00000038945,ortholog_one2one,71.3969,80.4878
NMNAT2,ENSG00000157064,ortholog_one2one,98.6971,99.0228
HOXB5,ENSG00000120075,ortholog_one2one,98.8848,98.8848
HSPA9,ENSG00000113013,ortholog_one2one,98.38,98.6745
ENPEP,ENSG00000138792,ortholog_one2one,76.698,87.5653
LGALS3BP,ENSG00000108679,ortholog_one2one,67.8633,79.4872
PRSS35,ENSG00000146250,ortholog_one2one,77.2397,85.4722
COL24A1,not found,,,
ASTN2,ENSG00000148219,ortholog_one2one,97.3861,98.581
STK4,ENSG00000101109,ortholog_one2one,97.3306,98.5626
INF2,ENSG00000203485,ortholog_one2one,79.0232,84.7078
SEMA6A,ENSG00000092421,ortholog_one2one,95.1456,97.4757
MAPT,ENSG00000186868,ortholog_one2one,65.5462,70.9484
NPNT,ENSG00000168743,ortholog_one2one,87.4336,92.5664
CD55,ENSG00000196352,ortholog_one2many,46.4567,61.4173
C1QTNF7,ENSG00000163145,ortholog_one2one,96.5398,97.9239
IL17RD,ENSG00000144730,ortholog_one2one,87.0095,92.2869
PLCB1,ENSG00000182621,ortholog_one2one,97.3684,98.602
ZFYVE28,ENSG00000159733,ortholog_one2one,81.1725,85.5693
TEK,ENSG00000120156,ortholog_one2one,92.7936,96.0854
NTRK3,ENSG00000140538,ortholog_one2one,97.2586,98.8081
LILRB4,ENSG00000187116,ortholog_many2many,42.4749,54.515
EPHB4,ENSG00000196411,ortholog_one2one,92.9078,95.846
COX6B2,ENSG00000160471,ortholog_one2one,68.1818,77.2727
CD68,not found,,,
CDH3,ENSG00000062038,ortholog_one2one,82.1472,88.7817
MCF2L,ENSG00000126217,ortholog_one2one,86.7556,91.9111
PHLDA3,ENSG00000174307,ortholog_one2one,97.6378,97.6378
TYROBP,ENSG00000011600,ortholog_one2one,73.4513,81.4159
SCN3B,ENSG00000166257,ortholog_one2one,97.6744,97.6744
PTGS1,ENSG00000095303,ortholog_one2one,89.6494,94.3239
LPAR2,ENSG00000064547,ortholog_one2one,92.2414,94.8276
PDZD2,ENSG00000133401,ortholog_one2one,66.7841,75.0969
KIF1A,ENSG00000130294,ortholog_one2one,97.3758,98.6041
SAT1,ENSG00000145217,ortholog_one2one,78.7447,85.1641
JAM2,ENSG00000154721,ortholog_one2one,75.5034,85.2349
PLK3,ENSG00000173846,ortholog_one2one,93.4985,95.9752
PTPN5,ENSG00000110786,ortholog_one2one,86.1947,89.7345
ZC3HAV1L,ENSG00000146858,ortholog_one2one,73.6667,82.6667
SOX17,ENSG00000164736,ortholog_one2one,79.9517,85.0242
TBC1D9,ENSG00000109436,ortholog_one2one,95.8136,97.0774
SOX13,ENSG00000143842,ortholog_one2one,89.0675,93.2476
KIF26A,ENSG00000066735,ortholog_one2one,77.949,83.1031
PGM5,ENSG00000154330,ortholog_one2one,97.5309,98.9418
DCHS1,ENSG00000166341,ortholog_one2one,92.5409,95.6337
ARRB1,ENSG00000137486,ortholog_one2one,97.3684,98.3254
SHANK3,ENSG00000251322,ortholog_one2one,95.3066,96.7459
SNN,ENSG00000184602,ortholog_one2one,97.7273,97.7273
PCSK5,ENSG00000099139,ortholog_one2one,81.2401,88.6592
EDA2R,ENSG00000131080,ortholog_one2one,80.1347,86.8687
SOX11,ENSG00000176887,ortholog_one2one,77.7778,80.9524
LDHB,ENSG00000111716,ortholog_one2one,97.9042,99.1018
IGF2BP1,ENSG00000159217,ortholog_one2one,99.3068,99.4801
SNX10,ENSG00000086300,ortholog_one2one,95.5224,98.0099
ADSSL1,ENSG00000185100,ortholog_one2one,96.7177,99.1247
ANO1,ENSG00000131620,ortholog_one2one,91.4807,95.3347
SCN7A,ENSG00000136546,ortholog_one2one,74.0785,85.2556
HS6ST2,ENSG00000171004,ortholog_one2one,91.3178,93.7984
SGCG,ENSG00000102683,ortholog_one2one,83.5052,91.4089
PTPRN,ENSG00000054356,ortholog_one2one,87.4362,91.2155
TUBB4,ENSG00000104833,ortholog_one2one,100,100
NR2F1,ENSG00000175745,ortholog_one2one,98.5816,98.818
MDM2,ENSG00000135679,ortholog_one2one,80.4829,86.7203
BEND7,ENSG00000165626,ortholog_one2one,86.6828,90.3148
AHR,ENSG00000106546,ortholog_one2one,69.4576,79.3632
DCTD,ENSG00000129187,ortholog_one2one,92.6966,96.6292
CSTB,ENSG00000160213,ortholog_one2one,78.5714,87.7551
FTH1,ENSG00000167996,ortholog_one2one,91.8033,95.6284
PDGFRB,ENSG00000113721,ortholog_one2one,85.443,92.3146
RNF144A,ENSG00000151692,ortholog_one2one,96.5753,97.6027
SLC11A1,ENSG00000018280,ortholog_one2one,86.9091,91.0909
PRKCQ,ENSG00000065675,ortholog_one2one,94.7592,97.5921
ADAMTS8,ENSG00000134917,ortholog_one2one,81.4398,89.7638
CD2,ENSG00000118971,ortholog_one2one,92.0415,97.5779
