Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Hbb-bt,not found,,,
Gpatch2l,ENSG00000089916,ortholog_one2one,85.0622,89.4191
Fuca1,ENSG00000179163,ortholog_one2one,81.1159,89.2704
Tlcd4,ENSG00000152078,ortholog_one2one,76.8061,85.1711
Rb1,ENSG00000139687,ortholog_one2one,90.5172,94.9353
Vwa8,ENSG00000102763,ortholog_one2one,86.0892,93.8583
Rhot1,ENSG00000126858,ortholog_one2one,98.0273,99.6965
Emilin2,ENSG00000132205,ortholog_one2one,74.0741,83.2859
Ubn2,ENSG00000157741,ortholog_one2one,90.6459,93.2442
Fry,ENSG00000073910,ortholog_one2one,96.7474,98.6392
Wdfy2,ENSG00000139668,ortholog_one2one,98.25,100
Acer3,ENSG00000078124,ortholog_one2one,88.3895,95.5056
Rock1,ENSG00000067900,ortholog_one2one,96.6027,98.7445
Baz1a,ENSG00000198604,ortholog_one2one,87.1465,93.1234
Pnpla8,ENSG00000135241,ortholog_one2one,82.4808,90.5371
Spag9,ENSG00000008294,ortholog_one2one,95.6094,96.6692
Dock10,ENSG00000135905,ortholog_one2one,93.2754,96.5233
Bptf,ENSG00000171634,ortholog_one2one,82.363,89.1096
Chd9,ENSG00000177200,ortholog_one2one,89.2302,93.1999
Alg6,ENSG00000088035,ortholog_one2one,84.4181,92.1105
Lrch1,ENSG00000136141,ortholog_one2one,75.3604,80.3408
Fndc3a,ENSG00000102531,ortholog_one2one,91.0685,96.2437
Slc15a4,ENSG00000139370,ortholog_one2one,85.2686,91.1612
Nsmaf,ENSG00000035681,ortholog_one2one,92.0393,96.1832
Rabgap1l,ENSG00000152061,ortholog_one2one,72.1218,74.215
Morc3,ENSG00000159256,ortholog_one2one,82.9606,90.9478
Qrich1,ENSG00000198218,ortholog_one2one,99.3557,99.6134
Pold3,not found,,,
Nsd3,ENSG00000147548,ortholog_one2one,91.858,95.3375
Usp34,ENSG00000115464,ortholog_one2one,97.5465,99.0412
Hivep2,ENSG00000010818,ortholog_one2one,87.1627,91.946
Esco1,ENSG00000141446,ortholog_one2one,76.3095,85.2381
Setbp1,ENSG00000152217,ortholog_one2one,89.411,93.3584
Prkaa1,ENSG00000132356,ortholog_one2one,98.7478,99.4633
Neurl1b,ENSG00000214357,ortholog_one2one,91.1712,93.1532
Pkhd1l1,ENSG00000205038,ortholog_one2one,81.8996,89.9364
Tbc1d14,ENSG00000132405,ortholog_one2one,90.6205,95.671
Ceacam16,ENSG00000213892,ortholog_one2one,88.9412,93.6471
Gpatch2l,ENSG00000089916,ortholog_one2one,85.0622,89.4191
Exoc5,ENSG00000070367,ortholog_one2one,98.4463,99.2938
Gas2,ENSG00000148935,ortholog_one2one,97.4441,98.4026
Arid4a,ENSG00000032219,ortholog_one2one,85.7597,91.6468
Parn,ENSG00000140694,ortholog_one2one,86.385,92.3318
Ap2b1,ENSG00000006125,ortholog_one2one,99.8948,99.8948
Lats2,ENSG00000150457,ortholog_one2one,81.25,85.2022
Cbfa2t2,ENSG00000078699,ortholog_one2one,96.3025,97.6471
Ocrl,ENSG00000122126,ortholog_one2one,91.4539,95.7825
Erdr1x,not found,,,
Fryl,ENSG00000075539,ortholog_one2one,94.4905,97.0793
Jmjd1c,ENSG00000171988,ortholog_one2one,86.0236,91.6929
P2rx7,ENSG00000089041,ortholog_one2one,80.8403,88.0672
Ipo7,ENSG00000205339,ortholog_one2one,99.3256,99.711
Snrnp70,ENSG00000104852,ortholog_one2one,96.7963,97.9405
Fam3c,ENSG00000196937,ortholog_one2one,94.2731,97.7974
Wasl,ENSG00000106299,ortholog_one2one,95.4455,96.6337
Acin1,ENSG00000100813,ortholog_one2one,86.2042,90.8028
Mob3b,ENSG00000120162,ortholog_one2one,98.1481,100
Fgfr2,ENSG00000066468,ortholog_one2one,97.5639,98.782
Mmp15,ENSG00000102996,ortholog_one2one,87.2945,91.6293
Dym,ENSG00000141627,ortholog_one2one,87.5691,89.9171
Wdr59,ENSG00000103091,ortholog_one2one,96.3039,97.8439
Trim24,ENSG00000122779,ortholog_one2one,93.4286,95.9048
Mettl23,ENSG00000181038,ortholog_one2one,89.4737,95.2632
Lrrk2,ENSG00000188906,ortholog_one2one,86.6245,93.1935
Rftn1,ENSG00000131378,ortholog_one2one,69.0311,76.4706
Mycbp2,ENSG00000005810,ortholog_one2one,96.9859,98.6105
Ptpn1,ENSG00000196396,ortholog_one2one,82.5287,89.8851
Litaf,ENSG00000189067,ortholog_one2one,85.7143,92.5466
Sppl2a,ENSG00000138600,ortholog_one2one,80,89.4231
Fip1l1,not found,,,
Hip1,ENSG00000127946,ortholog_one2one,87.946,93.1533
Nlrc4,ENSG00000091106,ortholog_one2one,73.8281,83.9844
Unc93b1,ENSG00000110057,ortholog_one2one,90.7873,94.1374
Spire1,ENSG00000134278,ortholog_one2one,89.418,93.5185
Slc41a2,ENSG00000136052,ortholog_one2one,91.0995,94.7644
Map4k2,ENSG00000168067,ortholog_one2one,93.6585,95.7317
Agtpbp1,ENSG00000135049,ortholog_one2one,90.2936,94.2904
Slc38a6,ENSG00000139974,ortholog_one2one,83.9912,91.2281
Ubn2,ENSG00000157741,ortholog_one2one,90.6459,93.2442
N4bp1,ENSG00000102921,ortholog_one2one,81.1384,88.8393
Cnot6l,ENSG00000138767,ortholog_one2one,97.8378,98.9189
Usp34,ENSG00000115464,ortholog_one2one,97.5465,99.0412
Wdfy4,ENSG00000128815,ortholog_one2one,81.2814,88.0653
Erbin,ENSG00000112851,ortholog_one2one,88.8102,93.2011
