gene	Nichols_24571919	Al_Mudares_37368978_Female	Al_Mudares_37368978_Male	Bao_27137150_lncrna	Bao_27137150_mrna	Bhattacharya_25150061	Chao_27770432	Coarfa_28818871_female_down_d21	Coarfa_28818871_female_down_d7	Coarfa_28818871_female_up_d21	Coarfa_28818871_female_up_d7	Coarfa_28818871_male_down_d21	Coarfa_28818871_male_down_d7	Coarfa_28818871_male_up_d21	Coarfa_28818871_male_up_d7	Natarajan_28851267_down	Natarajan_28851267_up	Rao_37310763	Revhaug_31454811_down	Revhaug_31454811_up	maic_score	contributors
ENSG00000170430	1.2585123343125129	0.0	0.0	0.0	0.0	1.0101255114508667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2686378457633793	TRANSCRIPTOMICS: Bhattacharya_25150061, GENOMICS: Nichols_24571919
ENSG00000134716	1.2585123343125129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2585123343125129	GENOMICS: Nichols_24571919
ENSG00000181072	1.2585123343125129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2585123343125129	GENOMICS: Nichols_24571919
ENSG00000172667	0.0	0.0	0.0	0.0	0.0	1.0108040693956504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0108040693956504	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000174944	0.0	0.0	0.0	0.0	0.0	1.0107871054470308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000271523587968	0.0	0.0	1.0107871054470308	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000120875	0.0	0.0	0.0	0.0	0.0	1.0107701414984112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0107701414984112	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000162976	0.0	0.0	0.0	0.0	0.0	1.0107531775497915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0107531775497915	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000101955	0.0	0.0	0.0	0.0	0.0	1.010736213601172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0002729421426033	0.0	0.0	1.010736213601172	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000134817	0.0	1.0002709477428673	1.0002704796690758	0.0	0.0	1.0107192496525526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0011549474046653	0.0	1.0002508836180253	0.0	0.0	1.0107192496525526	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000174837	0.0	0.0	0.0	0.0	0.0	1.010702285703933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010702285703933	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000157404	0.0	0.0	1.0002694596690753	0.0	0.0	1.0106853217553133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106853217553133	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000064989	0.0	0.0	0.0	0.0	0.0	1.0106683578066937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106683578066937	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000155897	0.0	0.0	0.0	0.0	0.0	1.0106513938580741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106513938580741	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000061918	0.0	0.0	0.0	0.0	0.0	1.0106344299094545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106344299094545	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000169169	0.0	0.0	0.0	0.0	0.0	1.010617465960835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010617465960835	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000087088	0.0	0.0	0.0	0.0	0.0	1.0106005020122153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106005020122153	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000135048	0.0	0.0	0.0	0.0	0.0	1.0105835380635957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0105835380635957	TRANSCRIPTOMICS: Bhattacharya_25150061
